27;ASESOR 2;1.SERVICIO CIVIL PUBLICO (LOSEP);53;UEP NIVEL DIRECTIVO A1;3,247.00;9,741.00;811.74;120.50;0.00;0.00;10,673.24;;;;
28;DIRECTOR/A DE MAESTRIAS Y ESPECIALIDADES;3.OTROS REGIMENES ESPECIALES;2161;AUTORIDADES ACADEMICAS NIVEL 1;3,883.85;11,651.55;970.95;120.50;0.00;0.00;12,743.00;;;;
29;DIRECTOR/A DE ADMISION Y NIVELACION;3.OTROS REGIMENES ESPECIALES;1;AUTORIDADES ACADEMICAS NIVEL 2;3,883.85;11,651.55;970.95;120.50;0.00;0.00;12,743.00;;;;
30;DIRECTOR/A DE EVALUACION Y ASEGURAMIENTO DE LA CALIDAD;3.OTROS REGIMENES ESPECIALES;2464;AUTORIDADES ACADEMICAS NIVEL 2;4,306.13;12,918.39;1,076.52;120.50;0.00;0.00;14,115.41;;;;
31;DIRECTOR/A DE SEDE;3.OTROS REGIMENES ESPECIALES;2469;AUTORIDADES ACADEMICAS NIVEL 2;3,196.02;9,588.06;799.02;120.50;0.00;0.00;10,507.58;;;;
32;DIRECTOR/A DE SEDE;3.OTROS REGIMENES ESPECIALES;2115;AUTORIDADES ACADEMICAS NIVEL 2;3,196.02;9,588.06;799.02;120.50;0.00;0.00;10,507.58;;;;
33;DIRECTOR/A ADMINISTRATIVO/A;1.SERVICIO CIVIL PUBLICO (LOSEP);6;UEP NIVEL DIRECTIVO A1;3,800.00;11,400.00;950.01;120.50;0.00;0.00;12,470.51;;;;
34;DIRECTOR/A DE INFRAESTRUCTURA Y MANTENIMIENTO;1.SERVICIO CIVIL PUBLICO (LOSEP);11;UEP NIVEL DIRECTIVO A1;3,800.00;11,400.00;950.01;120.50;0.00;0.00;12,470.51;;;;
35;DIRECTOR/A DE PLANIFICACION;1.SERVICIO CIVIL PUBLICO (LOSEP);7;UEP NIVEL DIRECTIVO A1;3,800.00;11,400.00;950.01;120.50;0.00;0.00;12,470.51;;;;
36;DIRECTOR/A DE TALENTO HUMANO;1.SERVICIO CIVIL PUBLICO (LOSEP);9;UEP NIVEL DIRECTIVO A1;3,800.00;11,400.00;950.01;120.50;0.00;0.00;12,470.51;;;;
37;DIRECTOR/A FINANCIERO/A;1.SERVICIO CIVIL PUBLICO (LOSEP);8;UEP NIVEL DIRECTIVO A1;3,800.00;11,400.00;950.01;120.50;0.00;0.00;12,470.51;;;;
38;DIRECTOR/A JURIDICO/A;1.SERVICIO CIVIL PUBLICO (LOSEP);5;UEP NIVEL DIRECTIVO A1;3,800.00;11,400.00;950.01;120.50;0.00;0.00;12,470.51;;;;
