Unidad;Objetivos;Indicador;Meta cuantificable;Enlace al sistema de gestión de planificación para verificación de los indicadores y metas cuantificables por procesos o niveles
SEDE ORELLANA;ASEGURAR LA CALIDAD ACADÉMICA DE LA SEDE ORELLANA MEDIANTE LAS PRÁCTICAS EXPERIMENTALES A TRAVÉS DEL FORTALECIMIENTO Y EQUIPAMIENTO DE LA SEDE ORELLANA;SE HABRA REALIZADO PRACTICAS EXPERIMENTALES HASTA FINALES DEL ANO 2025;100%;https://drive.google.com/file/d/1a9gwRXCf0Df2gCjoR0DP9JQECuVG6NGQ/view
SEDE MORONA SANTIAGO;ASEGURAR LA CALIDAD ACADEMICA DE LA SEDE MORONA SANTIAGO A TRAVES DEL FORTALECIMIENTO Y EQUIPAMIENTO EN LA INFRAESTRUCTURA;ADQUISICION DE BIENES;1;https://drive.google.com/file/d/1a9gwRXCf0Df2gCjoR0DP9JQECuVG6NGQ/view
;;MANTENIMIENTO DE VEHICULOS;2;
FACULTAD DE ADMINISTRACIÓN DE EMPRESAS;ASEGURAR LA CALIDAD DE LOS PROCESOS UNIVERSITARIOS PARA LA FACULTAD DE ADMINISTRACION DE EMPRESAS;CONGRESO INTERNACIONAL;1;https://drive.google.com/file/d/1a9gwRXCf0Df2gCjoR0DP9JQECuVG6NGQ/view
FACULTAD DE CIENCIAS PECUARIAS;"FACILITAR EL MEJOR DESENVOLVIMIENTO Y APROVECHAMIENTO DE ESOS ESPACIOS FÌSICOS POR PARTE DEL SECTOR ESTUDIANTIL
";CONTRUCCION DE LA RESIDENCIA;1;https://drive.google.com/file/d/1a9gwRXCf0Df2gCjoR0DP9JQECuVG6NGQ/view
FACULTAD DE INFORMÁTICA Y ELECTRÓNICA;REPOTENCIAR LA INFRAESTRUCTURA TECNOLOGICA Y FISICA PARA LA FACULTAD DE INFORMÁTICA Y ELECTRONICA PARA FORTALECER EL PROCESO DE ENSENANZA APRENDIZAJE DE LOS ESTUDIANTES DE LA ESPOCH;MEJORAMIENTO DE INFRAESTRUCTURA FISICA;100%;https://drive.google.com/file/d/1a9gwRXCf0Df2gCjoR0DP9JQECuVG6NGQ/view
;;PAGO MEMBRESIA CISCO;2;
FACULTAD DE MECÁNICA;DIFUNDIR EL CONOCIMIENTO E INTERNACIONALIZACIÓN DE LA CIENCIA A TRAVÉS DE UN ESPACIO QUE PROMUEVA Y APOYE A LA GENERACIÓN Y FORTALECIMIENTO DE CAPACIDADES EN LATINOAMÉRICA QUE SIRVAN DE SOPORTE TÉCNICO Y ACOMPAÑAMIENTO A GOBIERNOS LOCALES Y EMPRESAS EN TEMAS DE ENERGÍA Y AMBIENTE;EVENTO REALIZADO;1;https://drive.google.com/file/d/1a9gwRXCf0Df2gCjoR0DP9JQECuVG6NGQ/view
FACULTAD DE RECURSOS NATURALES;BRINDAR LAS CONDICIONES ADECUADAS PARA PROVEER SERVICIOS DE CALIDAD A LOS ESTUDIANTES Y DOCENTES DE LA FACULTAD DE RECURSOS NATURALES;NUMERO DE REQUERIMIENTOS ATENDIDOS;100%;https://drive.google.com/file/d/1a9gwRXCf0Df2gCjoR0DP9JQECuVG6NGQ/view
FACULTAD DE SALUD PÚBLICA;MEJORAR LA CALIDAD ACADÉMICA DE LA FACULTAD DE SALUD PÚBLICA MEDIANTE LA OPTIMIZACIÓN DE SUS ESPACIOS FÍSICOS Y EL FOMENTO DE LA PARTICIPACIÓN ACTIVA DE DOCENTES Y ESTUDIANTES EN EVENTOS ACADÉMICOS;PARTICIPACION EN EVENTOS;100%;https://drive.google.com/file/d/1a9gwRXCf0Df2gCjoR0DP9JQECuVG6NGQ/view
DECANATO DE POSGRADO;CONSOLIDAR LOS PROCESOS ADMINISTRATIVOS Y ACADEMICOS PARA LOS PROGRAMAS DEL DECANATO DE POSGRADO;LIQUIDACION DE PAGOS PENDIENTES DE CONTRATOS LABORALES DE DOCENTES AÑOS ANTERIORES;100%;https://drive.google.com/file/d/1a9gwRXCf0Df2gCjoR0DP9JQECuVG6NGQ/view
;;LIQUIDACION DE PAGOS PENDIENTES DE CONTRATOS LABORALES DE MIEMBROS DE TRIBUNALES DE TITULACION AÑOS ANTERIORES;100%;
;;NUMERO DE ESTUDIANTES GRADUADOS DE LOS DIFERENTES PROGRAMAS DE POSGRADOEN EL 2025;100%;
VICERRECTORADO ACADÉMICO;FORTALECER LA GESTION DE FORMACION ACADEMICA DE GRADO Y POSGRADO DE LA ESCUELA SUPERIOR POLITECNICA DE CHIMBORAZO.;CUMPLIMIENTO DE ACTIVIDADES ACADÉMICAS;100%;https://drive.google.com/file/d/1a9gwRXCf0Df2gCjoR0DP9JQECuVG6NGQ/view
