Institución;Nombre de la Entidad
Descripción;Donativos Oficiales
Nombre del campo;Descripción del campo
Fecha ; Fecha en la que la persona o entidad beneficiaria recibie el regalo o donación.
Descripción ;Explicación o detalle sobre el regalo o donativo en cuestión.
Motivo ; Razón o propósito por el cual se recibe el regalo o donativo
Persona natural o jurídica ;Referencia a la persona física o entidad legal que entrega el regalo o donativo
Enlace para descargar el documento mediante el cual se oficializa el regalo o donativo;Enlace para descargar el documento detallado respecto al regalo o donativo
