Numeración;Puesto Institucional ;Régimen laboral al que pertenece ;Número de partida presupuestaria;Grado jerárquico o escala al que pertenece el puesto;Remuneración mensual unificada;Remuneración unificada (anual);Décimo Tercera Remuneración;Décima Cuarta Remuneración;Horas suplementarias y extraordinarias;Encargos y subrogaciones;Total ingresos adicionales
44;Asistente de Capacitacion;1.Servicio Civil Publico (Losep);15863;Uep Nivel Profesional Apoyo Tecnico A4;986;11832;82.17;39.17;0;0;121.34
45;Astrofisico;1.Servicio Civil Publico (Losep);15614;Uep Nivel Profesional A3;2,641.00;31692;220.08;39.17;0;0;259.25
46;Secretaria Ejecutiva;1.Servicio Civil Publico (Losep);15620;Uep Nivel Profesional A3;817;9804;68.08;39.17;0;0;107.25
47;Analista de Redes de Monitoreo Geofisico 3;1.Servicio Civil Publico (Losep);15743;Uep Nivel Profesional A3;1,760.00;21120;146.67;39.17;0;0;185.84
48;Responsable de Calidad;1.Servicio Civil Publico (Losep);15728;Uep Nivel Profesional A3;1,760.00;21120;146.67;39.17;0;0;185.84
49;Especialista de Tesoreria 2;1.Servicio Civil Publico (Losep);15864;Uep Nivel Profesional Apoyo Tecnico A4;986;11832;82.17;39.17;0;0;121.34
50;Analista Academico E Instruccional 2;1.Servicio Civil Publico (Losep);16075;Uep Nivel Profesional A3;1,412.00;16944;117.67;39.17;0;0;156.84
51;Profesor Principal 1 Tiempo Parcial;3.Otros Regimenes Especiales;10070;Personal Academico Principal;2,236.68;26840.16;186.39;39.17;0;0;225.56
52;Profesor Auxiliar 1 Tiempo Completo;3.Otros Regimenes Especiales;10165;Profesor Auxiliar;2,786.52;33438.24;232.21;39.17;0;0;271.38
53;Profesor Agregado 3 Tiempo Completo;3.Otros Regimenes Especiales;12800;Profesor Agregado;4,528.09;54337.08;377.34;39.17;0;0;416.51
54;Profesor Agregado 1 Tiempo Completo;3.Otros Regimenes Especiales;12160;Personal Academico Agregado;3,463.99;41567.88;288.67;39.17;0;0;327.84
55;Profesor Principal 1 Tiempo Completo;3.Otros Regimenes Especiales;11240;Profesor Principal;4,709.22;56510.64;392.44;39.17;0;0;431.61
56;Responsable Administrativo;1.Servicio Civil Publico (Losep);15912;Uep Nivel Profesional A3;1,760.00;21120;146.67;39.17;0;0;185.84
57;Secretaria;1.Servicio Civil Publico (Losep);15529;Uep Nivel Administrativo A5;817;9804;68.08;39.17;0;0;107.25
58;Especialista Del Centro de Investigacion de la Vivienda;1.Servicio Civil Publico (Losep);15921;Uep Nivel Profesional A3;1,676.00;20112;139.67;39.17;0;0;178.84
59;Asistente de Tecnologias de la Informacion y Comunicaciones.;1.Servicio Civil Publico (Losep);15536;Uep Nivel Profesional Apoyo Tecnico A4;986;11832;82.17;39.17;0;0;121.34
60;Profesor Auxiliar 2 Tiempo Completo;3.Otros Regimenes Especiales;12525;Profesor Auxiliar;3,125.27;37503.24;260.44;39.17;0;0;299.61
61;Profesor Agregado 1 Tiempo Completo;3.Otros Regimenes Especiales;13285;Personal Academico Agregado;3,193.90;38326.8;266.16;39.17;0;0;305.33
62;Administrador 3;1.Servicio Civil Publico (Losep);15783;Uep Nivel Profesional A3;1,676.00;20112;139.67;39.17;0;0;178.84
63;Analista de Tecnologias de la Informacion y Comunicacion 2 Cec;1.Servicio Civil Publico (Losep);16007;Uep Nivel Profesional A3;1,412.00;16944;117.67;39.17;0;0;156.84
64;Profesor Principal 2 Tiempo Completo;3.Otros Regimenes Especiales;11300;Personal Academico Principal;4,829.56;57954.72;402.46;39.17;0;0;441.63
65;Diseñador Grafico;1.Servicio Civil Publico (Losep);15861;Uep Nivel Profesional A3;1,212.00;14544;101;39.17;0;0;140.17
66;Profesor Principal 1 Tiempo Completo;3.Otros Regimenes Especiales;11310;Profesor Principal;4,709.22;56510.64;392.44;39.17;0;0;431.61
67;Especialista de Presupuesto de la Ugips;1.Servicio Civil Publico (Losep);16019;Uep Nivel Profesional A3;1,676.00;20112;139.67;39.17;249.49;0;428.33
68;Asistente de Tecnologias de la Informacion y Comunicaciones.;1.Servicio Civil Publico (Losep);15872;Uep Nivel Profesional Apoyo Tecnico A4;817;9804;68.08;39.17;0;0;107.25
69;Profesor Auxiliar 1 Tiempo Completo;3.Otros Regimenes Especiales;11125;Profesor Auxiliar;2,786.52;33438.24;232.21;39.17;0;0;271.38
70;Profesor Agregado 3 Tiempo Completo;3.Otros Regimenes Especiales;13545;Profesor Agregado;4,528.09;54337.08;377.34;39.17;0;0;416.51
71;Profesor Titular Principal de Escalafon Previo Tiempo Completo;3.Otros Regimenes Especiales;11325;Personal Academico Principal;4,097.82;49173.84;341.49;39.17;0;0;380.66
72;Analista Tecnico Del Observatorio Astronomico;1.Servicio Civil Publico (Losep);15561;Uep Nivel Profesional A3;1,412.00;16944;117.67;39.17;0;0;156.84
73;Secretaria;1.Servicio Civil Publico (Losep);15525;Uep Nivel Administrativo A5;817;9804;68.08;39.17;0;0;107.25
74;Analista de Gestion;1.Servicio Civil Publico (Losep);15815;Uep Nivel Profesional A3;1,412.00;16944;117.67;39.17;0;0;156.84
75;Profesor Principal 1 Tiempo Parcial;3.Otros Regimenes Especiales;11530;Personal Academico Principal;706.32;8475.84;58.86;39.17;0;0;98.03
76;Profesor Agregado 1 Tiempo Completo;3.Otros Regimenes Especiales;11680;Profesor Agregado;4,346.97;52163.64;362.25;39.17;0;0;401.42
77;Secretaria;1.Servicio Civil Publico (Losep);15797;Uep Nivel Administrativo A5;817;9804;68.08;39.17;0;0;107.25
78;Profesor Agregado 3 Tiempo Completo;3.Otros Regimenes Especiales;11830;Profesor Agregado;4,528.09;54337.08;377.34;39.17;0;0;416.51
79;Profesor Principal 1 Tiempo Completo;3.Otros Regimenes Especiales;11330;Profesor Principal;4,709.22;56510.64;392.44;39.17;0;0;431.61
80;Profesor Agregado 3 Tiempo Completo;3.Otros Regimenes Especiales;12505;Personal Academico Agregado;4,025.42;48305.04;335.45;39.17;0;0;374.62
81;Profesor Titular Principal de Escalafon Previo Tiempo Parcial;3.Otros Regimenes Especiales;11335;Personal Academico Principal;1,713.18;20558.16;142.77;39.17;0;0;181.94
82;Profesor Agregado 1 Tiempo Completo;3.Otros Regimenes Especiales;12265;Personal Academico Agregado;3,193.90;38326.8;266.16;39.17;0;0;305.33
83;Profesor Titular Principal de Escalafon Previo Tiempo Completo;3.Otros Regimenes Especiales;11345;Personal Academico Agregado;4,346.97;52163.64;362.25;39.17;0;0;401.42
84;Secretario General;1.Servicio Civil Publico (Losep);5;Uep Nivel Directivo A1;3,996.04;47952.48;333;39.17;0;0;372.17
85;Profesor Agregado 1 Tiempo Completo;3.Otros Regimenes Especiales;15225;Profesor Agregado;3,622.48;43469.76;301.87;39.17;0;24.12;365.16
86;Asistente de Tecnologias de la Informacion y Comunicaciones.;1.Servicio Civil Publico (Losep);15858;Uep Nivel Profesional Apoyo Tecnico A4;986;11832;82.17;39.17;0;0;121.34
