Unidad;Objetivos;Indicador;Meta cuantificable;Enlace al sistema de gestion de planificacion para verificacion de los indicadores y metas cuantificables por procesos o niveles
Rectorado;Formar profesionales desde una perspectiva integral, con pertinencia, que aporten al desarrollo social y económico nacional y que se adapten a los cambios científicos y tecnológicos;Nivel de empleabilidad pertinente;38%;https://atenea.epn.edu.ec/handle/25000/2371
Rectorado;Formar profesionales desde una perspectiva integral, con pertinencia, que aporten al desarrollo social y económico nacional y que se adapten a los cambios científicos y tecnológicos;Índice de satisfacción corporativa con graduados de la EPN;34%;https://atenea.epn.edu.ec/handle/25000/2371
Rectorado;Contribuir a los conocimientos científicos y tecnológicos, con investigaciones que respondan a las necesidades de los sectores público, privado y los demás actores sociales, para impulsar el desarrollo sostenible del país.;Porcentaje de inversión en la investigación;9.28%;https://atenea.epn.edu.ec/handle/25000/2371
Rectorado;Contribuir a los conocimientos científicos y tecnológicos, con investigaciones que respondan a las necesidades de los sectores público, privado y los demás actores sociales, para impulsar el desarrollo sostenible del país.;Porcentaje de proyectos de investigación alineados;19.23%;https://atenea.epn.edu.ec/handle/25000/2371
Rectorado;Contribuir a los conocimientos científicos y tecnológicos, con investigaciones que respondan a las necesidades de los sectores público, privado y los demás actores sociales, para impulsar el desarrollo sostenible del país.;Índice de sostenibilidad de los posgrados;160%;https://atenea.epn.edu.ec/handle/25000/2371
Rectorado;Generar valor económico y social para la universidad y la comunidad.;Porcentaje de presupuesto destinado a la gestión de vinculación;7.45%;https://atenea.epn.edu.ec/handle/25000/2371
Rectorado;Generar valor económico y social para la universidad y la comunidad.;Relación de Proyectos de Vinculación con la oferta académica;30%;https://atenea.epn.edu.ec/handle/25000/2371
Rectorado;Fortalecer las capacidades institucionales;Índice de clima laboral;74%;https://atenea.epn.edu.ec/handle/25000/2371
Rectorado;Fortalecer las capacidades institucionales;Nivel de Satisfacción de bienestar en la comunidad politécnica.;52%;https://atenea.epn.edu.ec/handle/25000/2371
