Institución;Nombre de la Entidad
Descripción;Remuneraciones salariales, licencia de servicio y comisión de servicio
Nombre del Campo;Descripción del campo
Apellidos y Nombres;Nombre y apellido de la persona servidora
Puesto Institucional;Puesto ocupado por la persona servidora pública correspondiente
Fecha de inicio
Fecha de fin
Lugar
Tipo;"CategorÕa o motivo de la licencia que la persona servidora está tomando. Esto podría ser ""vacaciones"", ""enfermedad"", ""permiso parental"", etc"
