Numeración;Puesto Institucional ;Régimen laboral al que pertenece ;Número de partida presupuestaria;Grado jerárquico o escala al que pertenece el puesto;Remuneración mensual unificada;Remuneración unificada (anual);Décimo Tercera Remuneración;Décima Cuarta Remuneración;Horas suplementarias y extraordinarias;Encargos y subrogaciones;Total ingresos adicionales
31;DIRECTOR/A DE EVALUACION Y ASEGURAMIENTO DE LA CALIDAD;3.OTROS REGIMENES ESPECIALES;2464;AUTORIDADES ACADEMICAS NIVEL 2;4,306.13;4,306.13;358.84;40.17;0.00;0.00;4,705.14
32;DIRECTOR/A DE SEDE;3.OTROS REGIMENES ESPECIALES;2469;AUTORIDADES ACADEMICAS NIVEL 2;3,196.02;3,196.02;266.34;40.17;0.00;0.00;3,502.53
33;DIRECTOR/A DE SEDE;3.OTROS REGIMENES ESPECIALES;2115;AUTORIDADES ACADEMICAS NIVEL 2;3,196.02;3,196.02;266.34;40.17;0.00;0.00;3,502.53
34;DIRECTOR/A ADMINISTRATIVO/A;1.SERVICIO CIVIL PUBLICO (LOSEP);6;UEP NIVEL DIRECTIVO A1;3,800.00;3,800.00;316.67;40.17;0.00;0.00;4,156.84
35;DIRECTOR/A DE INFRAESTRUCTURA Y MANTENIMIENTO;1.SERVICIO CIVIL PUBLICO (LOSEP);11;UEP NIVEL DIRECTIVO A1;3,800.00;3,800.00;316.67;40.17;0.00;0.00;4,156.84
36;DIRECTOR/A DE PLANIFICACION;1.SERVICIO CIVIL PUBLICO (LOSEP);7;UEP NIVEL DIRECTIVO A1;3,800.00;3,800.00;316.67;40.17;0.00;0.00;4,156.84
37;DIRECTOR/A DE TALENTO HUMANO;1.SERVICIO CIVIL PUBLICO (LOSEP);9;UEP NIVEL DIRECTIVO A1;3,800.00;3,800.00;316.67;40.17;0.00;0.00;4,156.84
38;DIRECTOR/A FINANCIERO/A;1.SERVICIO CIVIL PUBLICO (LOSEP);8;UEP NIVEL DIRECTIVO A1;3,800.00;3,800.00;316.67;40.17;0.00;0.00;4,156.84
39;DIRECTOR/A JURIDICO/A;1.SERVICIO CIVIL PUBLICO (LOSEP);5;UEP NIVEL DIRECTIVO A1;3,800.00;3,800.00;316.67;40.17;0.00;0.00;4,156.84
40;DIRECTOR/A DE BIBLIOTECA Y RECURSOS DEL APRENDIZAJE Y LA INVESTIGACION;1.SERVICIO CIVIL PUBLICO (LOSEP);14;UEP NIVEL DIRECTIVO A2;2,734.00;2,734.00;227.83;40.17;0.00;0.00;3,002.00
41;DIRECTOR/A DE BIENESTAR ESTUDIANTIL Y POLITECNICO;1.SERVICIO CIVIL PUBLICO (LOSEP);10;UEP NIVEL DIRECTIVO A2;2,734.00;2,734.00;227.83;40.17;0.00;0.00;3,002.00
42;DIRECTOR/A DE COMUNICACION Y RELACIONES PUBLICAS;1.SERVICIO CIVIL PUBLICO (LOSEP);1;UEP NIVEL DIRECTIVO A2;2,734.00;2,734.00;227.83;40.17;0.00;0.00;3,002.00
43;DIRECTOR/A DE RELACIONES INTERNACIONALES;1.SERVICIO CIVIL PUBLICO (LOSEP);2;UEP NIVEL DIRECTIVO A2;2,734.00;2,734.00;227.83;40.17;0.00;0.00;3,002.00
44;DIRECTOR/A DE TECNOLOGIAS DE LA INFORMACION Y COMUNICACION;1.SERVICIO CIVIL PUBLICO (LOSEP);3;UEP NIVEL DIRECTIVO A2;2,734.00;2,734.00;227.83;40.17;0.00;0.00;3,002.00
45;COORDINADOR/A ACADEMICO DE ADMISION;3.OTROS REGIMENES ESPECIALES;25;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;2,882.60;240.22;40.17;0.00;0.00;3,162.99
46;COORDINADOR/A ACADEMICO DE NIVELACION;3.OTROS REGIMENES ESPECIALES;5;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;2,882.60;240.22;40.17;0.00;0.00;3,162.99
47;COORDINADOR/A ACADEMICO/A DE SEDE;3.OTROS REGIMENES ESPECIALES;7;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;2,882.60;240.22;40.17;0.00;0.00;3,162.99
48;COORDINADOR/A ACADEMICO/A DE SEDE;3.OTROS REGIMENES ESPECIALES;6;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;2,882.60;240.22;40.17;0.00;0.00;3,162.99
49;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;2121;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;2,882.60;240.22;40.17;0.00;0.00;3,162.99
50;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;2125;AUTORIDADES ACADEMICAS NIVEL 1;3,800.00;3,800.00;316.67;40.17;0.00;0.00;4,156.84
51;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;2138;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;2,882.60;240.22;40.17;0.00;0.00;3,162.99
52;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;2131;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;2,882.60;240.22;40.17;0.00;0.00;3,162.99
53;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;2127;AUTORIDADES ACADEMICAS NIVEL 1;4,818.96;4,818.96;401.58;40.17;0.00;0.00;5,260.71
54;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;2118;AUTORIDADES ACADEMICAS NIVEL 1;3,196.02;3,196.02;266.34;40.17;0.00;0.00;3,502.53
55;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;2116;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;2,882.60;240.22;40.17;0.00;0.00;3,162.99
56;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;2165;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;2,882.60;240.22;40.17;0.00;0.00;3,162.99
57;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;21;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;2,882.60;240.22;40.17;0.00;0.00;3,162.99
58;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;3;AUTORIDADES ACADEMICAS NIVEL 1;4,700.00;4,700.00;391.67;40.17;0.00;0.00;5,131.84
59;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;22;AUTORIDADES ACADEMICAS NIVEL 1;3,196.02;3,196.02;266.34;40.17;0.00;0.00;3,502.53
60;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;2134;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;2,882.60;240.22;40.17;0.00;0.00;3,162.99
61;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;8;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;2,882.60;240.22;40.17;0.00;0.00;3,162.99
62;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;15;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;2,882.60;240.22;40.17;0.00;0.00;3,162.99
63;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;2132;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;2,882.60;240.22;40.17;0.00;0.00;3,162.99
64;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;11;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;2,882.60;240.22;40.17;0.00;0.00;3,162.99
65;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;2136;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;2,882.60;240.22;40.17;0.00;0.00;3,162.99
66;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;12;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;2,882.60;240.22;40.17;0.00;0.00;3,162.99
67;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;2124;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;2,882.60;240.22;40.17;0.00;0.00;3,162.99
68;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;2133;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;2,882.60;240.22;40.17;0.00;0.00;3,162.99
69;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;24;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;2,882.60;240.22;40.17;0.00;0.00;3,162.99
70;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;2470;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;2,882.60;240.22;40.17;0.00;0.00;3,162.99
71;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;2123;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;2,882.60;240.22;40.17;0.00;0.00;3,162.99
72;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;2167;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;2,882.60;240.22;40.17;0.00;0.00;3,162.99
73;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;16;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;2,882.60;240.22;40.17;0.00;0.00;3,162.99
74;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;2137;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;2,882.60;240.22;40.17;0.00;0.00;3,162.99
75;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;2119;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;2,882.60;240.22;40.17;0.00;0.00;3,162.99
76;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;2126;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;2,882.60;240.22;40.17;0.00;0.00;3,162.99
77;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;14;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;2,882.60;240.22;40.17;0.00;0.00;3,162.99
78;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;2128;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;2,882.60;240.22;40.17;0.00;0.00;3,162.99
79;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;10;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;2,882.60;240.22;40.17;0.00;0.00;3,162.99
