Unidad;Objetivos;Indicador;Meta cuantificable;Enlace al sistema de gestion de planificacion para verificacion de los indicadores y metas cuantificables por procesos o niveles
Rectorado;Formar profesionales desde una perspectiva integral, con pertinencia, que aporten al desarrollo social y económico nacional y que se adapten a los cambios científicos y tecnológicos;Nivel de empleabilidad pertinente;32%;http://atenea.epn.edu.ec/handle/25000/1432
Rectorado;Formar profesionales desde una perspectiva integral, con pertinencia, que aporten al desarrollo social y económico nacional y que se adapten a los cambios científicos y tecnológicos;Índice de satisfacción corporativa con graduados de la EPN;30%;http://atenea.epn.edu.ec/handle/25000/1432
Rectorado;Contribuir a los conocimientos científicos y tecnológicos, con investigaciones que respondan a las necesidades de los sectores público, privado y los demás actores sociales, para impulsar el desarrollo sostenible del país.;Índice de inversión en la investigación;8.13%;http://atenea.epn.edu.ec/handle/25000/1432
Rectorado;Contribuir a los conocimientos científicos y tecnológicos, con investigaciones que respondan a las necesidades de los sectores público, privado y los demás actores sociales, para impulsar el desarrollo sostenible del país.;Índice de investigaciones alineadas;8%;http://atenea.epn.edu.ec/handle/25000/1432
Rectorado;Contribuir a los conocimientos científicos y tecnológicos, con investigaciones que respondan a las necesidades de los sectores público, privado y los demás actores sociales, para impulsar el desarrollo sostenible del país.;Índice de sostenibilidad de los posgrados;150%;http://atenea.epn.edu.ec/handle/25000/1432
Rectorado;Generar valor económico y social para la universidad y la comunidad.;Tasa de presupuesto destinado a la gestión de vinculación;0.07%;http://atenea.epn.edu.ec/handle/25000/1432
Rectorado;Generar valor económico y social para la universidad y la comunidad.;Relación de Proyectos de Vinculación con la oferta académica;28%;http://atenea.epn.edu.ec/handle/25000/1432
Rectorado;Fortalecer las condiciones institucionales para el desarrollo eficiente de las actividades académicas y laborales de la comunidad politécnica;Índice de clima laboral;70%;http://atenea.epn.edu.ec/handle/25000/1432
Rectorado;Fortalecer las condiciones institucionales para el desarrollo eficiente de las actividades académicas y laborales de la comunidad politécnica; Nivel de Satisfacción de bienestar en la comunidad politécnica.;40%;http://atenea.epn.edu.ec/handle/25000/1432
