Cuenta;Categoría;Descripción;Asignado;Modificado;Codificado;Montocertificado;Comprometido;Devengado;Pagado;Saldoporcomprometer;Saldopordevengar;Saldoporpagar;Porcentajedeejecución
7,50501E+12;OBRAS PUBLICAS;Obras de Infraestructura;0;908635,64;908635,64;34036,19;0;0;0;908635,64;908635,64;0;0
7,50501E+12;OBRAS PUBLICAS;Obras de Infraestructura;0;0;0;0;0;0;0;0;0;0;0
7,80206E+12;TRANSFERENCIAS O DONACIONES PARA INVERSION;Becas;50000;0;50000;0;0;0;0;50000;50000;0;0
8,40103E+12;EGRESOS DE CAPITAL;Mobiliarios;42150,17;0;42150,17;0;0;0;0;42150,17;42150,17;0;0
8,40103E+12;EGRESOS DE CAPITAL;Mobiliarios;0;70300;70300;0;0;0;0;70300;70300;0;0
8,40103E+12;EGRESOS DE CAPITAL;Mobiliarios;0;0;0;0;0;0;0;0;0;0;0
8,40104E+12;EGRESOS DE CAPITAL;Maquinarias y Equipos;382512,27;-126398,44;256113,83;0;0;0;0;256113,83;256113,83;0;0
8,40104E+12;EGRESOS DE CAPITAL;Maquinarias y Equipos;1033914,81;-29393,33;1004521,48;0;0;0;0;1004521,48;1004521,48;0;0
8,40104E+12;EGRESOS DE CAPITAL;Maquinarias y Equipos;800000;-400000;400000;2000;0;0;0;400000;400000;0;0
8,40104E+12;EGRESOS DE CAPITAL;Maquinarias y Equipos;0;0;0;0;0;0;0;0;0;0;0
8,40105E+12;EGRESOS DE CAPITAL;Vehiculos;650000;0;650000;0;0;0;0;650000;650000;0;0
8,40105E+12;EGRESOS DE CAPITAL;Vehiculos;248990,92;159176,55;408167,47;0;0;0;0;408167,47;408167,47;0;0
8,40106E+12;EGRESOS DE CAPITAL;Herramientas;0;4528;4528;0;0;0;0;4528;4528;0;0
8,40106E+12;EGRESOS DE CAPITAL;Herramientas;17000;0;17000;0;0;0;0;17000;17000;0;0
8,40107E+12;EGRESOS DE CAPITAL;Equipos Sistemas y Paquetes Informaticos;340000;-73744;266256;0;0;0;0;266256;266256;0;0
8,40107E+12;EGRESOS DE CAPITAL;Equipos Sistemas y Paquetes Informaticos;65000;0;65000;0;0;0;0;65000;65000;0;0
8,40107E+12;EGRESOS DE CAPITAL;Equipos Sistemas y Paquetes Informaticos;0;101310;101310;0;0;0;0;101310;101310;0;0
8,40109E+12;EGRESOS DE CAPITAL;Libros y Colecciones;10000;0;10000;0;0;0;0;10000;10000;0;0
8,40111E+12;EGRESOS DE CAPITAL;Partes y Repuestos;0;7192,62;7192,62;0;0;0;0;7192,62;7192,62;0;0
8,40113E+12;EGRESOS DE CAPITAL;Equipos Medicos;65000;29393,33;94393,33;0;0;0;0;94393,33;94393,33;0;0
8,40113E+12;EGRESOS DE CAPITAL;Equipos Medicos;10000;18817,54;28817,54;0;0;0;0;28817,54;28817,54;0;0
8,40113E+12;EGRESOS DE CAPITAL;Equipos Medicos;0;0;0;0;0;0;0;0;0;0;0
8,40115E+12;EGRESOS DE CAPITAL;Equipos Odontologicos;55000;0;55000;0;0;0;0;55000;55000;0;0
9,61201E+12;AMORTIZACION DE LA DEUDA PUBLICA;Creditos Internos SIGADE;318686;-318686;0;0;0;0;0;0;0;0;0
9,90101E+12;OTROS PASIVOS;Obligaciones de Ejercicios Anteriores por Egresos de Personal;0;20000;20000;0;0;0;0;20000;20000;0;0
9,90101E+12;OTROS PASIVOS;Obligaciones de Ejercicios Anteriores por Egresos de Personal;0;0;0;0;0;0;0;0;0;0;0
9,90102E+12;OTROS PASIVOS;Obligaciones de Ejercicios Anteriores por Egresos en Servicios;0;280495,6;280495,6;84321,44;20109,81;0;0;260385,79;280495,6;0;0
