Numeración;Puesto Institucional ;Régimen laboral al que pertenece ;Número de partida presupuestaria;Grado jerárquico o escala al que pertenece el puesto;Remuneración mensual unificada;Remuneración unificada (anual);Décimo Tercera Remuneración;Décima Cuarta Remuneración;Horas suplementarias y extraordinarias;Encargos y subrogaciones;Total ingresos adicionales
30;DIRECTOR/A DE EVALUACION Y ASEGURAMIENTO DE LA CALIDAD;3.OTROS REGIMENES ESPECIALES;2464;AUTORIDADES ACADEMICAS NIVEL 2;4,306.13;8,612.26;717.68;80.33;0.00;0.00;9,410.27
31;DIRECTOR/A DE SEDE;3.OTROS REGIMENES ESPECIALES;2469;AUTORIDADES ACADEMICAS NIVEL 2;3,196.02;6,392.04;532.68;80.33;0.00;0.00;7,005.05
32;DIRECTOR/A DE SEDE;3.OTROS REGIMENES ESPECIALES;2115;AUTORIDADES ACADEMICAS NIVEL 2;3,196.02;6,392.04;532.68;80.33;0.00;0.00;7,005.05
33;DIRECTOR/A ADMINISTRATIVO/A;1.SERVICIO CIVIL PUBLICO (LOSEP);6;UEP NIVEL DIRECTIVO A1;3,800.00;7,600.00;633.34;80.33;0.00;0.00;8,313.67
34;DIRECTOR/A DE INFRAESTRUCTURA Y MANTENIMIENTO;1.SERVICIO CIVIL PUBLICO (LOSEP);11;UEP NIVEL DIRECTIVO A1;3,800.00;7,600.00;633.34;80.33;0.00;0.00;8,313.67
35;DIRECTOR/A DE PLANIFICACION;1.SERVICIO CIVIL PUBLICO (LOSEP);7;UEP NIVEL DIRECTIVO A1;3,800.00;7,600.00;633.34;80.33;0.00;0.00;8,313.67
36;DIRECTOR/A DE TALENTO HUMANO;1.SERVICIO CIVIL PUBLICO (LOSEP);9;UEP NIVEL DIRECTIVO A1;3,800.00;7,600.00;633.34;80.33;0.00;0.00;8,313.67
37;DIRECTOR/A FINANCIERO/A;1.SERVICIO CIVIL PUBLICO (LOSEP);8;UEP NIVEL DIRECTIVO A1;3,800.00;7,600.00;633.34;80.33;0.00;0.00;8,313.67
38;DIRECTOR/A JURIDICO/A;1.SERVICIO CIVIL PUBLICO (LOSEP);5;UEP NIVEL DIRECTIVO A1;3,800.00;7,600.00;633.34;80.33;0.00;0.00;8,313.67
39;DIRECTOR/A DE BIBLIOTECA Y RECURSOS DEL APRENDIZAJE Y LA INVESTIGACION;1.SERVICIO CIVIL PUBLICO (LOSEP);14;UEP NIVEL DIRECTIVO A2;2,734.00;5,468.00;455.66;80.33;0.00;0.00;6,003.99
40;DIRECTOR/A DE BIENESTAR ESTUDIANTIL Y POLITECNICO;1.SERVICIO CIVIL PUBLICO (LOSEP);10;UEP NIVEL DIRECTIVO A2;2,734.00;5,468.00;455.66;80.33;0.00;0.00;6,003.99
41;DIRECTOR/A DE COMUNICACION Y RELACIONES PUBLICAS;1.SERVICIO CIVIL PUBLICO (LOSEP);1;UEP NIVEL DIRECTIVO A2;2,734.00;5,468.00;455.66;80.33;0.00;0.00;6,003.99
42;DIRECTOR/A DE RELACIONES INTERNACIONALES;1.SERVICIO CIVIL PUBLICO (LOSEP);2;UEP NIVEL DIRECTIVO A2;2,734.00;5,468.00;455.66;80.33;0.00;0.00;6,003.99
43;DIRECTOR/A DE TECNOLOGIAS DE LA INFORMACION Y COMUNICACION;1.SERVICIO CIVIL PUBLICO (LOSEP);3;UEP NIVEL DIRECTIVO A2;2,734.00;5,468.00;455.66;80.33;0.00;0.00;6,003.99
44;COORDINADOR/A ACADEMICO DE ADMISION;3.OTROS REGIMENES ESPECIALES;25;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;5,765.20;480.44;80.33;0.00;0.00;6,325.97
45;COORDINADOR/A ACADEMICO DE NIVELACION;3.OTROS REGIMENES ESPECIALES;5;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;5,765.20;480.44;80.33;0.00;0.00;6,325.97
46;COORDINADOR/A ACADEMICO/A DE SEDE;3.OTROS REGIMENES ESPECIALES;7;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;5,765.20;480.44;80.33;0.00;0.00;6,325.97
47;COORDINADOR/A ACADEMICO/A DE SEDE;3.OTROS REGIMENES ESPECIALES;6;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;5,765.20;480.44;80.33;0.00;0.00;6,325.97
48;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;2121;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;5,765.20;480.44;80.33;0.00;0.00;6,325.97
49;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;2125;AUTORIDADES ACADEMICAS NIVEL 1;3,800.00;7,600.00;633.34;80.33;0.00;0.00;8,313.67
50;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;2138;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;5,765.20;480.44;80.33;0.00;0.00;6,325.97
51;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;2131;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;5,765.20;480.44;80.33;0.00;0.00;6,325.97
52;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;2127;AUTORIDADES ACADEMICAS NIVEL 1;4,818.96;9,637.92;803.16;80.33;0.00;0.00;10,521.41
53;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;2118;AUTORIDADES ACADEMICAS NIVEL 1;3,196.02;6,392.04;532.68;80.33;0.00;0.00;7,005.05
54;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;2116;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;5,765.20;480.44;80.33;0.00;0.00;6,325.97
55;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;2165;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;5,765.20;480.44;80.33;0.00;0.00;6,325.97
56;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;21;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;5,765.20;480.44;80.33;0.00;0.00;6,325.97
57;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;3;AUTORIDADES ACADEMICAS NIVEL 1;4,700.00;9,400.00;783.34;80.33;0.00;0.00;10,263.67
58;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;22;AUTORIDADES ACADEMICAS NIVEL 1;3,196.02;6,392.04;532.68;80.33;0.00;0.00;7,005.05
59;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;2134;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;5,765.20;480.44;80.33;0.00;0.00;6,325.97
60;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;8;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;5,765.20;480.44;80.33;0.00;0.00;6,325.97
61;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;15;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;5,765.20;480.44;80.33;0.00;0.00;6,325.97
62;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;2132;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;5,765.20;480.44;80.33;0.00;0.00;6,325.97
63;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;11;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;5,765.20;480.44;80.33;0.00;0.00;6,325.97
64;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;2136;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;5,765.20;480.44;80.33;0.00;0.00;6,325.97
65;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;12;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;5,765.20;480.44;80.33;0.00;0.00;6,325.97
