Nombre del Plan o Programa;Período;Monto;Enlace al Plan o Programa;Enlace al estado
Plan Estratégico de Desarrollo Institucional  2025-2026;2025-2026;NO APLICA;https://www.espoch.edu.ec/wp-content/uploads/2025/12/Plan-Estrategico-de-Desarrollo-Institucional-2025-2026.pdf;NO APLICA
Plan Operativo Anual 2026;2026;73.983.523,74;https://liveespochedu-my.sharepoint.com/:b:/g/personal/planificacion_espoch_edu_ec/IQDwqLIryH88SqEfYWkx0I8aAXyl1r26lQezRboo82LmA4Q?e=4xtbqK;NO APLICA
