Numeración;Puesto Institucional;Régimen laboral al que pertenece;Número de partida presupuestaria;Grado jerárquico o escala al que pertenece el puesto;Remuneración mensual unificada;Remuneración unificada (anual);Décimo Tercera Remuneración;Décima Cuarta Remuneración;Horas suplementarias y extraordinarias;Encargos y subrogaciones;Total ingresos adicionales
1207;Secretaria Ejecutiva;1.Servicio Civil Publico (Losep);4156;Uep Nivel Profesional Apoyo Tecnico A4;817;9804;68.08;40.17;0;0;108.25
1208;Referencista;1.Servicio Civil Publico (Losep);15908;Uep Nivel Administrativo A5;733;8796;61.08;40.17;0;0;101.25
1209;Asistente De Presupuesto;1.Servicio Civil Publico (Losep);15766;Uep Nivel Profesional Apoyo Tecnico A4;986;11832;82.17;40.17;24.31;0;146.65
1210;Analista De Asesoria Juridica Y Patrocinio 1;1.Servicio Civil Publico (Losep);15709;Uep Nivel Profesional A3;1212;14544;101;40.17;0;0;141.17
1211;Secretaria;1.Servicio Civil Publico (Losep);15540;Uep Nivel Administrativo A5;817;9804;68.08;40.17;0;0;108.25
1212;Analista De Desarrollo De Soluciones Informaticas 1;1.Servicio Civil Publico (Losep);15989;Uep Nivel Profesional A3;1212;14544;101;40.17;0;0;141.17
1213;Responsable De Talento Humano;1.Servicio Civil Publico (Losep);16059;Uep Nivel Profesional A3;1760;21120;146.67;40.17;0;74.53;261.37
1214;Conductor Administrativo;2.Codigo Del Trabajo;37826;Nivel 3;596;7152;49.67;40.17;0;0;89.84
1215;Secretaria Ejecutiva;1.Servicio Civil Publico (Losep);4151;Uep Nivel Profesional Apoyo Tecnico A4;817;9804;68.08;40.17;0;0;108.25
1216;Tecnico/A Docente 1 Tiempo Completo;3.Otros Regimenes Especiales;8683;Personal De Apoyo (Universidades);986;11832;82.17;40.17;0;0;122.34
1217;Profesor/A Ocasional Tiempo Completo;3.Otros Regimenes Especiales;8538;Profesor Universitario;2552.68;30632.16;212.72;40.17;0;0;252.89
1218;Tecnico De Mantenimiento;2.Codigo Del Trabajo;37766;Nivel 8;826;9912;68.83;40.17;0;0;109
1219;Tecnico/A De Investigacion 1 Tiempo Completo;3.Otros Regimenes Especiales;8530;Personal De Apoyo (Universidades);986;11832;82.17;40.17;0;0;122.34
1220;Analista De Talento Humano 1;1.Servicio Civil Publico (Losep);4177;Uep Nivel Profesional A3;1212;14544;101;40.17;0;0;141.17
1221;Tecnico/A Docente 1 Tiempo Completo;3.Otros Regimenes Especiales;8660;Personal De Apoyo (Universidades);986;11832;82.17;40.17;0;0;122.34
1222;Tecnico/A De Laboratorio 3 Tiempo Completo;3.Otros Regimenes Especiales;8815;Personal De Apoyo (Universidades);1212;14544;101;40.17;0;0;141.17
1223;Analista De Vigilancia 1;1.Servicio Civil Publico (Losep);4145;Uep Nivel Profesional A3;1212;14544;101;40.17;0;0;141.17
1224;Tecnico/A De Laboratorio 1 Tiempo Completo;3.Otros Regimenes Especiales;8511;Personal De Apoyo (Universidades);986;11832;82.17;40.17;0;0;122.34
1225;Ayudante De Bodega;2.Codigo Del Trabajo;37791;Nivel 1;548;6576;45.67;40.17;0;0;85.84
1226;Asistente De Laboratorio De Ensayo;1.Servicio Civil Publico (Losep);15930;Uep Nivel Profesional Apoyo Tecnico A4;986;11832;82.17;40.17;0;0;122.34
1227;Inspector Operativo De Taller Vehicular;2.Codigo Del Trabajo;37793;Nivel 6;720;8640;60;40.17;0;0;100.17
1228;Secretaria Ejecutiva;1.Servicio Civil Publico (Losep);15607;Uep Nivel Profesional Apoyo Tecnico A4;817;9804;68.08;40.17;0;0;108.25
1229;Tecnico/A Docente 1 Tiempo Completo;3.Otros Regimenes Especiales;8672;Personal De Apoyo (Universidades);986;11832;82.17;40.17;0;0;122.34
1230;Profesor/A Ocasional Tiempo Parcial;3.Otros Regimenes Especiales;8493;Profesor Universitario;1212.52;14550.24;101.04;40.17;0;0;141.21
1231;Tecnico/A Docente 1 Tiempo Completo;3.Otros Regimenes Especiales;8769;Personal De Apoyo (Universidades);986;11832;82.17;40.17;0;0;122.34
1232;Responsable De Secretaria General;1.Servicio Civil Publico (Losep);16083;Uep Nivel Profesional A3;1760;21120;146.67;40.17;0;2236.04;2422.88
1233;Profesor/A Ocasional Tiempo Completo;3.Otros Regimenes Especiales;8792;Profesor Universitario;2552.68;30632.16;212.72;40.17;0;0;252.89
1234;Tecnico/A De Investigacion 1 Tiempo Completo;3.Otros Regimenes Especiales;8532;Personal De Apoyo (Universidades);986;11832;82.17;40.17;0;0;122.34
1235;Asistente De Tecnologias De La Informacion Y Comunicaciones.;1.Servicio Civil Publico (Losep);15858;Uep Nivel Profesional Apoyo Tecnico A4;986;11832;82.17;40.17;0;0;122.34
1236;Auxiliar De Servicios;2.Codigo Del Trabajo;37828;Nivel 1;527;6324;43.92;40.17;0;0;84.09
1237;Tecnico/A Docente 3 Tiempo Parcial;3.Otros Regimenes Especiales;8476;Personal De Apoyo (Universidades);484.48;5813.76;40.37;40.17;0;0;80.54
1238;Tecnico/A De Laboratorio 1 Tiempo Completo;3.Otros Regimenes Especiales;8515;Personal De Apoyo (Universidades);986;11832;82.17;40.17;0;0;122.34
1239;Tecnico/A De Laboratorio 1 Tiempo Completo;3.Otros Regimenes Especiales;8510;Personal De Apoyo (Universidades);986;11832;82.17;40.17;0;0;122.34
1240;Secretaria Ejecutiva;1.Servicio Civil Publico (Losep);16026;Uep Nivel Administrativo A5;817;9804;68.08;40.17;0;0;108.25
