Nivel superior;Unidad;Nivel de los Procesos de la Estructura Orgánica Funcional;;;;;;;;;;;;;;;;;;;;;;;
RECTORADO;FACULTADES;GESTIÓN ADMINISTRATIVA DE FACULTADES;;;;;;;;;;;;;;;;;;;;;;;
RECTORADO;FACULTADES;GESTIÓN ACADÉMICA DE FACULTADES;;;;;;;;;;;;;;;;;;;;;;;
RECTORADO;SEDES;GESTIÓN ADMINISTRATIVA DE FACULTADES;;;;;;;;;;;;;;;;;;;;;;;
RECTORADO;SEDES;GESTIÓN ACADÉMICA DE FACULTADES;;;;;;;;;;;;;;;;;;;;;;;
RECTORADO;"DECANATO DE
POSGRADO";GESTIÓN PARA LA CREACIÓN Y APROBACIÓN DE PROGRAMAS DE POSGRADO;;;;;;;;;;;;;;;;;;;;;;;
RECTORADO;"DECANATO DE
POSGRADO";ADMISIÓN DE POSGRADO;;;;;;;;;;;;;;;;;;;;;;;
RECTORADO;"DECANATO DE
POSGRADO";TITULACIÓN DE POSRGADO;;;;;;;;;;;;;;;;;;;;;;;
RECTORADO;"DECANATO DE
POSGRADO";GESTIÓN FINANCIERA Y ATENCIONES;;;;;;;;;;;;;;;;;;;;;;;
"VICERRECTORADO
ACADÉMICO";DECANATO DE DESARROLLO ACADÉMICO;DESARROLLO DE RECURSOS ACADÉMICOS;;;;;;;;;;;;;;;;;;;;;;;
"VICERRECTORADO
ACADÉMICO";DECANATO DE DESARROLLO ACADÉMICO;GESTIÓN ACADÉMICA CURRICULAR ;;;;;;;;;;;;;;;;;;;;;;;
"VICERRECTORADO
ACADÉMICO";DECANATO DE DESARROLLO ACADÉMICO;DESARROLLO PEDAGÓGICO Y DIDÁCTICO ;;;;;;;;;;;;;;;;;;;;;;;
"VICERRECTORADO
ACADÉMICO";DECANATO ACADÉMICO;GESTIÓN ACADÉMICA;;;;;;;;;;;;;;;;;;;;;;;
"VICERRECTORADO
ACADÉMICO";DECANATO ACADÉMICO;AUDITORÍAS ACADÉMICAS;;;;;;;;;;;;;;;;;;;;;;;
"VICERRECTORADO
ACADÉMICO";"DECANATO DE
TELEEDUCACIÓN";GESTIÓN DE TELEEDUCACIÓN PARA LAS FUNCIONES SUSTANTIVAS;;;;;;;;;;;;;;;;;;;;;;;
"VICERRECTORADO
ACADÉMICO";"DECANATO DE
TELEEDUCACIÓN";GESTIÓN TECNOLÓGICA DE TELEEDUCACIÓN;;;;;;;;;;;;;;;;;;;;;;;
"VICERRECTORADO
ACADÉMICO";"DIRECCIÓN DE ADMISIÓN
Y NIVELACIÓN";ADMISIÓN;;;;;;;;;;;;;;;;;;;;;;;
"VICERRECTORADO
ACADÉMICO";"DIRECCIÓN DE ADMISIÓN
Y NIVELACIÓN";NIVELACIÓN;;;;;;;;;;;;;;;;;;;;;;;
"VICERRECTORADO
ACADÉMICO";COORDINACIÓN DE IDIOMAS;GESTIÓN DE IDIOMAS;;;;;;;;;;;;;;;;;;;;;;;
"VICERRECTORADO DE
INVESTIGACIÓN Y
POSGRADO";"DECANATO DE
INVESTIGACIONES";GESTIÓN ESTRATÉGICA PARA INVESTIGACIÓN;;;;;;;;;;;;;;;;;;;;;;;
"VICERRECTORADO DE
INVESTIGACIÓN Y
POSGRADO";"DECANATO DE
INVESTIGACIONES";GESTIÓN TÉCNICA DE PROYECTOS ;;;;;;;;;;;;;;;;;;;;;;;
"VICERRECTORADO DE
INVESTIGACIÓN Y
POSGRADO";"DECANATO DE
INVESTIGACIONES";GESTIÓN DE CENTROS DE INVESTIGACIÓN;;;;;;;;;;;;;;;;;;;;;;;
"VICERRECTORADO DE
INVESTIGACIÓN Y
POSGRADO";"DECANATO DE
PUBLICACIONES";PUBLICACIONES;;;;;;;;;;;;;;;;;;;;;;;
"VICERRECTORADO DE
INVESTIGACIÓN Y
POSGRADO";"DECANATO DE
VINCULACIÓN";GESTIÓN DE VINCULACIÓN;;;;;;;;;;;;;;;;;;;;;;;
"VICERRECTORADO DE
INVESTIGACIÓN Y
POSGRADO";"DECANATO DE INNOVACIÓN,
EMPRENDIMIENTO Y
TRANSFERENCIA DE
TECNOLOGÍA";INNOVACIÓN;;;;;;;;;;;;;;;;;;;;;;;
"VICERRECTORADO DE
INVESTIGACIÓN Y
POSGRADO";"DECANATO DE INNOVACIÓN,
EMPRENDIMIENTO Y
TRANSFERENCIA DE
TECNOLOGÍA";EMPRENDIMIENTO;;;;;;;;;;;;;;;;;;;;;;;
"VICERRECTORADO DE
INVESTIGACIÓN Y
POSGRADO";"DECANATO DE INNOVACIÓN,
EMPRENDIMIENTO Y
TRANSFERENCIA DE
TECNOLOGÍA";TRANSFERENCIA DE TECNOLOGÍA;;;;;;;;;;;;;;;;;;;;;;;
"VICERRECTORADO DE
INVESTIGACIÓN Y
POSGRADO";"COORDINACIÓN DE
EDUCACIÓN CONTINUA";EDUCACIÓN CONTINUA;;;;;;;;;;;;;;;;;;;;;;;
"VICERRECTORADO
ADMINISTRATIVO";"DIRECCIÓN DE BIENESTAR
ESTUDIANTIL Y POLITÉCNICO";ATENCIÓN Y SALUD INTEGRAL;;;;;;;;;;;;;;;;;;;;;;;
"VICERRECTORADO
ADMINISTRATIVO";"DIRECCIÓN DE BIENESTAR
ESTUDIANTIL Y POLITÉCNICO";GESTIÓN DE SERVICIOS POLITÉCNICOS;;;;;;;;;;;;;;;;;;;;;;;
"VICERRECTORADO
ADMINISTRATIVO";"DIRECCIÓN DE BIENESTAR
ESTUDIANTIL Y POLITÉCNICO";BIENESTAR ESTUDIANTIL Y POLITÉCNICO;;;;;;;;;;;;;;;;;;;;;;;
"VICERRECTORADO
ADMINISTRATIVO";"DIRECCIÓN DE
TALENTO HUMANO";ADMINISTRACIÓN Y DESARROLLO DEL TALENTO HUMANO;;;;;;;;;;;;;;;;;;;;;;;
"VICERRECTORADO
ADMINISTRATIVO";"DIRECCIÓN DE
TALENTO HUMANO";RELACIONES LABORALES;;;;;;;;;;;;;;;;;;;;;;;
"VICERRECTORADO
ADMINISTRATIVO";"DIRECCIÓN DE
TALENTO HUMANO";SEGURIDAD  E HIGIENE EN EL TRABAJO;;;;;;;;;;;;;;;;;;;;;;;
"VICERRECTORADO
ADMINISTRATIVO";DIRECCIÓN ADMINISTRATIVA;BIENES Y BODEGA;;;;;;;;;;;;;;;;;;;;;;;
"VICERRECTORADO
ADMINISTRATIVO";DIRECCIÓN ADMINISTRATIVA;GESTIÓN DE TRANSPORTE;;;;;;;;;;;;;;;;;;;;;;;
"VICERRECTORADO
ADMINISTRATIVO";DIRECCIÓN ADMINISTRATIVA;SEGURIDAD INSTITUCIONAL;;;;;;;;;;;;;;;;;;;;;;;
"VICERRECTORADO
ADMINISTRATIVO";DIRECCIÓN ADMINISTRATIVA;CONTROL QUÍMICO AMBIENTAL;;;;;;;;;;;;;;;;;;;;;;;
"VICERRECTORADO
ADMINISTRATIVO";DIRECCIÓN ADMINISTRATIVA;CONTRATACIÓN PÚBLICA;;;;;;;;;;;;;;;;;;;;;;;
"VICERRECTORADO
ADMINISTRATIVO";"DIRECCIÓN DE
INFRAESTRUCTURA
Y MANTENIMIENTO";PROYECTOS DE INFRAESTRUCTURA FÍSICA;;;;;;;;;;;;;;;;;;;;;;;
"VICERRECTORADO
ADMINISTRATIVO";"DIRECCIÓN DE
INFRAESTRUCTURA
Y MANTENIMIENTO";FISCALIZACIÓN;;;;;;;;;;;;;;;;;;;;;;;
"VICERRECTORADO
ADMINISTRATIVO";"DIRECCIÓN DE
INFRAESTRUCTURA
Y MANTENIMIENTO";MANTENIMIENTO DE LA INFRAESTRUCTURA;;;;;;;;;;;;;;;;;;;;;;;
"VICERRECTORADO
ADMINISTRATIVO";"DIRECCIÓN DE
INFRAESTRUCTURA
Y MANTENIMIENTO";GESTIÓN AMBIENTAL DE LA INFRAESTRUCTURA;;;;;;;;;;;;;;;;;;;;;;;
"VICERRECTORADO
ADMINISTRATIVO";"DIRECCIÓN DE BIBLIOTECAS Y
RECURSOS DEL APRENDIZAJE Y
LA INVESTIGACIÓN";GESTIÓN DE BIBLIOTECAS Y PROCESOS TÉCNICOS;;;;;;;;;;;;;;;;;;;;;;;
"VICERRECTORADO
ADMINISTRATIVO";"DIRECCIÓN DE BIBLIOTECAS Y
RECURSOS DEL APRENDIZAJE Y
LA INVESTIGACIÓN";GESTIÓN DE LA INFORMACIÓN VIRTUAL;;;;;;;;;;;;;;;;;;;;;;;
"VICERRECTORADO
ADMINISTRATIVO";"DIRECCIÓN DE BIBLIOTECAS Y
RECURSOS DEL APRENDIZAJE Y
LA INVESTIGACIÓN";GESTIÓN DE RECURSOS PARA EL APRENDIZAJE;;;;;;;;;;;;;;;;;;;;;;;
