Institución;Nombre de la Entidad
Descripción;Estructura Orgánica Funcional
Nombre del campo;Nombre del área o departamento de la entidad
Nivel superior;Relación de dirección o dependencia dentro de la estructura orgánica
Unidad;Explicación de las funciones que conforman la estructura organizativa de la entidad y los niveles de los procesos.
Nivel de los Procesos de la Estructura Organica Funcional;Gobernantes, Agregadores de valor y Habilitantes de Asesoría y Apoyo
