FECHA DE PUBLICACIÓN;CÓDIGO DEL PROCESO;TIPO DE PROCESO;OBJETO DEL PROCESO;PRESUPUESTO REFERENCIAL - USD;PARTIDA PRESUPUESTARIA;MONTO DE LA ADJUDICACIÓN - USD;ETAPA DE LA CONTRATACIÓN;IDENTIFICACIÓN DEL CONTRATISTA;LINK PARA DESCARGAR EL PROCESO DE CONTRATACIÓN DESDE EL PORTAL DE COMPRAS PÚBLICAS
2026-02-27;LICSG-ESPOCH-2026-01;Licitación de Seguros;CONTRATACION DEL SEGURO DE VIDA Y ACCIDENTES PERSONALES DE LOS ESTUDIANTES DE LA ESPOCH.;450,000.00;82 00 000 001 570201 0601 002 7001 0006 82 00 000 001 570201 0601 001 0000 0000;;Preguntas, Respuestas y Aclaraciones;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=_KePZXCnbOOxcufNVdWZNU_l_kGtTMxGAV3hPx2ZPJQ,
2026-02-13;SIE-ESPOCH-2026-01;Subasta Inversa Electrónica;ADQUISICIÓN DE UNA ESTACION INTEGRAL DE SIMULACIÓN INDUSTRIAL PARA LA CREACIÓN DE LA UNIVERSIDAD ESTATAL DE ORELLANA; 334,666.00;82 00 031 001 840104 0601 003 0640 004;;Entrega de Propuesta;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=tqfzaoTZMNtDfF48pUj1EZK7fxVFqba0-u89u6MmdXQ,
2026-02-18;VPN-ESPOCH-2026-01;Produccion Nacional;ADQUISICIÓN DE UNA BUSETA PARA LA SEDE ORELLANA DE LA ESCUELA SUPERIOR POLITECNICA DE CHIMBORAZO;85426,47;82 00 030 001 840105 0601 003 06400009;;;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=4itz1dk0eoIEz-th_V4W3WDqT9xCBaRH2zhtyvj8ir8,
2026-02-28;;CATÁLOGO ELECTRÓNICO;;290231,48;;290.231,48;;;LISTADO CATALOGO ELECTRONICO FEBRERO 2026.pdf
31/09/2025;;INFIMA CUANTIA;;0,00;;0,00;;;Búsqueda _ Registro de Facturas_Febrero.pdf
;;;;375.657,95;;;;;
