No.;RUC - Número Identificación de la empresa o persona contratista;Número de contrato - código del proceso de contratación fallido o incumplido;Monto del contrato incumplido;Fecha desde;Fecha hasta
No se han declarado adjudicatarios fallidos o contratistas incumplidos en el presente mes;No se han declarado adjudicatarios fallidos o contratistas incumplidos en el presente mes;No se han declarado adjudicatarios fallidos o contratistas incumplidos en el presente mes;No se han declarado adjudicatarios fallidos o contratistas incumplidos en el presente mes;No se han declarado adjudicatarios fallidos o contratistas incumplidos en el presente mes;No se han declarado adjudicatarios fallidos o contratistas incumplidos en el presente mes
