Cuenta;Categoría;Descripción;Asignado;Modificado;Codificado;Monto certificado;Comprometido;Devengado;Pagado;Saldo por comprometer;Saldo por devengar;Saldo por pagar;Porcentaje de ejecución
 510105 1700 003;Egresos En Personal;Remuneraciones Unificadas;8056986.51;-10794.75;8046191.76;0;663861.94;663861.94;663861.94;7382329.82;7382329.82;0;8.25
 510106 1700 003;Egresos En Personal;Salarios Unificados;886153;-0.28;886152.72;0;73846.06;73846.06;73846.06;812306.66;812306.66;0;8.33
 510108 1700 003;Egresos En Personal;Remuneracion Mensual Unificada de Docentes del Magisterio y Docentes e Investigadores Universitarios;13937974;56934.32;13994908.32;0;1161533.14;1161533.14;1161533.14;12833375.18;12833375.18;0;8.3
 510111 1700 003;Egresos En Personal;Remuneraciones Unificadas de Profesionales de la Salud;100416;0;100416;0;8368;8368;8368;92048;92048;0;8.33
 510203 1700 003;Egresos En Personal;Decimo Tercer Sueldo;2547074;991.61;2548065.61;0;126715.63;126715.63;126198.46;2421349.98;2421349.98;517.17;4.97
 510204 1700 003;Egresos En Personal;Decimo Cuarto Sueldo;608885;-940;607945;0;27693.19;27693.19;27536.51;580251.81;580251.81;156.68;4.56
 510304 1700 003;Egresos En Personal;Compensacion por Transporte;11394;0;11394;0;472;472;472;10922;10922;0;4.14
 510306 1700 003;Egresos En Personal;Alimentacion;103118;0.24;103118.24;0;5704;5704;5704;97414.24;97414.24;0;5.53
 510401 1700 003;Egresos En Personal;Por Cargas Familiares;4469;-0.2;4468.8;0;381.8;381.8;381.8;4087;4087;0;8.54
 510408 1700 003;Egresos En Personal;Subsidio de Antiguedad;21019;-0.04;21018.96;0;1842.11;1842.11;1842.11;19176.85;19176.85;0;8.76
 510502 1700 003;Egresos En Personal;Remuneracion Unificada para Pasantes e Internos Rotativos de Salud;50599;3452.51;54051.51;0;0;0;0;54051.51;54051.51;0;0
 510509 1700 003;Egresos En Personal;Horas Extraordinarias y Suplementarias;25000;-15000;10000;0;4460.53;4460.53;2519.87;5539.47;5539.47;1940.66;44.61
 510510 1700 003;Egresos En Personal;Servicios Personales por Contrato;965760;-28503.21;937256.79;0;74620;74620;74620;862636.79;862636.79;0;7.96
 510512 1700 003;Egresos En Personal;Subrogacion;20000;0;20000;0;1168.05;1168.05;1168.05;18831.95;18831.95;0;5.84
 510513 1700 003;Egresos En Personal;Encargos;25000;-545.03;24454.97;0;0;0;0;24454.97;24454.97;0;0
 510517 1700 003;Egresos En Personal;Servicios Personales por Contrato de Profesionales de la Salud;42240;0;42240;0;3520;3520;3520;38720;38720;0;8.33
 510518 1700 003;Egresos En Personal;Servicios Personales por Contrato de Docentes del Magisterio y Docentes e Investigadores Universitarios;6575345;-9314.52;6566030.48;0;552062.85;552062.85;552062.85;6013967.63;6013967.63;0;8.41
 510601 1700 003;Egresos En Personal;Aporte Patronal;2895815;2732.49;2898547.49;0;238275.75;238275.75;238275.75;2660271.74;2660271.74;0;8.22
 510602 1700 003;Egresos En Personal;Fondo de Reserva;2546054;992.38;2547046.38;0;120.22;120.22;120.22;2546926.16;2546926.16;0;0
 510706 1700 003;Egresos En Personal;Beneficio por Jubilacion;300220;-5.52;300214.48;0;0;0;0;300214.48;300214.48;0;0
 530101 1701 002;Bienes Y Servicios De Consumo;Agua Potable;36415;-8815;27600;24000;3600;184.41;184.41;24000;27415.59;0;0.67
 530104 1701 001;Bienes Y Servicios De Consumo;Energia Electrica;132488;-0.04;132487.96;132103.49;373.47;359.03;291.71;132114.49;132128.93;67.32;0.27
 530104 1701 002;Bienes Y Servicios De Consumo;Energia Electrica;110698;-13898;96800;92000;4800;1293.73;1004.94;92000;95506.27;288.79;1.34
 530105 1701 001;Bienes Y Servicios De Consumo;Telecomunicaciones;118062;0;118062;107781.56;490.4;490.4;490.4;117571.6;117571.6;0;0.42
 530105 1701 002;Bienes Y Servicios De Consumo;Telecomunicaciones;263136;-0.34;263135.66;9820;2850;271.96;35.47;260285.66;262863.7;236.49;0.1
 530106 1701 002;Bienes Y Servicios De Consumo;Servicio de Correo;0;13;13;0;0;0;0;13;13;0;0
 530201 1701 002;Bienes Y Servicios De Consumo;Transporte de Personal;0;200;200;0;0;0;0;200;200;0;0
 530201 1701 003;Bienes Y Servicios De Consumo;Transporte de Personal;525927;-74299.73;451627.27;0;183025;0;0;268602.27;451627.27;0;0
 530202 1701 002;Bienes Y Servicios De Consumo;Fletes y Maniobras;9085;8;9093;0;0;0;0;9093;9093;0;0
 530203 1701 002;Bienes Y Servicios De Consumo;Almacenamiento Embalaje Desembalaje Envase Desenvase y Recarga de Extintores;600;0;600;0;0;0;0;600;600;0;0
 530203 1701 003;Bienes Y Servicios De Consumo;Almacenamiento Embalaje Desembalaje Envase Desenvase y Recarga de Extintores;8672;0;8672;0;0;0;0;8672;8672;0;0
 530204 1701 001;Bienes Y Servicios De Consumo;Edicion Impresion Reproduccion Publicaciones Suscripciones Fotocopiado Traduccion Empastado Enmarcacion Serigrafia Fotografia Carnetizacion Filmacion e Imagenes Satelitales;87144;-48398.8;38745.2;13638.11;0;0;0;38745.2;38745.2;0;0
 530204 1701 002;Bienes Y Servicios De Consumo;Edicion Impresion Reproduccion Publicaciones Suscripciones Fotocopiado Traduccion Empastado Enmarcacion Serigrafia Fotografia Carnetizacion Filmacion e Imagenes Satelitales;169527;-8999.9;160527.1;66500;13.1;13.1;13.1;160514;160514;0;0.01
 530204 1701 003;Bienes Y Servicios De Consumo;Edicion Impresion Reproduccion Publicaciones Suscripciones Fotocopiado Traduccion Empastado Enmarcacion Serigrafia Fotografia Carnetizacion Filmacion e Imagenes Satelitales;30712;2500.24;33212.24;0;0;0;0;33212.24;33212.24;0;0
 530205 1701 003;Bienes Y Servicios De Consumo;Espectaculos Culturales y Sociales;0;6500;6500;0;0;0;0;6500;6500;0;0
 530205 1701 701;Bienes Y Servicios De Consumo;Espectaculos Culturales y Sociales;0;6044.03;6044.03;0;0;0;0;6044.03;6044.03;0;0
 530207 1701 002;Bienes Y Servicios De Consumo;Difusion Informacion y Publicidad;114225;-28179.49;86045.51;2720;38430;4270;4270;47615.51;81775.51;0;4.96
 530208 1701 002;Bienes Y Servicios De Consumo;Servicio de Seguridad y Vigilancia;1337464;187977.71;1525441.71;2700;147624.68;21089.24;0;1377817.03;1504352.47;21089.24;1.38
 530209 1701 002;Bienes Y Servicios De Consumo;Servicios de Aseo Lavado de Vestimenta de Trabajo Fumigacion Desinfeccion Limpieza de Instalaciones manejo de desechos contaminados recuperacion y clasificacion de materiales reciclables;1057709;-18779.02;1038929.98;0;78948;19737;19737;959981.98;1019192.98;0;1.9
 530209 1701 003;Bienes Y Servicios De Consumo;Servicios de Aseo Lavado de Vestimenta de Trabajo Fumigacion Desinfeccion Limpieza de Instalaciones manejo de desechos contaminados recuperacion y clasificacion de materiales reciclables;66247;-0.11;66246.89;0;0;0;0;66246.89;66246.89;0;0
 530210 1701 003;Bienes Y Servicios De Consumo;Servicio de Guarderia;60000;0;60000;0;0;0;0;60000;60000;0;0
 530216 1701 002;Bienes Y Servicios De Consumo;Servicios de Voluntariado;7200;0;7200;4519.96;0;0;0;7200;7200;0;0
 530221 1701 001;Bienes Y Servicios De Consumo;Servicios Personales Eventuales sin Relacion de Dependencia;0;300;300;80;0;0;0;300;300;0;0
 530221 1701 002;Bienes Y Servicios De Consumo;Servicios Personales Eventuales sin Relacion de Dependencia;35000;-14800;20200;0;0;0;0;20200;20200;0;0
 530226 1701 003;Bienes Y Servicios De Consumo;Servicios Medicos Hospitalarios y Complementarios;31005;0;31005;0;0;0;0;31005;31005;0;0
 530239 1701 001;Bienes Y Servicios De Consumo;Membrecias;3500;650;4150;0;0;0;0;4150;4150;0;0
 530239 1701 002;Bienes Y Servicios De Consumo;Membrecias;5860;2800;8660;0;0;0;0;8660;8660;0;0
 530239 1701 003;Bienes Y Servicios De Consumo;Membrecias;4650;70090;74740;0;0;0;0;74740;74740;0;0
 530243 1701 002;Bienes Y Servicios De Consumo;Garantia Extendida de Bienes;97727;-2799.54;94927.46;82331.5;0;0;0;94927.46;94927.46;0;0
 530246 1701 003;Bienes Y Servicios De Consumo;Servicios de Identificacion Marcacion Autentificacion Rastreo Monitoreo Seguimiento y o Trazabilidad;2190;0;2190;0;0;0;0;2190;2190;0;0
 530248 1701 001;Bienes Y Servicios De Consumo;Eventos Oficiales;5850;10000;15850;0;0;0;0;15850;15850;0;0
