Nombre del mecanismo ;Numero de certificado;Periodo;Enlace
Formulario del informe de rendicion de cuentas presentado al Consejo de Participacion Ciudadana y Control Social del ejercicio fiscal anterior;15987;2024;https://liveespochedu-my.sharepoint.com/:b:/g/personal/relaciones_publicas_espoch_edu_ec/IQBY2izKaf-RSJD_36nQGQWxAZAckqE0DylLYPjF0iBc2zI?e=RHCnle
"Informe anual sobre el derecho humano de acceso a la
información pública 2024";NO APLICA ;2024;https://liveespochedu-my.sharepoint.com/personal/planificacion_espoch_edu_ec/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fplanificacion%5Fespoch%5Fedu%5Fec%2FDocuments%2F2025%2FLOTAIP%202025%2FINFORME%20ANUAL%2FInforme%20Anual%20de%20Transparencia%20%2D%20ESPOCH%202024%2Epdf&parent=%2Fpersonal%2Fplanificacion%5Fespoch%5Fedu%5Fec%2FDocuments%2F2025%2FLOTAIP%202025%2FINFORME%20ANUAL&ga=1
Informe de distribucion del gasto en publicidad contratado en cada medio de comunicacion;NO APLICA;2024;NO APLICA
