NOMBRES Y APELLIDOS;Puesto institucional;Tipo;Fecha de inicio del viaje;Fecha de fin del viaje;Descripción;Valor del viaje;Enlace para descargar el informe y justificativo
NA;NA;NA;NA;NA;NA;NA;NA
