CODIGOG3;DESCRIPCIONG2;DESCRIPCIONG3;Asignado;Modificado;Codificado;Monto certificado;Comprometido;Devengado;Pagado;Saldo por comprometer;Saldo por devengar;Saldo por pagar;Porcentaje de ejecuci?
531512 1705 001;BIENES Y SERVICIOS DE CONSUMO;Semovientes;0;18980;18980;0;0;0;0;18980;18980;0;0;189
530104 0501 002;BIENES Y SERVICIOS DE CONSUMO;Energia Electrica;5390;0;5390;0;0;0;0;5390;5390;0;0;189
530104 1705 001;BIENES Y SERVICIOS DE CONSUMO;Energia Electrica;232700;-200254,58;32445,42;0;3146,08;3146,08;0;29299,34;29299,34;3146,08;9,7;189
530207 1705 002;BIENES Y SERVICIOS DE CONSUMO;Difusion Informacion y Publicidad;61536;-17036;44500;0;0;0;0;44500;44500;0;0;189
530209 1705 001;BIENES Y SERVICIOS DE CONSUMO;Servicios de Aseo Lavado de Vestimenta de Trabajo Fumigacion Desinfeccion Limpieza de Instalaciones manejo de desechos contaminados recuperacion y clasificacion de materiales reciclables;162921,25;62329,81;225251,06;0;95655,36;0;0;129595,7;225251,06;0;0;189
530209 0501 002;BIENES Y SERVICIOS DE CONSUMO;Servicios de Aseo Lavado de Vestimenta de Trabajo Fumigacion Desinfeccion Limpieza de Instalaciones manejo de desechos contaminados recuperacion y clasificacion de materiales reciclables;3500;0;3500;0;0;0;0;3500;3500;0;0;189
530220 1705 002;BIENES Y SERVICIOS DE CONSUMO;Servicios para Actividades Agropecuarias Pesca y Caza;1222,2;6849;8071,2;0;0;0;0;8071,2;8071,2;0;0;189
530249 1705 002;BIENES Y SERVICIOS DE CONSUMO;Eventos Publicos Promocionales;97000;-15000;82000;0;0;0;0;82000;82000;0;0;189
530255 1705 001;BIENES Y SERVICIOS DE CONSUMO;Combustibles;10421,14;9555,49;19976,63;0;0;0;0;19976,63;19976,63;0;0;189
530301 1705 001;BIENES Y SERVICIOS DE CONSUMO;Pasajes al Interior;6270,95;1000;7270,95;0;0;0;0;7270,95;7270,95;0;0;189
530302 1705 002;BIENES Y SERVICIOS DE CONSUMO;Pasajes al Exterior;58218,87;33981,13;92200;0;0;0;0;92200;92200;0;0;189
530302 0501 002;BIENES Y SERVICIOS DE CONSUMO;Pasajes al Exterior;1500;0;1500;0;0;0;0;1500;1500;0;0;189
530303 2301 002;BIENES Y SERVICIOS DE CONSUMO;Viaticos y Subsistencias en el Interior;154,29;2845,71;3000;0;0;0;0;3000;3000;0;0;189
530303 0501 002;BIENES Y SERVICIOS DE CONSUMO;Viaticos y Subsistencias en el Interior;3000;0;3000;0;0;0;0;3000;3000;0;0;189
530405 1705 002;BIENES Y SERVICIOS DE CONSUMO;Vehiculos (Servicio para Mantenimiento y Reparacion);44684,5;-8691,9;35992,6;0;0;0;0;35992,6;35992,6;0;0;189
530502 1705 001;BIENES Y SERVICIOS DE CONSUMO;Edificios Locales y Residencias Parqueaderos Casilleros Judiciales y Bancarios (Arrendamiento);4500;-4500;0;0;0;0;0;0;0;0;0;189
530601 1705 001;BIENES Y SERVICIOS DE CONSUMO;Consultoria Asesoria e Investigacion Especializada;96000;-70000;26000;0;0;0;0;26000;26000;0;0;189
530606 0501 002;BIENES Y SERVICIOS DE CONSUMO;Honorarios por Contratos Civiles de Servicios;90027,67;0;90027,67;0;0;0;0;90027,67;90027,67;0;0;189
530704 0501 003;BIENES Y SERVICIOS DE CONSUMO;Mantenimiento y Reparacion de Equipos y Sistemas Informaticos;915;0;915;0;0;0;0;915;915;0;0;189
530803 2301 002;BIENES Y SERVICIOS DE CONSUMO;Lubricantes;1305;-1085;220;0;0;0;0;220;220;0;0;189
530803 2301 001;BIENES Y SERVICIOS DE CONSUMO;Lubricantes;3977,98;3699,02;7677;0;0;0;0;7677;7677;0;0;189
530804 1705 002;BIENES Y SERVICIOS DE CONSUMO;Materiales de Oficina;81474,95;1859,05;83334;0;1456,53;0;0;81877,47;83334;0;0;189
530805 0501 002;BIENES Y SERVICIOS DE CONSUMO;Materiales de Aseo;7000;0;7000;0;0;0;0;7000;7000;0;0;189
530807 1705 002;BIENES Y SERVICIOS DE CONSUMO;Materiales de Impresion Fotografia Reproduccion y Publicaciones;59,32;135,68;195;0;0;0;0;195;195;0;0;189
530809 1705 001;BIENES Y SERVICIOS DE CONSUMO;Medicamentos;1542,96;-1542,96;0;0;0;0;0;0;0;0;0;189
530811 2301 002;BIENES Y SERVICIOS DE CONSUMO;Insumos Materiales y Suministros para Construccion Electricidad Plomeria Carpinteria Senalizacion Vial Navegacion Contra Incendios y placas;7933,9;4026,1;11960;0;0;0;0;11960;11960;0;0;189
530819 1705 002;BIENES Y SERVICIOS DE CONSUMO;Accesorios e Insumos Quimicos y Organicos;2500;1030;3530;0;0;0;0;3530;3530;0;0;189
530823 2301 001;BIENES Y SERVICIOS DE CONSUMO;Egresos para Sanidad Agropecuaria;86494,42;3757,73;90252,15;0;0;0;0;90252,15;90252,15;0;0;189
530826 1705 002;BIENES Y SERVICIOS DE CONSUMO;Dispositivos e Insumos Medicos de Uso General;5451,68;2630;8081,68;0;0;0;0;8081,68;8081,68;0;0;189
530827 1705 001;BIENES Y SERVICIOS DE CONSUMO;Uniformes Deportivos;3050;-0,31;3049,69;0;2599,69;0;0;450;3049,69;0;0;189
530829 2301 001;BIENES Y SERVICIOS DE CONSUMO;Insumos Materiales Suministros y bienes para Investigacion;1680;-1680;0;0;0;0;0;0;0;0;0;189
570102 1705 003;OTROS EGRESOS CORRIENTES;Tasas Generales Impuestos Contribuciones Permisos Licencias y Patentes;123786,66;-68845,66;54941;0;0;0;0;54941;54941;0;0;189
580209 1705 002;TRANSFERENCIAS O DONACIONES CORRIENTES;A Jubilados Patronales;142421,15;-142421,15;0;0;0;0;0;0;0;0;0;189
710707 1700 001;EGRESOS EN PERSONAL PARA INVERSION;Compensacion por Vacaciones no Gozadas por Cesacion de Funciones;6692;0;6692;0;0;0;0;6692;6692;0;0;189
730204 2301 001;BIENES Y SERVICIOS PARA INVERSION;Edicion Impresion Reproduccion Publicaciones Suscripciones Fotocopiado Traduccion Empastado Enmarcacion Serigrafia Fotografia Carnetizacion Filmacion e Imagenes Satelitales;3600;0;3600;0;0;0;0;3600;3600;0;0;189
730302 0501 001;BIENES Y SERVICIOS PARA INVERSION;Pasajes al Exterior;0;0;0;0;0;0;0;0;0;0;0;189
840103 1705 001;EGRESOS DE CAPITAL;Mobiliarios;11137;-11137;0;0;0;0;0;0;0;0;0;189
840103 2301 001;EGRESOS DE CAPITAL;Mobiliarios;0;0;0;0;0;0;0;0;0;0;0;189
840104 2301 001;EGRESOS DE CAPITAL;Maquinarias y Equipos;14422,98;3050;17472,98;0;0;0;0;17472,98;17472,98;0;0;189
840104 0501 001;EGRESOS DE CAPITAL;Maquinarias y Equipos;0;0;0;0;0;0;0;0;0;0;0;189
840106 2301 002;EGRESOS DE CAPITAL;Herramientas;0;1600;1600;0;0;0;0;1600;1600;0;0;189
840106 0100 002;EGRESOS DE CAPITAL;Herramientas;0;0;0;0;0;0;0;0;0;0;0;189
840107 0501 003;EGRESOS DE CAPITAL;Equipos Sistemas y Paquetes Informaticos;0;0;0;0;0;0;0;0;0;0;0;189
990101 1705 003;OTROS PASIVOS;Obligaciones de Ejercicios Anteriores por Egresos de Personal;0;0;0;0;0;0;0;0;0;0;0;189
510106 2300 003;EGRESOS EN PERSONAL;Salarios Unificados;155224,8;-155224,8;0;0;0;0;0;0;0;0;0;189
510203 1700 003;EGRESOS EN PERSONAL;Decimo Tercer Sueldo;3271247,52;-50280,63;3220966,89;0;101041,04;101041,04;0;3119925,85;3119925,85;101041,04;3,14;189
510509 1700 003;EGRESOS EN PERSONAL;Horas Extraordinarias y Suplementarias;211670,96;-49094,05;162576,91;0;4330,47;4330,47;4330,47;158246,44;158246,44;0;2,66;189
510513 1700 003;EGRESOS EN PERSONAL;Encargos;11700;-6700;5000;0;871,87;871,87;871,87;4128,13;4128,13;0;17,44;189
510517 0500 003;EGRESOS EN PERSONAL;Servicios Personales por Contrato de Profesionales de la Salud;37056;-37056;0;0;0;0;0;0;0;0;0;189
531404 1705 001;BIENES Y SERVICIOS DE CONSUMO;Maquinarias y Equipos;20000;-16578,08;3421,92;0;0;0;0;3421,92;3421,92;0;0;189
531406 2301 002;BIENES Y SERVICIOS DE CONSUMO;Herramientas y Equipos Menores;845;2889;3734;0;0;0;0;3734;3734;0;0;189
531408 1705 001;BIENES Y SERVICIOS DE CONSUMO;Bienes Artisticos Culturales Deportivos y Simbolos Patrios;570;-95;475;0;475;0;0;0;475;0;0;189
531408 1705 002;BIENES Y SERVICIOS DE CONSUMO;Bienes Artisticos Culturales Deportivos y Simbolos Patrios;0;150;150;0;0;0;0;150;150;0;0;189
531409 2301 001;BIENES Y SERVICIOS DE CONSUMO;Libros y Colecciones;0;2000;2000;0;0;0;0;2000;2000;0;0;189
530101 1705 002;BIENES Y SERVICIOS DE CONSUMO;Agua Potable;3600;0;3600;0;0;0;0;3600;3600;0;0;189
530102 0501 001;BIENES Y SERVICIOS DE CONSUMO;Agua de Riego;900;0;900;0;0;0;0;900;900;0;0;189
530105 1705 002;BIENES Y SERVICIOS DE CONSUMO;Telecomunicaciones;150987,66;127901,28;278888,94;0;0;0;0;278888,94;278888,94;0;0;189
530105 2301 001;BIENES Y SERVICIOS DE CONSUMO;Telecomunicaciones;2400;-200,04;2199,96;0;0;0;0;2199,96;2199,96;0;0;189
530204 0100 002;BIENES Y SERVICIOS DE CONSUMO;Edicion Impresion Reproduccion Publicaciones Suscripciones Fotocopiado Traduccion Empastado Enmarcacion Serigrafia Fotografia Carnetizacion Filmacion e Imagenes Satelitales;0;400;400;0;0;0;0;400;400;0;0;189
530208 1705 001;BIENES Y SERVICIOS DE CONSUMO;Servicio de Seguridad y Vigilancia;373638,04;42467,65;416105,69;0;416105,69;0;0;0;416105,69;0;0;189
530248 1700 002;BIENES Y SERVICIOS DE CONSUMO;Eventos Oficiales;0;0;0;0;0;0;0;0;0;0;0;189
530301 1705 003;BIENES Y SERVICIOS DE CONSUMO;Pasajes al Interior;0;2000;2000;0;0;0;0;2000;2000;0;0;189
530402 2301 002;BIENES Y SERVICIOS DE CONSUMO;Edificios Locales Residencias y Cableado Estructurado (Instalacion Mantenimiento y Reparacion);26724,58;-24724,58;2000;0;0;0;0;2000;2000;0;0;189
530405 0501 002;BIENES Y SERVICIOS DE CONSUMO;Vehiculos (Servicio para Mantenimiento y Reparacion);2500;0;2500;0;0;0;0;2500;2500;0;0;189
530417 0501 003;BIENES Y SERVICIOS DE CONSUMO;Infraestructura;0;0;0;0;0;0;0;0;0;0;0;189
530606 0501 001;BIENES Y SERVICIOS DE CONSUMO;Honorarios por Contratos Civiles de Servicios;117613,8;0;117613,8;0;0;0;0;117613,8;117613,8;0;0;189
530612 0501 002;BIENES Y SERVICIOS DE CONSUMO;Capacitacion a Servidores Publicos;7000;0;7000;0;0;0;0;7000;7000;0;0;189
530704 1705 003;BIENES Y SERVICIOS DE CONSUMO;Mantenimiento y Reparacion de Equipos y Sistemas Informaticos;0;5980;5980;0;0;0;0;5980;5980;0;0;189
530704 1705 002;BIENES Y SERVICIOS DE CONSUMO;Mantenimiento y Reparacion de Equipos y Sistemas Informaticos;0;8900;8900;0;0;0;0;8900;8900;0;0;189
530801 1705 001;BIENES Y SERVICIOS DE CONSUMO;Alimentos y Bebidas;2231,6;-2231,6;0;0;0;0;0;0;0;0;0;189
530802 1705 003;BIENES Y SERVICIOS DE CONSUMO;Vestuario Lenceria Prendas de Proteccion Insumos y Accesorios para uniformes del personal de Proteccion Vigilancia y Seguridad;15680;34418,8;50098,8;0;0;0;0;50098,8;50098,8;0;0;189
530804 1705 001;BIENES Y SERVICIOS DE CONSUMO;Materiales de Oficina;462,07;-462,07;0;0;0;0;0;0;0;0;0;189
530804 2301 002;BIENES Y SERVICIOS DE CONSUMO;Materiales de Oficina;2518,91;-871,11;1647,8;0;0;0;0;1647,8;1647,8;0;0;189
530805 1705 001;BIENES Y SERVICIOS DE CONSUMO;Materiales de Aseo;12250,24;-6132,39;6117,85;0;0;0;0;6117,85;6117,85;0;0;189
530810 2301 002;BIENES Y SERVICIOS DE CONSUMO;Dispositivos Medicos para Laboratorio Clinico y de Patologia;5340,5;1253,24;6593,74;0;0;0;0;6593,74;6593,74;0;0;189
530810 1705 001;BIENES Y SERVICIOS DE CONSUMO;Dispositivos Medicos para Laboratorio Clinico y de Patologia;0;6101,01;6101,01;0;0;0;0;6101,01;6101,01;0;0;189
530812 1705 001;BIENES Y SERVICIOS DE CONSUMO;Materiales Didacticos;0;1000;1000;0;0;0;0;1000;1000;0;0;189
530814 1705 001;BIENES Y SERVICIOS DE CONSUMO;Suministros para Actividades Agropecuarias Pesca y Caza;15865,7;-10365,7;5500;0;0;0;0;5500;5500;0;0;189
530814 1705 003;BIENES Y SERVICIOS DE CONSUMO;Suministros para Actividades Agropecuarias Pesca y Caza;10000;-10000;0;0;0;0;0;0;0;0;0;189
530824 1705 002;BIENES Y SERVICIOS DE CONSUMO;Insumos Bienes y Materiales para Produccion de Programas de Radio Television Eventos Culturales Artisticos y Entretenimiento en General;0;10321,02;10321,02;0;0;0;0;10321,02;10321,02;0;0;189
530829 1705 003;BIENES Y SERVICIOS DE CONSUMO;Insumos Materiales Suministros y bienes para Investigacion;49567,14;97910,06;147477,2;0;0;0;0;147477,2;147477,2;0;0;189
570201 1705 002;OTROS EGRESOS CORRIENTES;Seguros;311000;11560;322560;0;0;0;0;322560;322560;0;0;189
580209 1700 003;TRANSFERENCIAS O DONACIONES CORRIENTES;A Jubilados Patronales;771248,88;47571,38;818820,26;0;60130,02;60130,02;60130,02;758690,24;758690,24;0;7,34;189
710203 1700 001;EGRESOS EN PERSONAL PARA INVERSION;Decimo Tercer Sueldo;6692;0;6692;0;90,5;90,5;0;6601,5;6601,5;90,5;1,35;189
710602 1700 001;EGRESOS EN PERSONAL PARA INVERSION;Fondo de Reserva;6689,03;0;6689,03;0;0;0;0;6689,03;6689,03;0;0;189
730609 2301 001;BIENES Y SERVICIOS PARA INVERSION;Investigaciones Profesionales y Analisis de Laboratorio;0;6600;6600;0;0;0;0;6600;6600;0;0;189
730829 1705 001;BIENES Y SERVICIOS PARA INVERSION;Insumos Materiales Suministros y Bienes para Investigacion;33633,51;-350;33283,51;0;0;0;0;33283,51;33283,51;0;0;189
750107 1705 001;OBRAS PUBLICAS;Construcciones y Edificaciones;1183340,21;-785654,32;397685,89;0;0;0;0;397685,89;397685,89;0;0;189
840107 2301 002;EGRESOS DE CAPITAL;Equipos Sistemas y Paquetes Informaticos;0;2750;2750;0;0;0;0;2750;2750;0;0;189
840111 1705 002;EGRESOS DE CAPITAL;Partes y Repuestos;6000;-6000;0;0;0;0;0;0;0;0;0;189
510105 2400 003;EGRESOS EN PERSONAL;Remuneraciones Unificadas;46680;-46680;0;0;0;0;0;0;0;0;0;189
510203 1700 002;EGRESOS EN PERSONAL;Decimo Tercer Sueldo;0;17823,36;17823,36;0;443,91;443,91;0;17379,45;17379,45;443,91;2,49;189
510204 0500 003;EGRESOS EN PERSONAL;Decimo Cuarto Sueldo;170610;-170610;0;0;0;0;0;0;0;0;0;189
510518 1700 003;EGRESOS EN PERSONAL;Servicios Personales por Contrato de Docentes del Magisterio y Docentes e Investigadores Universitarios;10659182,91;12286,02;10671468,93;0;863976,72;863976,72;0;9807492,21;9807492,21;863976,72;8,1;189
510518 1700 002;EGRESOS EN PERSONAL;Servicios Personales por Contrato de Docentes del Magisterio y Docentes e Investigadores Universitarios;0;106324,3;106324,3;0;0;0;0;106324,3;106324,3;0;0;189
510707 1700 002;EGRESOS EN PERSONAL;Compensacion por Vacaciones no Gozadas por Cesacion de Funciones;0;2800;2800;0;0;0;0;2800;2800;0;0;189
531403 1705 001;BIENES Y SERVICIOS DE CONSUMO;Mobiliario;270;-270;0;0;0;0;0;0;0;0;0;189
531403 2301 002;BIENES Y SERVICIOS DE CONSUMO;Mobiliario;0;70;70;0;0;0;0;70;70;0;0;189
531406 1705 001;BIENES Y SERVICIOS DE CONSUMO;Herramientas y Equipos Menores;230;-230;0;0;0;0;0;0;0;0;0;189
531406 1705 003;BIENES Y SERVICIOS DE CONSUMO;Herramientas y Equipos Menores;0;5243,38;5243,38;0;0;0;0;5243,38;5243,38;0;0;189
531601 1705 001;BIENES Y SERVICIOS DE CONSUMO;Fondos de Reposicion Cajas Chicas;6050;350;6400;0;0;0;0;6400;6400;0;0;189
530102 1705 001;BIENES Y SERVICIOS DE CONSUMO;Agua de Riego;254,97;-254,97;0;0;0;0;0;0;0;0;0;189
530104 2301 001;BIENES Y SERVICIOS DE CONSUMO;Energia Electrica;54024,59;3975,37;57999,96;0;0;0;0;57999,96;57999,96;0;0;189
530104 1705 003;BIENES Y SERVICIOS DE CONSUMO;Energia Electrica;0;181200;181200;0;0;0;0;181200;181200;0;0;189
530201 1705 002;BIENES Y SERVICIOS DE CONSUMO;Transporte de Personal;1000;0;1000;0;0;0;0;1000;1000;0;0;189
530203 0501 002;BIENES Y SERVICIOS DE CONSUMO;Almacenamiento Embalaje Desembalaje Envase Desenvase y Recarga de Extintores;1000;0;1000;0;0;0;0;1000;1000;0;0;189
530204 1705 002;BIENES Y SERVICIOS DE CONSUMO;Edicion Impresion Reproduccion Publicaciones Suscripciones Fotocopiado Traduccion Empastado Enmarcacion Serigrafia Fotografia Carnetizacion Filmacion e Imagenes Satelitales;16500;15503,6;32003,6;0;0;0;0;32003,6;32003,6;0;0;189
530209 1705 002;BIENES Y SERVICIOS DE CONSUMO;Servicios de Aseo Lavado de Vestimenta de Trabajo Fumigacion Desinfeccion Limpieza de Instalaciones manejo de desechos contaminados recuperacion y clasificacion de materiales reciclables;8960,73;2258;11218,73;0;0;0;0;11218,73;11218,73;0;0;189
530235 1705 002;BIENES Y SERVICIOS DE CONSUMO;Servicio de Alimentacion;1000;0;1000;0;0;0;0;1000;1000;0;0;189
530243 2301 003;BIENES Y SERVICIOS DE CONSUMO;Garantia Extendida de Bienes;785;-155;630;0;0;0;0;630;630;0;0;189
530246 2301 002;BIENES Y SERVICIOS DE CONSUMO;Servicios de Identificacion Marcacion Autentificacion Rastreo Monitoreo Seguimiento y o Trazabilidad;650;450;1100;0;0;0;0;1100;1100;0;0;189
530246 1705 002;BIENES Y SERVICIOS DE CONSUMO;Servicios de Identificacion Marcacion Autentificacion Rastreo Monitoreo Seguimiento y o Trazabilidad;0;2890;2890;0;0;0;0;2890;2890;0;0;189
530248 1705 002;BIENES Y SERVICIOS DE CONSUMO;Eventos Oficiales;84800;78929,99;163729,99;0;0;0;0;163729,99;163729,99;0;0;189
530303 1705 003;BIENES Y SERVICIOS DE CONSUMO;Viaticos y Subsistencias en el Interior;53104,39;22815,61;75920;0;2080;0;0;73840;75920;0;0;189
530402 0501 001;BIENES Y SERVICIOS DE CONSUMO;Edificios Locales Residencias y Cableado Estructurado (Instalacion Mantenimiento y Reparacion);18503,83;0;18503,83;0;0;0;0;18503,83;18503,83;0;0;189
530403 1705 002;BIENES Y SERVICIOS DE CONSUMO;Mobiliarios (Instalacion Mantenimiento y Reparacion);0;15000;15000;0;0;0;0;15000;15000;0;0;189
530404 0501 003;BIENES Y SERVICIOS DE CONSUMO;Maquinarias y Equipos (Instalacion Mantenimiento y Reparacion);0;0;0;0;0;0;0;0;0;0;0;189
530417 1705 002;BIENES Y SERVICIOS DE CONSUMO;Infraestructura;45400;-45400;0;0;0;0;0;0;0;0;0;189
530502 1705 002;BIENES Y SERVICIOS DE CONSUMO;Edificios Locales y Residencias Parqueaderos Casilleros Judiciales y Bancarios (Arrendamiento);1000;0;1000;0;0;0;0;1000;1000;0;0;189
530611 1705 002;BIENES Y SERVICIOS DE CONSUMO;Congresos Seminarios y Convenciones;700;-700;0;0;0;0;0;0;0;0;0;189
530701 1705 003;BIENES Y SERVICIOS DE CONSUMO;Desarrollo Actualizacion Asistencia Tecnica y Soporte de Sistemas Informaticos;800;293300;294100;0;0;0;0;294100;294100;0;0;189
530702 1705 003;BIENES Y SERVICIOS DE CONSUMO;Arrendamiento y Licencias de Uso de Paquetes Informaticos;2000;276946,92;278946,92;0;0;0;0;278946,92;278946,92;0;0;189
530703 1705 002;BIENES Y SERVICIOS DE CONSUMO;Arrendamiento de Equipos Informaticos;4320;-3089,07;1230,93;0;1045,08;0;0;185,85;1230,93;0;0;189
530704 1705 001;BIENES Y SERVICIOS DE CONSUMO;Mantenimiento y Reparacion de Equipos y Sistemas Informaticos;19507,61;-1814,41;17693,2;0;0;0;0;17693,2;17693,2;0;0;189
530801 2301 002;BIENES Y SERVICIOS DE CONSUMO;Alimentos y Bebidas;544;291;835;0;0;0;0;835;835;0;0;189
530801 1705 002;BIENES Y SERVICIOS DE CONSUMO;Alimentos y Bebidas;3949,29;-949,29;3000;0;0;0;0;3000;3000;0;0;189
530802 1705 001;BIENES Y SERVICIOS DE CONSUMO;Vestuario Lenceria Prendas de Proteccion Insumos y Accesorios para uniformes del personal de Proteccion Vigilancia y Seguridad;19826,34;-18246,34;1580;0;1580;0;0;0;1580;0;0;189
530804 0501 001;BIENES Y SERVICIOS DE CONSUMO;Materiales de Oficina;3451,41;0;3451,41;0;0;0;0;3451,41;3451,41;0;0;189
530807 2301 002;BIENES Y SERVICIOS DE CONSUMO;Materiales de Impresion Fotografia Reproduccion y Publicaciones;437,5;-437,5;0;0;0;0;0;0;0;0;0;189
530808 1705 002;BIENES Y SERVICIOS DE CONSUMO;Instrumental Medico Quirurgico;0;1200;1200;0;0;0;0;1200;1200;0;0;189
530809 2301 002;BIENES Y SERVICIOS DE CONSUMO;Medicamentos;2,18;-2,18;0;0;0;0;0;0;0;0;0;189
530811 1705 001;BIENES Y SERVICIOS DE CONSUMO;Insumos Materiales y Suministros para Construccion Electricidad Plomeria Carpinteria Senalizacion Vial Navegacion Contra Incendios y placas;30928,02;6682,33;37610,35;0;0;0;0;37610,35;37610,35;0;0;189
530811 1705 002;BIENES Y SERVICIOS DE CONSUMO;Insumos Materiales y Suministros para Construccion Electricidad Plomeria Carpinteria Senalizacion Vial Navegacion Contra Incendios y placas;149574,16;-66406,16;83168;0;0;0;0;83168;83168;0;0;189
530812 1705 003;BIENES Y SERVICIOS DE CONSUMO;Materiales Didacticos;0;4000;4000;0;0;0;0;4000;4000;0;0;189
530813 1705 003;BIENES Y SERVICIOS DE CONSUMO;Repuestos y Accesorios;452753,36;416814,18;869567,54;0;0;0;0;869567,54;869567,54;0;0;189
530820 2301 002;BIENES Y SERVICIOS DE CONSUMO;Menaje y Accesorios Descartables;434;-188;246;0;0;0;0;246;246;0;0;189
530826 2301 001;BIENES Y SERVICIOS DE CONSUMO;Dispositivos e Insumos Medicos de Uso General;0;356,06;356,06;0;0;0;0;356,06;356,06;0;0;189
530829 2301 002;BIENES Y SERVICIOS DE CONSUMO;Insumos Materiales Suministros y bienes para Investigacion;537,4;1561,8;2099,2;0;0;0;0;2099,2;2099,2;0;0;189
570206 1705 002;OTROS EGRESOS CORRIENTES;Costas Judiciales Tramites Notariales Legalizacion de Documentos y Arreglos Extrajudiciales;2429,85;2815,15;5245;0;0;0;0;5245;5245;0;0;189
580208 1705 003;TRANSFERENCIAS O DONACIONES CORRIENTES;Becas y Ayudas Economicas;400721,93;228278,07;629000;0;0;0;0;629000;629000;0;0;189
710510 1700 001;EGRESOS EN PERSONAL PARA INVERSION;Servicios Personales por Contrato;80324;0;80324;0;2846;2846;0;77478;77478;2846;3,54;189
730301 1705 001;BIENES Y SERVICIOS PARA INVERSION;Pasajes al Interior;640;0;640;0;0;0;0;640;640;0;0;189
730302 1705 001;BIENES Y SERVICIOS PARA INVERSION;Pasajes al Exterior;12958;0;12958;0;0;0;0;12958;12958;0;0;189
730304 1705 001;BIENES Y SERVICIOS PARA INVERSION;Viaticos y Subsistencias en el Exterior;31288,67;-1029,05;30259,62;0;0;0;0;30259,62;30259,62;0;0;189
730304 0501 001;BIENES Y SERVICIOS PARA INVERSION;Viaticos y Subsistencias en el Exterior;0;0;0;0;0;0;0;0;0;0;0;189
730606 1705 001;BIENES Y SERVICIOS PARA INVERSION;Honorarios por Contratos Civiles de Servicios;36653,22;0;36653,22;0;0;0;0;36653,22;36653,22;0;0;189
730702 0501 001;BIENES Y SERVICIOS PARA INVERSION;Arrendamiento y Licencias de Uso de Paquetes Informaticos;0;0;0;0;0;0;0;0;0;0;0;189
730805 1705 001;BIENES Y SERVICIOS PARA INVERSION;Materiales de Aseo;200,95;0;200,95;0;0;0;0;200,95;200,95;0;0;189
750501 1705 001;OBRAS PUBLICAS;Obras de Infraestructura;734869,65;785654,32;1520523,97;0;0;0;0;1520523,97;1520523,97;0;0;189
840104 1705 003;EGRESOS DE CAPITAL;Maquinarias y Equipos;1490860,48;-1177469,08;313391,4;0;0;0;0;313391,4;313391,4;0;0;189
840104 0501 003;EGRESOS DE CAPITAL;Maquinarias y Equipos;185400;0;185400;0;0;0;0;185400;185400;0;0;189
840104 0501 002;EGRESOS DE CAPITAL;Maquinarias y Equipos;0;0;0;0;0;0;0;0;0;0;0;189
840106 2301 001;EGRESOS DE CAPITAL;Herramientas;714;-714;0;0;0;0;0;0;0;0;0;189
840107 2301 001;EGRESOS DE CAPITAL;Equipos Sistemas y Paquetes Informaticos;5785;714;6499;0;0;0;0;6499;6499;0;0;189
510105 1700 002;EGRESOS EN PERSONAL;Remuneraciones Unificadas;0;107556;107556;0;8963;8963;8963;98593;98593;0;8,33;189
510204 2400 003;EGRESOS EN PERSONAL;Decimo Cuarto Sueldo;8460;-8460;0;0;0;0;0;0;0;0;0;189
510306 1700 003;EGRESOS EN PERSONAL;Alimentacion;168300;0;168300;0;13366,5;13366,5;13366,5;154933,5;154933,5;0;7,94;189
510401 1700 003;EGRESOS EN PERSONAL;Por Cargas Familiares;4500;0;4500;0;400,52;400,52;400,52;4099,48;4099,48;0;8,9;189
510707 1705 003;EGRESOS EN PERSONAL;Compensacion por Vacaciones no Gozadas por Cesacion de Funciones;0;0;0;0;0;0;0;0;0;0;0;189
531406 0501 001;BIENES Y SERVICIOS DE CONSUMO;Herramientas y Equipos Menores;2400;0;2400;0;0;0;0;2400;2400;0;0;189
531407 2301 001;BIENES Y SERVICIOS DE CONSUMO;Equipos Sistemas y Paquetes Informaticos;396;-396;0;0;0;0;0;0;0;0;0;189
531601 1705 002;BIENES Y SERVICIOS DE CONSUMO;Fondos de Reposicion Cajas Chicas;9918,35;761,65;10680;0;0;0;0;10680;10680;0;0;189
530104 0501 001;BIENES Y SERVICIOS DE CONSUMO;Energia Electrica;40281,82;0;40281,82;0;5950,1;5950,1;5950,1;34331,72;34331,72;0;14,77;189
530104 1705 002;BIENES Y SERVICIOS DE CONSUMO;Energia Electrica;0;50722,3;50722,3;0;0;0;0;50722,3;50722,3;0;0;189
530203 1705 003;BIENES Y SERVICIOS DE CONSUMO;Almacenamiento Embalaje Desembalaje Envase Desenvase y Recarga de Extintores;5801,9;-5801,9;0;0;0;0;0;0;0;0;0;189
530203 2301 002;BIENES Y SERVICIOS DE CONSUMO;Almacenamiento Embalaje Desembalaje Envase Desenvase y Recarga de Extintores;0;1000;1000;0;0;0;0;1000;1000;0;0;189
530226 1700 003;BIENES Y SERVICIOS DE CONSUMO;Servicios Medicos Hospitalarios y Complementarios;78067,37;-78067,37;0;0;0;0;0;0;0;0;0;189
530226 2301 001;BIENES Y SERVICIOS DE CONSUMO;Servicios Medicos Hospitalarios y Complementarios;0;13607,21;13607,21;0;0;0;0;13607,21;13607,21;0;0;189
530239 1705 001;BIENES Y SERVICIOS DE CONSUMO;Membrecias;23700;-23700;0;0;0;0;0;0;0;0;0;189
