CODIGOG3;DESCRIPCIONG2;DESCRIPCIONG3;Asignado;Modificado;Codificado;Monto certificado;Comprometido;Devengado;Pagado;Saldo por comprometer;Saldo por devengar;Saldo por pagar;Porcentaje de ejecuci?
530811 0501 003;BIENES Y SERVICIOS DE CONSUMO;Insumos Materiales y Suministros para Construccion Electricidad Plomeria Carpinteria Senalizacion Vial Navegacion Contra Incendios y placas;53994,69;0;53994,69;0;0;0;0;53994,69;53994,69;0;0;189
530813 0501 002;BIENES Y SERVICIOS DE CONSUMO;Repuestos y Accesorios;12709,45;0;12709,45;0;0;0;0;12709,45;12709,45;0;0;189
530819 1705 001;BIENES Y SERVICIOS DE CONSUMO;Accesorios e Insumos Quimicos y Organicos;4445;-4445;0;0;0;0;0;0;0;0;0;189
530823 1705 001;BIENES Y SERVICIOS DE CONSUMO;Egresos para Sanidad Agropecuaria;73389,75;-4889,75;68500;0;0;0;0;68500;68500;0;0;189
530823 1705 003;BIENES Y SERVICIOS DE CONSUMO;Egresos para Sanidad Agropecuaria;17394;0;17394;0;0;0;0;17394;17394;0;0;189
530826 1705 001;BIENES Y SERVICIOS DE CONSUMO;Dispositivos e Insumos Medicos de Uso General;3350,47;-3350,47;0;0;0;0;0;0;0;0;0;189
530829 1705 001;BIENES Y SERVICIOS DE CONSUMO;Insumos Materiales Suministros y bienes para Investigacion;44181,26;-37381,26;6800;0;0;0;0;6800;6800;0;0;189
570102 1705 002;OTROS EGRESOS CORRIENTES;Tasas Generales Impuestos Contribuciones Permisos Licencias y Patentes;23667,6;-4667,6;19000;0;0;0;0;19000;19000;0;0;189
570218 1700 002;OTROS EGRESOS CORRIENTES;Intereses por Mora Patronal al IESS;600;0;600;0;0;0;0;600;600;0;0;189
580204 1705 002;TRANSFERENCIAS O DONACIONES CORRIENTES;Al Sector Privado no Financiero;21209,79;-2209,79;19000;0;0;0;0;19000;19000;0;0;189
710509 1700 001;EGRESOS EN PERSONAL PARA INVERSION;Horas Extraordinarias y Suplementarias;5154,5;0;5154,5;0;0;0;0;5154,5;5154,5;0;0;189
730604 1705 001;BIENES Y SERVICIOS PARA INVERSION;Fiscalizacion e Inspecciones Tecnicas;67967,64;0;67967,64;0;0;0;0;67967,64;67967,64;0;0;189
730609 1705 001;BIENES Y SERVICIOS PARA INVERSION;Investigaciones Profesionales y Analisis de Laboratorio;6600;-6600;0;0;0;0;0;0;0;0;0;189
730802 1705 001;BIENES Y SERVICIOS PARA INVERSION;Vestuario Lenceria Prendas de Proteccion Insumos y Accesorios para Uniformes del Personal de Proteccion Vigilancia y Seguridad;520,8;0;520,8;0;0;0;0;520,8;520,8;0;0;189
840107 1705 002;EGRESOS DE CAPITAL;Equipos Sistemas y Paquetes Informaticos;16795,11;139204,89;156000;0;0;0;0;156000;156000;0;0;189
840111 1705 001;EGRESOS DE CAPITAL;Partes y Repuestos;0;5830;5830;0;0;0;0;5830;5830;0;0;189
990101 1700 003;OTROS PASIVOS;Obligaciones de Ejercicios Anteriores por Egresos de Personal;0;45201,73;45201,73;0;0;0;0;45201,73;45201,73;0;0;189
510105 0500 003;EGRESOS EN PERSONAL;Remuneraciones Unificadas;924553,68;-924553,68;0;0;0;0;0;0;0;0;0;189
510106 1700 003;EGRESOS EN PERSONAL;Salarios Unificados;1080698,16;438504,24;1519202,4;0;126600,2;126600,2;126600,2;1392602,2;1392602,2;0;8,33;189
510108 1700 003;EGRESOS EN PERSONAL;Remuneracion Mensual Unificada de Docentes del Magisterio y Docentes e Investigadores Universitarios;20145279,16;-270890,64;19874388,52;0;1626817,82;1626817,82;1626817,82;18247570,7;18247570,7;0;8,19;189
510203 1705 002;EGRESOS EN PERSONAL;Decimo Tercer Sueldo;0;0;0;0;0;0;0;0;0;0;0;189
510204 1700 003;EGRESOS EN PERSONAL;Decimo Cuarto Sueldo;615230;232909;848139;0;24678,42;24678,42;0;823460,58;823460,58;24678,42;2,91;189
510204 2300 003;EGRESOS EN PERSONAL;Decimo Cuarto Sueldo;48410;-48410;0;0;0;0;0;0;0;0;0;189
510204 1705 002;EGRESOS EN PERSONAL;Decimo Cuarto Sueldo;0;0;0;0;0;0;0;0;0;0;0;189
510512 1700 003;EGRESOS EN PERSONAL;Subrogacion;7000;-2000;5000;0;0;0;0;5000;5000;0;0;189
510707 1700 003;EGRESOS EN PERSONAL;Compensacion por Vacaciones no Gozadas por Cesacion de Funciones;0;66774,55;66774,55;0;0;0;0;66774,55;66774,55;0;0;189
531406 1705 002;BIENES Y SERVICIOS DE CONSUMO;Herramientas y Equipos Menores;10662,83;-7371,05;3291,78;0;0;0;0;3291,78;3291,78;0;0;189
531512 0102 002;BIENES Y SERVICIOS DE CONSUMO;Semovientes;0;0;0;0;0;0;0;0;0;0;0;189
531601 2301 001;BIENES Y SERVICIOS DE CONSUMO;Fondos de Reposicion Cajas Chicas;3428,6;-3428,6;0;0;0;0;0;0;0;0;0;189
530105 1705 003;BIENES Y SERVICIOS DE CONSUMO;Telecomunicaciones;1512676,39;-1512676,39;0;0;0;0;0;0;0;0;0;189
530105 0501 001;BIENES Y SERVICIOS DE CONSUMO;Telecomunicaciones;1560;0;1560;0;101,25;101,25;101,25;1458,75;1458,75;0;6,49;189
530203 1705 001;BIENES Y SERVICIOS DE CONSUMO;Almacenamiento Embalaje Desembalaje Envase Desenvase y Recarga de Extintores;267,71;-267,71;0;0;0;0;0;0;0;0;0;189
530203 2301 001;BIENES Y SERVICIOS DE CONSUMO;Almacenamiento Embalaje Desembalaje Envase Desenvase y Recarga de Extintores;4030,64;-1580,64;2450;0;0;0;0;2450;2450;0;0;189
530204 1705 003;BIENES Y SERVICIOS DE CONSUMO;Edicion Impresion Reproduccion Publicaciones Suscripciones Fotocopiado Traduccion Empastado Enmarcacion Serigrafia Fotografia Carnetizacion Filmacion e Imagenes Satelitales;0;245983,23;245983,23;0;0;0;0;245983,23;245983,23;0;0;189
530208 2301 003;BIENES Y SERVICIOS DE CONSUMO;Servicio de Seguridad y Vigilancia;147263;42363,76;189626,76;0;0;0;0;189626,76;189626,76;0;0;189
530209 0501 001;BIENES Y SERVICIOS DE CONSUMO;Servicios de Aseo Lavado de Vestimenta de Trabajo Fumigacion Desinfeccion Limpieza de Instalaciones manejo de desechos contaminados recuperacion y clasificacion de materiales reciclables;1500;0;1500;0;0;0;0;1500;1500;0;0;189
530243 2301 001;BIENES Y SERVICIOS DE CONSUMO;Garantia Extendida de Bienes;560;3350;3910;0;0;0;0;3910;3910;0;0;189
530255 2301 001;BIENES Y SERVICIOS DE CONSUMO;Combustibles;28595,8;-1713,8;26882;0;0;0;0;26882;26882;0;0;189
530255 2301 002;BIENES Y SERVICIOS DE CONSUMO;Combustibles;0;610;610;0;0;0;0;610;610;0;0;189
530302 1705 003;BIENES Y SERVICIOS DE CONSUMO;Pasajes al Exterior;56800;35200;92000;0;0;0;0;92000;92000;0;0;189
530303 0501 001;BIENES Y SERVICIOS DE CONSUMO;Viaticos y Subsistencias en el Interior;0;0;0;0;0;0;0;0;0;0;0;189
530304 0501 002;BIENES Y SERVICIOS DE CONSUMO;Viaticos y Subsistencias en el Exterior;1200;0;1200;0;0;0;0;1200;1200;0;0;189
530403 2301 001;BIENES Y SERVICIOS DE CONSUMO;Mobiliarios (Instalacion Mantenimiento y Reparacion);1000;-1000;0;0;0;0;0;0;0;0;0;189
530405 0501 001;BIENES Y SERVICIOS DE CONSUMO;Vehiculos (Servicio para Mantenimiento y Reparacion);6090;0;6090;0;0;0;0;6090;6090;0;0;189
530417 2301 002;BIENES Y SERVICIOS DE CONSUMO;Infraestructura;0;2883,75;2883,75;0;0;0;0;2883,75;2883,75;0;0;189
530502 1705 003;BIENES Y SERVICIOS DE CONSUMO;Edificios Locales y Residencias Parqueaderos Casilleros Judiciales y Bancarios (Arrendamiento);0;5000;5000;0;0;0;0;5000;5000;0;0;189
530606 1705 001;BIENES Y SERVICIOS DE CONSUMO;Honorarios por Contratos Civiles de Servicios;409923,29;-409923,29;0;0;0;0;0;0;0;0;0;189
530609 1705 001;BIENES Y SERVICIOS DE CONSUMO;Investigaciones Profesionales y Analisis de Laboratorio;0;800;800;0;0;0;0;800;800;0;0;189
530611 1705 003;BIENES Y SERVICIOS DE CONSUMO;Congresos Seminarios y Convenciones;0;25000;25000;0;0;0;0;25000;25000;0;0;189
530613 1705 002;BIENES Y SERVICIOS DE CONSUMO;Capacitacion para la Ciudadania en General;0;6000;6000;0;0;0;0;6000;6000;0;0;189
530701 1705 001;BIENES Y SERVICIOS DE CONSUMO;Desarrollo Actualizacion Asistencia Tecnica y Soporte de Sistemas Informaticos;129500;0;129500;0;0;0;0;129500;129500;0;0;189
530803 1705 001;BIENES Y SERVICIOS DE CONSUMO;Lubricantes;700,5;-700,5;0;0;0;0;0;0;0;0;0;189
530805 0501 001;BIENES Y SERVICIOS DE CONSUMO;Materiales de Aseo;0;0;0;0;0;0;0;0;0;0;0;189
530808 1705 001;BIENES Y SERVICIOS DE CONSUMO;Instrumental Medico Quirurgico;451;-451;0;0;0;0;0;0;0;0;0;189
530811 2301 001;BIENES Y SERVICIOS DE CONSUMO;Insumos Materiales y Suministros para Construccion Electricidad Plomeria Carpinteria Senalizacion Vial Navegacion Contra Incendios y placas;460;-350;110;0;0;0;0;110;110;0;0;189
530813 1705 002;BIENES Y SERVICIOS DE CONSUMO;Repuestos y Accesorios;139602,17;-14620,23;124981,94;0;0;0;0;124981,94;124981,94;0;0;189
530813 0501 003;BIENES Y SERVICIOS DE CONSUMO;Repuestos y Accesorios;0;0;0;0;0;0;0;0;0;0;0;189
530814 2301 001;BIENES Y SERVICIOS DE CONSUMO;Suministros para Actividades Agropecuarias Pesca y Caza;4770;-643,15;4126,85;0;0;0;0;4126,85;4126,85;0;0;189
530814 2301 002;BIENES Y SERVICIOS DE CONSUMO;Suministros para Actividades Agropecuarias Pesca y Caza;3120;15992,64;19112,64;0;0;0;0;19112,64;19112,64;0;0;189
530819 2301 002;BIENES Y SERVICIOS DE CONSUMO;Accesorios e Insumos Quimicos y Organicos;8020,25;-993,19;7027,06;0;0;0;0;7027,06;7027,06;0;0;189
530819 2301 001;BIENES Y SERVICIOS DE CONSUMO;Accesorios e Insumos Quimicos y Organicos;0;750;750;0;0;0;0;750;750;0;0;189
530824 1705 001;BIENES Y SERVICIOS DE CONSUMO;Insumos Bienes y Materiales para Produccion de Programas de Radio Television Eventos Culturales Artisticos y Entretenimiento en General;2494;-2494;0;0;0;0;0;0;0;0;0;189
530826 0501 002;BIENES Y SERVICIOS DE CONSUMO;Dispositivos e Insumos Medicos de Uso General;1000;0;1000;0;0;0;0;1000;1000;0;0;189
530829 0501 002;BIENES Y SERVICIOS DE CONSUMO;Insumos Materiales Suministros y bienes para Investigacion;997,3;0;997,3;0;0;0;0;997,3;997,3;0;0;189
570102 1705 001;OTROS EGRESOS CORRIENTES;Tasas Generales Impuestos Contribuciones Permisos Licencias y Patentes;1061,84;3938,16;5000;0;0;0;0;5000;5000;0;0;189
570102 2301 002;OTROS EGRESOS CORRIENTES;Tasas Generales Impuestos Contribuciones Permisos Licencias y Patentes;0;3000;3000;0;0;0;0;3000;3000;0;0;189
570203 1705 002;OTROS EGRESOS CORRIENTES;Comisiones Bancarias;8538,78;111,22;8650;0;74;0;0;8576;8650;0;0;189
570203 0501 002;OTROS EGRESOS CORRIENTES;Comisiones Bancarias;0;0;0;0;0;0;0;0;0;0;0;189
570215 1705 002;OTROS EGRESOS CORRIENTES;Indemnizaciones por Sentencias Judiciales;0;1194,6;1194,6;0;1194,6;0;0;0;1194,6;0;0;189
730601 1705 001;BIENES Y SERVICIOS PARA INVERSION;Consultoria Asesoria e Investigacion Especializada;9000;0;9000;0;0;0;0;9000;9000;0;0;189
730811 1705 001;BIENES Y SERVICIOS PARA INVERSION;Insumos Materiales y Suministros para Construccion Electricidad Plomeria Carpinteria Senalizacion Vial Navegacion Contra Incendios y Placas;4000;0;4000;0;0;0;0;4000;4000;0;0;189
730812 1705 001;BIENES Y SERVICIOS PARA INVERSION;Materiales Didacticos;3300;0;3300;0;0;0;0;3300;3300;0;0;189
840103 1705 002;EGRESOS DE CAPITAL;Mobiliarios;164,58;85027,42;85192;0;0;0;0;85192;85192;0;0;189
840106 1705 002;EGRESOS DE CAPITAL;Herramientas;1225;-1225;0;0;0;0;0;0;0;0;0;189
840107 1705 001;EGRESOS DE CAPITAL;Equipos Sistemas y Paquetes Informaticos;271588,53;-94551,37;177037,16;0;0;0;0;177037,16;177037,16;0;0;189
990102 1705 002;OTROS PASIVOS;Obligaciones de Ejercicios Anteriores por Egresos en Servicios;0;19000;19000;0;0;0;0;19000;19000;0;0;189
990102 0501 003;OTROS PASIVOS;Obligaciones de Ejercicios Anteriores por Egresos en Servicios;0;0;0;0;0;0;0;0;0;0;0;189
510105 1700 003;EGRESOS EN PERSONAL;Remuneraciones Unificadas;4999884;1265274,44;6265158,44;0;513691,84;513691,84;512790,84;5751466,6;5751466,6;901;8,2;189
510204 1700 002;EGRESOS EN PERSONAL;Decimo Cuarto Sueldo;0;8068,33;8068,33;0;200,85;200,85;0;7867,48;7867,48;200,85;2,49;189
531403 1705 002;BIENES Y SERVICIOS DE CONSUMO;Mobiliario;39096,5;-21146,5;17950;0;0;0;0;17950;17950;0;0;189
531404 2301 002;BIENES Y SERVICIOS DE CONSUMO;Maquinarias y Equipos;435;-135;300;0;0;0;0;300;300;0;0;189
531404 2301 001;BIENES Y SERVICIOS DE CONSUMO;Maquinarias y Equipos;0;440;440;0;0;0;0;440;440;0;0;189
531411 2301 002;BIENES Y SERVICIOS DE CONSUMO;Partes y Repuestos;550;465;1015;0;0;0;0;1015;1015;0;0;189
530105 1705 001;BIENES Y SERVICIOS DE CONSUMO;Telecomunicaciones;469900,49;1557090,84;2026991,33;0;377512,5;0;0;1649478,83;2026991,33;0;0;189
530203 1705 002;BIENES Y SERVICIOS DE CONSUMO;Almacenamiento Embalaje Desembalaje Envase Desenvase y Recarga de Extintores;7072;-2792;4280;0;0;0;0;4280;4280;0;0;189
530207 1705 001;BIENES Y SERVICIOS DE CONSUMO;Difusion Informacion y Publicidad;0;4260;4260;0;0;0;0;4260;4260;0;0;189
530246 1705 001;BIENES Y SERVICIOS DE CONSUMO;Servicios de Identificacion Marcacion Autentificacion Rastreo Monitoreo Seguimiento y o Trazabilidad;1924;-1924;0;0;0;0;0;0;0;0;0;189
530303 1705 002;BIENES Y SERVICIOS DE CONSUMO;Viaticos y Subsistencias en el Interior;55156,48;-16656,48;38500;0;400;0;0;38100;38500;0;0;189
530402 1705 003;BIENES Y SERVICIOS DE CONSUMO;Edificios Locales Residencias y Cableado Estructurado (Instalacion Mantenimiento y Reparacion);341279;169735,59;511014,59;0;511012,4;0;0;2,19;511014,59;0;0;189
