Cuenta;Categoría;Descripción;Asignado;Modificado;Codificado;Monto certificado;Comprometido;Devengado;Pagado;Saldo por comprometer;Saldo por devengar;Saldo por pagar;Porcentaje de ejecución;;;;;;;;;;;;
530000;BIENES Y SERVICIOS DE CONSUMO;Vehiculos (Servicio para Mantenimiento y Reparacion);55996,69;-2974,81;53021,88;12685,64;36124,46;31404,87;31404,87;16897,42;21617,01;0;59,23;;;;;;;;;;;;
530000;BIENES Y SERVICIOS DE CONSUMO;Maquinarias y Equipos (Arrendamiento);3400;-3400;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
530000;BIENES Y SERVICIOS DE CONSUMO;Vestuario Lenceria Prendas de Proteccion Insumos y Accesorios para uniformes del personal de Proteccion Vigilancia y Seguridad;139162,08;-95757,85;43404,23;22735,24;20499,19;20499,19;19351,19;22905,04;22905,04;1148;47,23;;;;;;;;;;;;
530000;BIENES Y SERVICIOS DE CONSUMO;Lubricantes;6865,92;556,74;7422,66;5082,73;824,85;824,85;824,85;6597,81;6597,81;0;11,11;;;;;;;;;;;;
530000;BIENES Y SERVICIOS DE CONSUMO;Suministros para Actividades Agropecuarias Pesca y Caza;48460,78;36008,15;84468,93;16725,53;55022,11;55022,11;55022,11;29446,82;29446,82;0;65,14;;;;;;;;;;;;
530000;BIENES Y SERVICIOS DE CONSUMO;Accesorios e Insumos Quimicos y Organicos;59700,5;31619,43;91319,93;32804,25;22842,98;22842,98;22842,98;68476,95;68476,95;0;25,01;;;;;;;;;;;;
530000;BIENES Y SERVICIOS DE CONSUMO;Menaje y Accesorios Descartables;2994,65;-976,85;2017,8;250;1558,6;1558,6;1558,6;459,2;459,2;0;77,24;;;;;;;;;;;;
530000;BIENES Y SERVICIOS DE CONSUMO;Mobiliario;33944,44;-11523,01;22421,43;2327,97;19411,77;19411,77;19411,77;3009,66;3009,66;0;86,58;;;;;;;;;;;;
530000;BIENES Y SERVICIOS DE CONSUMO;Bienes Artisticos Culturales Deportivos y Simbolos Patrios;730;-186;544;39,2;504,8;504,8;504,8;39,2;39,2;0;92,79;;;;;;;;;;;;
530000;BIENES Y SERVICIOS DE CONSUMO;Plantas;1300;411,2;1711,2;500;1211,2;1211,2;1211,2;500;500;0;70,78;;;;;;;;;;;;
530000;BIENES Y SERVICIOS DE CONSUMO;Agua de Riego;8593,96;-4296,98;4296,98;0;4296,98;4296,98;4296,98;0;0;0;100;;;;;;;;;;;;
530000;BIENES Y SERVICIOS DE CONSUMO;Telecomunicaciones;404789,77;39502,46;444292,23;19616,58;424675,65;316555,98;316555,98;19616,58;127736,25;0;71,25;;;;;;;;;;;;
530000;BIENES Y SERVICIOS DE CONSUMO;Edicion Impresion Reproduccion Publicaciones Suscripciones Fotocopiado Traduccion Empastado Enmarcacion Serigrafia Fotografia Carnetizacion Filmacion e Imagenes Satelitales;41624,2;32468,9;74093,1;0;74093,1;55570,42;55570,42;0;18522,68;0;75;;;;;;;;;;;;
530000;BIENES Y SERVICIOS DE CONSUMO;Espectaculos Culturales y Sociales;18185;5615;23800;0;3800;3800;3800;20000;20000;0;15,97;;;;;;;;;;;;
570000;OTROS EGRESOS CORRIENTES;Tasas Generales Impuestos Contribuciones Permisos Licencias y Patentes;0;12420;12420;1561,37;7454,1;7454,1;7454,1;4965,9;4965,9;0;60,02;;;;;;;;;;;;
730000;BIENES Y SERVICIOS PARA INVERSION;Pasajes al Interior;4000;0;4000;0;0;0;0;4000;4000;0;0;;;;;;;;;;;;
730000;BIENES Y SERVICIOS PARA INVERSION;Investigaciones Profesionales y Analisis de Laboratorio;11777,06;61245,63;73022,69;27681,83;41719,33;2870,5;2870,5;31303,36;70152,19;0;3,93;;;;;;;;;;;;
730000;BIENES Y SERVICIOS PARA INVERSION;Capacitacion a Servidores Publicos;0;62150,36;62150,36;0;0;0;0;62150,36;62150,36;0;0;;;;;;;;;;;;
750000;OBRAS PUBLICAS;Obras para Generacion de Energia Electrica;0;84521,62;84521,62;56702,38;12270,56;12270,56;12270,56;72251,06;72251,06;0;14,52;;;;;;;;;;;;
840000;EGRESOS DE CAPITAL;Mobiliarios;30655,35;77802,65;108458;59874,93;40834,56;26950,5;26950,5;67623,44;81507,5;0;24,85;;;;;;;;;;;;
510000;EGRESOS EN PERSONAL;Remuneracion Mensual Unificada de Docentes del Magisterio y Docentes e Investigadores Universitarios;14319403,92;727173,32;15046577,24;0;11022069,16;11022069,16;11022069,16;4024508,08;4024508,08;0;73,25;;;;;;;;;;;;
510000;EGRESOS EN PERSONAL;Fondo de Reserva;3072404,47;71686,08;3144090,55;0;2094159,25;2094159,25;2094159,25;1049931,3;1049931,3;0;66,61;;;;;;;;;;;;
530000;BIENES Y SERVICIOS DE CONSUMO;Mantenimiento de Areas Verdes y Arreglo de Vias Internas;6212;3786,22;9998,22;9998,22;0;0;0;9998,22;9998,22;0;0;;;;;;;;;;;;
530000;BIENES Y SERVICIOS DE CONSUMO;Vehiculos (Arrendamiento);0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
530000;BIENES Y SERVICIOS DE CONSUMO;Investigaciones Profesionales y Analisis de Laboratorio;0;39048,6;39048,6;31198,6;0;0;0;39048,6;39048,6;0;0;;;;;;;;;;;;
530000;BIENES Y SERVICIOS DE CONSUMO;Insumos Materiales y Suministros para Construccion Electricidad Plomeria Carpinteria Senalizacion Vial Navegacion Contra Incendios y placas;52868,49;-5890,35;46978,14;21089,36;4546,73;3408,02;3408,02;42431,41;43570,12;0;7,25;;;;;;;;;;;;
530000;BIENES Y SERVICIOS DE CONSUMO;Dispositivos Medicos de Uso General;12290,36;-7418,7;4871,66;2754,15;2117,51;2117,51;2117,51;2754,15;2754,15;0;43,47;;;;;;;;;;;;
530000;BIENES Y SERVICIOS DE CONSUMO;Dispositivos Medicos para Odontologia;0;3072,21;3072,21;0;2169,33;2169,33;2169,33;902,88;902,88;0;70,61;;;;;;;;;;;;
530000;BIENES Y SERVICIOS DE CONSUMO;Soporte al Usuario a traves de Centros de Servicios y Operadores Telefonicos;9300;-9300;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
530000;BIENES Y SERVICIOS DE CONSUMO;Combustibles;81086,04;-24627,74;56458,3;27480,55;28337,75;24834,2;24834,2;28120,55;31624,1;0;43,99;;;;;;;;;;;;
730000;BIENES Y SERVICIOS PARA INVERSION;Mantenimiento de Areas Verdes y Arreglo de Vias Internas;0;320000,16;320000,16;0;180000,06;99999,9;99999,9;140000,1;220000,26;0;31,25;;;;;;;;;;;;
730000;BIENES Y SERVICIOS PARA INVERSION;Mobiliario (Arrendamiento);4999,68;-4999,68;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
730000;BIENES Y SERVICIOS PARA INVERSION;Materiales de Aseo;0;70;70;70;0;0;0;70;70;0;0;;;;;;;;;;;;
730000;BIENES Y SERVICIOS PARA INVERSION;Dispositivos Medicos para Laboratorio Clinico y de Patologia;0;726,42;726,42;266,2;0;0;0;726,42;726,42;0;0;;;;;;;;;;;;
730000;BIENES Y SERVICIOS PARA INVERSION;Insumos Materiales y Suministros para Construccion Electricidad Plomeria Carpinteria Senalizacion Vial Navegacion Contra Incendios y Placas;538,3;83123,28;83661,58;56574,47;5000;5000;5000;78661,58;78661,58;0;5,98;;;;;;;;;;;;
730000;BIENES Y SERVICIOS PARA INVERSION;Suministros para Actividades Agropecuarias Pesca y Caza;79;246,02;325,02;94,1;0;0;0;325,02;325,02;0;0;;;;;;;;;;;;
840000;EGRESOS DE CAPITAL;Herramientas;5807,85;28669,73;34477,58;9849,19;0;0;0;34477,58;34477,58;0;0;;;;;;;;;;;;
530000;BIENES Y SERVICIOS DE CONSUMO;Consultoria Asesoria e Investigacion Especializada;6000;13000;19000;0;0;0;0;19000;19000;0;0;;;;;;;;;;;;
530000;BIENES Y SERVICIOS DE CONSUMO;Mantenimiento y Reparacion de Equipos y Sistemas Informaticos;50590,73;-17464,07;33126,66;23806,66;8120;8120;8120;25006,66;25006,66;0;24,51;;;;;;;;;;;;
