Accion afirmativa;No. de personas con acciones afirmativas
Pueblos y nacionalidades indígenas y afrodescendientes;169
Persona con discapacidad;40
Norma para Calificación de Sustitutos de Personas con Discapacidad (PCD) Registro Oficial 336 del 27 de septiembre de 2018;25
