Nombre del mecanismo ;Numero de certificado;Periodo;Enlace
Formulario del informe de rendicion de cuentas presentado al Consejo de Participacion Ciudadana y Control Social del ejercicio fiscal anterior;15987;2024;https://liveespochedu-my.sharepoint.com/:b:/g/personal/relaciones_publicas_espoch_edu_ec/IQBY2izKaf-RSJD_36nQGQWxAZAckqE0DylLYPjF0iBc2zI?e=RHCnle
Informe anual consolidado nacional sobre el derecho humano de acceso a la informacion publica segun disposiciones de la LOTAIP;NO APLICA ;2024;NO APLICA 
Informe de distribucion del gasto en publicidad contratado en cada medio de comunicacion;NO APLICA;2024;NO APLICA
