Apellidos y Nombres;Puesto institucional;Asunto;Fecha de la audiencia o reunion;Modalidad;Lugar;Descripción de la audiencia o reunion;Duración;Nombre de personas externas;Institucion externa;Enlace para descargar el registro de asistencia de las personas que participaron en la reunion o audiencia
Sánchez Tarquino, Chavez Danilo y Trujillo María;Rector, Jefe del  Departamento de Automatización y Control Industrial y Administradora del Laboratorio de Instrumentación Biomédica;Cooperación Institucional y proyección Internacional de la EPN;2025-12-19;Presencial;EPN;Análisis de posibles líneas de Colaboración en proyectos de Vinculación con la sociedad, opiniones e financiamiento y apoyo al desarrollo de laboratorios académicos y e investigación;1 hora;Granda Alejandro, García Jennifer;Cámara de Comercio, Producción en Inversiones Ecuatoriana-Polaca;https://atenea.epn.edu.ec/bitstream/25000/2399/1/Audiencias_Externa_EPN_00050.pdf
Sánchez Tarquino, Herrera Edwin, Zambrano Adrián y Vidal Jack;Rector y Asesores;Visita Protocolaria  y alianzas para la Educación Superior;2025-12-23;Presencial;EPN;Explorar posibles formas de cooperación académica y la proyección de un futuro convenio interinstitucional;1 hora;Muyulema Armando y Villagómez Diana;Universidad Amawtay Wasi;https://atenea.epn.edu.ec/bitstream/25000/2399/2/Audiencias_Externa_EPN_00051.pdf
