Cuenta;Categoría;Descripción;Asignado;Modificado;Codificado;Monto certificado;Comprometido;Devengado;Pagado;Saldo por comprometer;Saldo por devengar;Saldo por pagar;Porcentaje de ejecución
580000;TRANSFERENCIAS O DONACIONES CORRIENTES;A Jubilados Patronales;810859,95;1383556,77;2194416,72;0;345244,31;345244,31;345244,31;1849172,41;1849172,41;0;15,73
730000;BIENES Y SERVICIOS PARA INVERSION;Viaticos por Gastos de Residencia;0;21816;21816;0;0;0;0;21816;21816;0;0
730000;BIENES Y SERVICIOS PARA INVERSION;Mantenimiento de Areas Verdes y Arreglo de Vias Internas;0;241693,2;241693,2;241693,2;0;0;0;241693,2;241693,2;0;0
730000;BIENES Y SERVICIOS PARA INVERSION;Consultoria Asesoria e Investigacion Especializada;707199,27;-223986,77;483212,5;164000;0;0;0;483212,5;483212,5;0;0
730000;BIENES Y SERVICIOS PARA INVERSION;Equipos Sistemas y Paquetes Informaticos;0;3560;3560;0;0;0;0;3560;3560;0;0
730000;BIENES Y SERVICIOS PARA INVERSION;Semovientes;0;1500;1500;0;0;0;0;1500;1500;0;0
750000;OBRAS PUBLICAS;Alcantarillado;606918,02;-578563,81;28354,21;27482,88;871,33;871,33;0;27482,88;27482,88;871,33;3,07
750000;OBRAS PUBLICAS;Construcciones y Edificaciones;2620470,01;422535,29;3043005,3;4650;7252,16;7252,16;7252,16;3035753,14;3035753,14;0;0,24
770000;OTROS EGRESOS DE INVERSION;Tasas Generales Impuestos Contribuciones Permisos Licencias y Patentes;5000;1448,5;6448,5;130;2870,5;2870,5;2870,5;3578;3578;0;44,51
510000;EGRESOS EN PERSONAL;Servicios Personales por Contrato;111216;51018,56;162234,56;0;15583,4;15583,4;15583,4;146651,16;146651,16;0;9,61
510000;EGRESOS EN PERSONAL;Fondo de Reserva;3363908,16;-175597,67;3188310,49;0;262496,02;262496,02;262496,02;2925814,47;2925814,47;0;8,23
510000;EGRESOS EN PERSONAL;Compensacion por Vacaciones no Gozadas por Cesacion de Funciones ;0;134092,51;134092,51;0;20701,21;20701,21;20701,21;113391,3;113391,3;0;15,44
530000;BIENES Y SERVICIOS DE CONSUMO;Equipos Sistemas y Paquetes Informaticos;15654,4;-3528,06;12126,34;0;0;0;0;12126,34;12126,34;0;0
530000;BIENES Y SERVICIOS DE CONSUMO;Agua Potable;50878,92;-6628,92;44250;41706,97;1293,03;571,2;571,2;42956,97;43678,8;0;1,29
530000;BIENES Y SERVICIOS DE CONSUMO;Edicion Impresion Reproduccion Publicaciones Suscripciones Fotocopiado Traduccion Empastado Enmarcacion Serigrafia Fotografia Carnetizacion Filmacion e Imagenes Satelitales;93978,55;-5287,91;88690,64;79540,64;0;0;0;88690,64;88690,64;0;0
530000;BIENES Y SERVICIOS DE CONSUMO;Viaticos y Subsistencias en el Interior;200000;-148200;51800;34645,75;1654,25;1074,25;834,74;50145,75;50725,75;239,51;2,07
530000;BIENES Y SERVICIOS DE CONSUMO;Maquinarias y Equipos (Instalacion Mantenimiento y Reparacion);78292,83;-20040,19;58252,64;2566,68;0;0;0;58252,64;58252,64;0;0
530000;BIENES Y SERVICIOS DE CONSUMO;Maquinarias y Equipos (Arrendamiento);5000;-5000;0;0;0;0;0;0;0;0;0
530000;BIENES Y SERVICIOS DE CONSUMO;Suministros para Actividades Agropecuarias Pesca y Caza;7121,74;-1229,45;5892,29;0;0;0;0;5892,29;5892,29;0;0
530000;BIENES Y SERVICIOS DE CONSUMO;Insumos Materiales Suministros y bienes para Investigacion;4348,4;19490,46;23838,86;0;0;0;0;23838,86;23838,86;0;0
570000;OTROS EGRESOS CORRIENTES;Comisiones Bancarias;13200;-7394,02;5805,98;0;47,49;47,49;47,49;5758,49;5758,49;0;0,82
570000;OTROS EGRESOS CORRIENTES;Costas Judiciales Tramites Notariales Legalizacion de Documentos y Arreglos Extrajudiciales;0;1500;1500;1500;0;0;0;1500;1500;0;0
570000;OTROS EGRESOS CORRIENTES;Intereses por Mora Patronal al IESS;190;-190;0;0;0;0;0;0;0;0;0
730000;BIENES Y SERVICIOS PARA INVERSION;Telecomunicaciones;0;1536,4;1536,4;111,78;24,62;24,62;24,62;1511,78;1511,78;0;1,6
730000;BIENES Y SERVICIOS PARA INVERSION;Viaticos y Subsistencias en el Interior;0;15800;15800;0;0;0;0;15800;15800;0;0
730000;BIENES Y SERVICIOS PARA INVERSION;Vehiculos (Servicio de Mantenimiento y Reparacion);0;1500;1500;0;0;0;0;1500;1500;0;0
770000;OTROS EGRESOS DE INVERSION;Seguros;864018,67;-851818,67;12200;0;0;0;0;12200;12200;0;0
510000;EGRESOS EN PERSONAL;Subsidio de Antiguedad;33531,19;2910,01;36441,2;0;6036,01;6036,01;6036,01;30405,19;30405,19;0;16,56
510000;EGRESOS EN PERSONAL;Horas Extraordinarias y Suplementarias;29000;1000;30000;0;2253,47;2253,47;2253,47;27746,53;27746,53;0;7,51
510000;EGRESOS EN PERSONAL;Compensacion por Desahucio;0;3000;3000;0;0;0;0;3000;3000;0;0
530000;BIENES Y SERVICIOS DE CONSUMO;Partes y Repuestos;286,32;-286,32;0;0;0;0;0;0;0;0;0
530000;BIENES Y SERVICIOS DE CONSUMO;Energia Electrica;250000;125250;375250;322983,17;51254,59;51104,29;50984,28;323995,41;324145,71;120,01;13,62
530000;BIENES Y SERVICIOS DE CONSUMO;Servicio de Seguridad y Vigilancia;1297983,44;191172,6;1489156,04;0;652449,8;216578,02;216578,02;836706,24;1272578,02;0;14,54
530000;BIENES Y SERVICIOS DE CONSUMO;Membrecias;22558,1;11424,4;33982,5;15000;0;0;0;33982,5;33982,5;0;0
530000;BIENES Y SERVICIOS DE CONSUMO;Pasajes al Interior;19000;-1724,21;17275,79;5275,79;0;0;0;17275,79;17275,79;0;0
530000;BIENES Y SERVICIOS DE CONSUMO;Viaticos por Gastos de Residencia;9000;0;9000;0;1416;1416;1416;7584;7584;0;15,73
530000;BIENES Y SERVICIOS DE CONSUMO;Mobiliario (Arrendamiento);5808;-484;5324;0;0;0;0;5324;5324;0;0
530000;BIENES Y SERVICIOS DE CONSUMO;Honorarios por Contratos Civiles de Servicios;1715396,63;-726176,41;989220,22;474483,07;54297,03;39297,03;30719,07;934923,19;949923,19;8577,96;3,97
530000;BIENES Y SERVICIOS DE CONSUMO;Arrendamiento y Licencias de Uso de Paquetes Informaticos;212927,96;325264,94;538192,9;70020,45;0;0;0;538192,9;538192,9;0;0
530000;BIENES Y SERVICIOS DE CONSUMO;Materiales de Oficina;71297,47;-25163,51;46133,96;0;0;0;0;46133,96;46133,96;0;0
530000;BIENES Y SERVICIOS DE CONSUMO;Instrumental Medico Quirurgico;0;132;132;0;0;0;0;132;132;0;0
530000;BIENES Y SERVICIOS DE CONSUMO;Dispositivos Medicos para Laboratorio Clinico y de Patologia;6176,2;-5688,63;487,57;0;0;0;0;487,57;487,57;0;0
530000;BIENES Y SERVICIOS DE CONSUMO;Dispositivos Medicos para Odontologia;1617,5;2011,5;3629;0;0;0;0;3629;3629;0;0
730000;BIENES Y SERVICIOS PARA INVERSION;Viaticos y Subsistencias en el Exterior;0;48783,84;48783,84;0;0;0;0;48783,84;48783,84;0;0
730000;BIENES Y SERVICIOS PARA INVERSION;Fiscalizacion e Inspecciones Tecnicas;1414578,85;-98861,49;1315717,36;3697,17;0;0;0;1315717,36;1315717,36;0;0
730000;BIENES Y SERVICIOS PARA INVERSION;Arrendamiento y Licencias de Uso de Paquetes Informaticos;0;122191,33;122191,33;0;0;0;0;122191,33;122191,33;0;0
730000;BIENES Y SERVICIOS PARA INVERSION;Maquinarias y Equipos;0;3027,5;3027,5;548;0;0;0;3027,5;3027,5;0;0
840000;EGRESOS DE CAPITAL;Partes y Repuestos;460;12489,86;12949,86;0;0;0;0;12949,86;12949,86;0;0
510000;EGRESOS EN PERSONAL;Decimo Cuarto Sueldo;701272,92;163238,22;864511,14;0;54026,45;54026,45;54026,45;810484,69;810484,69;0;6,25
510000;EGRESOS EN PERSONAL;Por Cargas Familiares;9416;-933,5;8482,5;0;1442,22;1442,22;1442,22;7040,28;7040,28;0;17
510000;EGRESOS EN PERSONAL;Subrogacion;2026,82;12000;14026,82;0;185;185;185;13841,82;13841,82;0;1,32
530000;BIENES Y SERVICIOS DE CONSUMO;Maquinarias y Equipos;11855,54;40749,55;52605,09;0;0;0;0;52605,09;52605,09;0;0
530000;BIENES Y SERVICIOS DE CONSUMO;Plantas;2499;-283;2216;0;0;0;0;2216;2216;0;0
530000;BIENES Y SERVICIOS DE CONSUMO;Almacenamiento Embalaje Desembalaje Envase Desenvase y Recarga de Extintores;13368,13;2826,11;16194,24;0;0;0;0;16194,24;16194,24;0;0
530000;BIENES Y SERVICIOS DE CONSUMO;Servicios de Identificacion Marcacion Autentificacion Rastreo Monitoreo Seguimiento y o Trazabilidad;5100;422;5522;353,37;168,52;168,52;168,52;5353,48;5353,48;0;3,05
530000;BIENES Y SERVICIOS DE CONSUMO;Vehiculos (Servicio para Mantenimiento y Reparacion);24140;32149;56289;23958,79;0;0;0;56289;56289;0;0
530000;BIENES Y SERVICIOS DE CONSUMO;Investigaciones Profesionales y Analisis de Laboratorio;21629;-3347,98;18281,02;16511;0;0;0;18281,02;18281,02;0;0
530000;BIENES Y SERVICIOS DE CONSUMO;Mantenimiento y Reparacion de Equipos y Sistemas Informaticos;27656,67;69738,46;97395,13;0;0;0;0;97395,13;97395,13;0;0
530000;BIENES Y SERVICIOS DE CONSUMO;Menaje y Accesorios Descartables;2856,73;-1365,82;1490,91;0;0;0;0;1490,91;1490,91;0;0
530000;BIENES Y SERVICIOS DE CONSUMO;Dispositivos e Insumos Medicos de Uso General;1758,6;4017,95;5776,55;0;0;0;0;5776,55;5776,55;0;0
570000;OTROS EGRESOS CORRIENTES;Seguros;60400,65;810599,35;871000;457651,89;198,11;198,11;198,11;870801,89;870801,89;0;0,02
730000;BIENES Y SERVICIOS PARA INVERSION;Combustibles;0;6480;6480;2800;0;0;0;6480;6480;0;0
730000;BIENES Y SERVICIOS PARA INVERSION;Atencion a Delegados Extranjeros y Nacionales Deportistas Entrenadores y Cuerpo Tecnico que Representen al Pais;136772,07;-105365,99;31406,08;0;0;0;0;31406,08;31406,08;0;0
730000;BIENES Y SERVICIOS PARA INVERSION;Edificios Locales Residencias y Cableado Estructurado (Mantenimiento Reparaciones e Instalacion);453168,42;-232093,38;221075,04;1080;0;0;0;221075,04;221075,04;0;0
730000;BIENES Y SERVICIOS PARA INVERSION;Investigaciones Profesionales y Analisis de Laboratorio;0;26833,3;26833,3;0;0;0;0;26833,3;26833,3;0;0
730000;BIENES Y SERVICIOS PARA INVERSION;Mantenimiento y Reparacion de Equipos y Sistemas Informaticos;0;2030;2030;0;0;0;0;2030;2030;0;0
730000;BIENES Y SERVICIOS PARA INVERSION;Vestuario Lenceria Prendas de Proteccion Insumos y Accesorios para Uniformes del Personal de Proteccion Vigilancia y Seguridad;0;365,32;365,32;0;0;0;0;365,32;365,32;0;0
730000;BIENES Y SERVICIOS PARA INVERSION;Egresos para Sanidad Agropecuaria;0;15332,76;15332,76;0;0;0;0;15332,76;15332,76;0;0
730000;BIENES Y SERVICIOS PARA INVERSION;Dispositivos e Insumos Medicos de Uso General;0;65,81;65,81;0;0;0;0;65,81;65,81;0;0
730000;BIENES Y SERVICIOS PARA INVERSION;Mobiliarios;0;8153,14;8153,14;6558;0;0;0;8153,14;8153,14;0;0
750000;OBRAS PUBLICAS;Obras de Infraestructura;1739546,05;414811,7;2154357,75;829924;0;0;0;2154357,75;2154357,75;0;0
840000;EGRESOS DE CAPITAL;Mobiliarios;93314,38;295178,64;388493,02;20042,54;0;0;0;388493,02;388493,02;0;0
