Nombre del Plan o Programa;Período;Monto;Enlace al Plan o Programa;Enlace al estado
Plan Estratégico Institucional 2024-2029;2024-2029;No aplica;https://atenea.epn.edu.ec/handle/25000/2371;https://atenea.epn.edu.ec/handle/25000/2371
Plan Operativo Anual 2026;2026;57296422.60;https://atenea.epn.edu.ec/handle/25000/2372;https://atenea.epn.edu.ec/handle/25000/2372
Plan Anual de Inversiones 2026;2026;12037511.80;https://atenea.epn.edu.ec/handle/25000/2373;https://atenea.epn.edu.ec/handle/25000/2373
