Acción afirmativa;No. De personas con acciones afirmativas
Persona con discapacidad;41
"Norma para Calificación de Sustitutos de Personas con Discapacidad (PCD)
Acuerdo Ministerial 180
Registro Oficial 336 del 27 de septiembre de 2018";24
