Numeración;Puesto Institucional;Régimen laboral al que pertenece;Número de partida presupuestaria;Grado jerárquico o escala al que pertenece el puesto;Remuneración mensual unificada;Remuneración unificada (anual);Décimo Tercera Remuneración;Décima Cuarta Remuneración;Horas suplementarias y extraordinarias;Encargos y subrogaciones;Total ingresos adicionales
1;PROFESOR AGREGADO 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;202617000000000820000000100051110000300000000;PERSONAL ACADEMICO AGREGADO;2,840.47;34,085.64;236.71;40.17;0.00;0.00;276.87
2;DIRECTOR/A DE CARRERA.;3.OTROS REGIMENES ESPECIALES;202617000000000820000000100051110000300000000;AUTORIDADES ACADEMICAS NIVEL 1;2,783.00;33,396.00;231.92;40.17;0.00;0.00;272.08
3;PROFESOR OCASIONAL 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;202617000000000820000000100051110000300000000;PROFESOR UNIVERSITARIO;1,676.00;20,112.00;139.67;40.17;0.00;0.00;179.83
4;PROFESOR OCASIONAL 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;202617000000000820000000100051110000300000000;PROFESOR UNIVERSITARIO;1,676.00;20,112.00;139.67;40.17;0.00;0.00;179.83
5;PROFESOR OCASIONAL 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;202617000000000820000000100051110000300000000;PROFESOR UNIVERSITARIO;2,034.00;24,408.00;169.50;40.17;0.00;0.00;209.67
6;PROFESOR OCASIONAL 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;202617000000000820000000100051110000300000000;PROFESOR UNIVERSITARIO;1,676.00;20,112.00;139.67;40.17;0.00;0.00;179.83
7;AUXILIAR DE SERVICIOS .;2.CODIGO DEL TRABAJO;202617000000000010000000100051110000300000000;NIVEL 1;561.00;6,732.00;46.75;40.17;0.00;0.00;86.92
8;PROFESOR OCASIONAL 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;202617000000000820000000100051110000300000000;PROFESOR UNIVERSITARIO;1,676.00;20,112.00;139.67;40.17;0.00;0.00;179.83
9;PROFESOR OCASIONAL 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;202617000000000820000000100051110000300000000;PROFESOR UNIVERSITARIO;1,676.00;20,112.00;139.67;40.17;0.00;0.00;179.83
10;AUXILIAR DE SERVICIOS;2.CODIGO DEL TRABAJO;202617000000000010000000100051110000300000000;NIVEL 1;550.00;6,600.00;45.83;40.17;0.00;0.00;86.00
11;DISEÑADOR GRAFICO;1.SERVICIO CIVIL PUBLICO (LOSEP);202617000000000010000000100051110000300000000;UEP NIVEL PROFESIONAL B3;1,086.00;13,032.00;90.50;40.17;0.00;0.00;130.67
12;ESPECIALISTA DE INFRAESTRUCTURA TECNOLOGICA;1.SERVICIO CIVIL PUBLICO (LOSEP);202617000000000010000000100051110000300000000;UEP NIVEL PROFESIONAL B3;1,676.00;20,112.00;139.67;40.17;0.00;0.00;179.83
13;ANALISTA DE APOYO A LA GESTION ACADEMICA;1.SERVICIO CIVIL PUBLICO (LOSEP);202617000000000010000000100051110000300000000;UEP NIVEL PROFESIONAL B3;1,455.89;17,470.68;121.32;40.17;0.00;0.00;161.49
14;DIRECTOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;202617000000000820000000100051110000300000000;AUTORIDADES ACADEMICAS NIVEL 1;2,783.00;33,396.00;231.92;40.17;0.00;0.00;272.08
15;PROFESOR OCASIONAL 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;202617000000000820000000100051110000300000000;PROFESOR UNIVERSITARIO;1,676.00;20,112.00;139.67;40.17;0.00;0.00;179.83
16;PROFESOR OCASIONAL 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;202617000000000820000000100051110000300000000;PROFESOR UNIVERSITARIO;1,676.00;20,112.00;139.67;40.17;0.00;0.00;179.83
17;PROFESOR OCASIONAL 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;202617000000000820000000100051110000300000000;PROFESOR UNIVERSITARIO;1,676.00;20,112.00;139.67;40.17;0.00;0.00;179.83
18;PROFESOR AUXILIAR 2 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;202617000000000820000000100051110000300000000;PERSONAL ACADEMICO AUXILIAR;2,562.72;30,752.64;213.56;40.17;0.00;0.00;253.73
