Nombre del mecanismo ;Numero de certificado;Periodo;Enlace
Formulario del informe de rendicion de cuentas presentado al Consejo de Participacion Ciudadana y Control Social del ejercicio fiscal anterior;12620;2023;https://informe.cpccs.gob.ec/ReportesConsejo/Pages/ReportViewer.aspx?%2fReportesRendicionProduccion%2fInstitutosdeEducacion&Codigo=12620&anio=2023
Informe anual consolidado nacional sobre el derecho humano de acceso a la informacion publica segun disposiciones de la LOTAIP;1724856090;2023;https://www.epn.edu.ec/wp-content/uploads/2024/02/certificado_de_presentaciOn_de_informe_anual0672665001706799869.pdf
Informe de distribucion del gasto en publicidad contratado en cada medio de comunicacion;No aplica;2023;No aplica
