Institucion;Escuela Politecnica Nacional
Descripcion;Donativos oficiales: No disponible: Este conjunto de datos no aplica para esta entidad. 
Nombre del campo;Descripcion del campo
Fecha ; Fecha en la que la persona o entidad beneficiaria recibie el regalo o donacion
Descripcion ;Explicacion o detalle sobre el regalo o donativo en cuestion
Motivo ; Razon o proposito por el cual se recibe el regalo o donativo
Persona natural o juridica ;Referencia a la persona fisica o entidad legal que entrega el regalo o donativo
Enlace para descargar el documento mediante el cual se oficializa el regalo o donativo;Enlace para descargar el documento detallado respecto al regalo o donativo
