Institucion;Escuela Politecnica Nacional
Descripcion;"Listado de las empresas y personas, juridicas o naturales; que han incumplido contratos. No disponible: Este conjunto de datos no aplica para esta entidad.  "
Nombre del campo;Descripcion del campo
No;Numero secuencial en el registro de la informacion
RUC - Numero Identificacion de la empresa o persona contratista;Registro unico de Contribuyentes o numero de identificacion de la empresa o persona contratista
Numero de contrato - codigo del proceso de contratacion fallido o incumplido;Numero de contrato o codigo del proceso de contratacion relacionado al incumplimiento o falla
Monto del contrato incumplido;Monto del contrato que ha sido incumplido o no ha sido cumplido segun lo acordado
Fecha desde;Fecha de inicio o inicio del periodo de tiempo considerado para el incumplimiento o falla
Fecha hasta;Fecha de finalizacion o final del periodo de tiempo considerado para el incumplimiento o falla
