Grupo especifico;Nombre de polÃ­tica pÃºblica;Fase;Fecha;Enlace a informe
Políticas;Políticas de Atención al tema Integrado de Salud de la Universidad de las Fuerzas Armadas- ESPE y    Tarifas de Servicios.;aplicación;No aplica;https://usgn.espe.edu.ec/wp-content/plugins/pdfjs-viewer-shortcode/pdfjs/web/viewer.php?file=https://usgn.espe.edu.ec/wp-content/uploads/2019/06/Politicas-SIS-HCU-RES-2017-026.pdf&attachment_id=0&dButton=true&pButton=true&oButton=false&sButton=true&pagemode=none&_wpnonce=070f2fdda6
Políticas;Política Específica de Protección de Datos Personales de la Universidad de las Fuerzas Armadas – ESPE;aplicación;No aplica;https://usgn.espe.edu.ec/wp-content/uploads/2025/09/Politica-Proteccion-Datos-2025.pdf
