Institución;Nombre de la entidad
Descripción;Actualemnte
Nombre del campo;La Universidad Nacional de Loja, no posse información clasificada como reservada.
Tema;Tema o asunto al que se refiere la información reservada.
Número de resolución;Número que identifica a la información clasificada como reservada
Fecha de la clasificación de la información reservada;Fecha en la que se realizó la clasificación de la información como reservada.
Período de vigencia de la clasificación de la reserva;Período de tiempo durante el cual la información se mantiene clasificada como reservada.
Enlace para descargar la resolución de clasificación de información reservada;Enlace para descargar la resolución de clasificación de información reservada
