Nombre del Plan o Programa;Período;Monto;Enlace al Plan o Programa;Enlace al estado 
Plan Estratégico de Desarrollo Institucional 2022-2026;2022-2026;0;PEDI_2022-2026_020622.pdf;NO APLICA
Plan Operativo Anual 2024;2024;$63.348.863,59;https://liveespochedu-my.sharepoint.com/:b:/g/personal/planificacion_espoch_edu_ec/EXMEzLG5RHZAnRl-sO7_E4EB_8mCppmx2b1rgomL3JXNgg?e=Yz4Ies;NO APLICA
Plan Anual de Inversiones 2024;2024;$2.617.938,35;https://drive.google.com/file/d/1pN8OqjdAgff-7MqYvlcuN3EzaNMpjRTX/view;NO APLICA
