Unidad;Objetivos;Indicador;Meta cuantificable;Enlace al sistema de gestión de planificación para verificación de los indicadores y metas cuantificables por procesos o niveles;;;;;;;;;;;;;;;;;;;;;;;
DIRECCIÓN DE EVALUACIÓN Y ACREDITACIÓN;ELABORACION Y ACTUALIZACION DE HERRAMIENTAS TECNICAS Y REGLAMENTARIAS QUE VIABILICEN LA EJECUCION DE LOS PROCESOS DE EVALUACION, APOYO A LA ACREDITACION Y EL ASEGURAMIENTO DE LA CALIDAD INSTITUCIONAL, DE CARRERAS Y PROGRAMAS DE POSGRADO;REGLAMENTO DE EVALUACION INTEGRAL DEL DESEMPENO DEL PERSONAL ACADEMICO ACTUALIZADO;100%;;;;;;;;;;;;;;;;;;;;;;;;
;;REGLAMENTO DE LOS PROCESOS DE AUTOEVALUACION ACTUALIZADO;100%;;;;;;;;;;;;;;;;;;;;;;;;
DIRECCIÓN JURÍDICA;FORTALECER LA GESTIÓN ADMINISTRATIVA INSTITUCIONAL DE LA ESPOCH.;ASESORAMIENTO LEGAL EJECUTADO;100%;;;;;;;;;;;;;;;;;;;;;;;;
;;SERVICIO DE ASESORIA CONTRATADO;1;;;;;;;;;;;;;;;;;;;;;;;;
;;SISTEMA DE INFORMACION JURIDICA;1;;;;;;;;;;;;;;;;;;;;;;;;
SECRETARÍA GENERAL Y DOCUMENTACIÓN;FORTALECER LA GESTIÓN ADMINISTRATIVA INSTITUCIONAL DE LA ESPOCH.;CERTIFICACIONES Y REGISTRO DE DOCUMENTOS Y TITULOS;100%;;;;;;;;;;;;;;;;;;;;;;;;
DIRECCIÓN FINANCIERA;FORTALECER LA GESTION ADMINISTRATIVA INSTITUCIONAL DE ESPOCH.;EJECUCION PRESUPUESTARIA;100%;;;;;;;;;;;;;;;;;;;;;;;;
;;RECUPERACION DE CARTERA;100%;;;;;;;;;;;;;;;;;;;;;;;;
;;CUMPLIMIENTO CONTABLE DE LA INSTITUCION;100%;;;;;;;;;;;;;;;;;;;;;;;;
;;CUMPLIMIENTO TRIBUTARIO;100%;;;;;;;;;;;;;;;;;;;;;;;;
;;GESTION ANUAL DE LA UNIDAD;100%;;;;;;;;;;;;;;;;;;;;;;;;
DIRECCIÓN DE RELACIONES INTERNACIONALES;IMPULSAR LA GESTION INTEGRAL DE INTERNACIONALIZACION EN LA ESPOCH PARA CONSOLIDAR UNA COMUNIDAD POLITECNICA GLOBALMENTE CONECTADA, PROMOVIENDO LA EXCELENCIA EDUCATIVA, LA DIVERSIDAD CULTURAL Y EL INTERCAMBIO DE CONOCIMIENTOS EN UN ENTORNO PLURICULTURAL Y EN CONSTANTE INNOVACION.;ESTRATEGIAS PARA LA INTERNACIONALIZACION DE LA ESPOCH;100%;;;;;;;;;;;;;;;;;;;;;;;;
DIRECCIÓN DE TECNOLOGÍAS DE LA INFORMACIÓN Y COMUNICACIÓN;AUTOMATIZAR LOS PROCESOS INSTITUCIONALES COMO CONTRIBUCION A LOS EJES: ACADEMIA, VINCULACION, INVESTIGACION Y GESTION ACADEMICA;SISTEMAS INFORMATICOS IMPLEMENTADOS;100%;;;;;;;;;;;;;;;;;;;;;;;;
DIRECCIÓN DE COMUNICACIÓN Y RELACIONES PÚBLICAS;FORTALECER LA GESTION ADMINISTRATIVA INSTITUCIONAL DE LA ESPOCH.;NOTORIEDAD E IMAGEN ADECUADA SEGUN LOS FINES Y ACTIVIDADES INSTITUCIONALES;100%;;;;;;;;;;;;;;;;;;;;;;;;
SEDE ORELLANA;ASEGURAR LA CALIDAD ACADEMIA DE LA SEDE ORELLANA MEDIANTE LAS PRACTICAS EXPERIMENTALES;SE HABRA REALIZADO PRACTICAS EXPERIMENTALES HASTA FINALES DEL ANO 2024;100%;;;;;;;;;;;;;;;;;;;;;;;;
SEDE MORONA SANTIAGO;ASEGURAR LA CALIDAD ACADEMICA DE LA SEDE MORONA SANTIAGO MEDIANTE LAS PRACTICAS EXPERIMENTALES;ADQUISICION DE EQUIPOS;100%;;;;;;;;;;;;;;;;;;;;;;;;
;;MANTENIMIENTO DE VEHICULOS;100%;;;;;;;;;;;;;;;;;;;;;;;;
FACULTAD DE ADMINISTRACIÓN DE EMPRESAS;ASEGURAR LA CALIDAD DE LOS PROCESOS UNIVERSITARIOS PARA LA FACULTAD DE ADMINISTRACION DE EMPRESAS;PARTICIPACION DOCENTE;100%;;;;;;;;;;;;;;;;;;;;;;;;
FACULTAD DE CIENCIAS;ACTUALIZACION TECNOLOGICA DE LOS LABORATORIOS DE LA FACULTAD DE CIENCIAS MISMOS QUE SERVIRAN PARA FORTALECER LAS PRACTICAS ESTUDIANTILES;PROVISION DE REACTIVOS;100%;;;;;;;;;;;;;;;;;;;;;;;;
;;MANTENIMIENTO PREVENTIVO Y CORRECTIVO;1;;;;;;;;;;;;;;;;;;;;;;;;
;;ABASTECIMIENTO DE ALIMENTACION;100%;;;;;;;;;;;;;;;;;;;;;;;;
;;IMPLEMENTACION DE SERVICIO DE DOSIMETRIA;100%;;;;;;;;;;;;;;;;;;;;;;;;
;;DOTACION DE INSUMOS;1;;;;;;;;;;;;;;;;;;;;;;;;
;;OBTENCION DE REPUESTOS INFORMATICAS;100%;;;;;;;;;;;;;;;;;;;;;;;;
FACULTAD DE CIENCIAS PECUARIAS;MEJORAR LAS CONDICIONES FISICAS DE LOS LABORATORIOS Y LA UNIDAD DE ESPECIES MENORES DE LA FACULTAD DE CIENCIAS PECUARIAS PARA QUE LAS INSTALACIONES FISICAS SE ENCUENTREN EN PERFECTO ESTADO PARA LAS DIFERENTES PRACTICAS ESTUDIANTILES;NUMERO DE LABORATORIOS OPERATIVOS;100%;;;;;;;;;;;;;;;;;;;;;;;;
;;ADQUISICION DE PLANCHAS DE ETERNIT Y PLANCHAS DE GALVALUMEN;100%;;;;;;;;;;;;;;;;;;;;;;;;
FACULTAD DE INFORMÁTICA Y ELECTRÓNICA;REPOTENCIAR Y MANTENER EQUIPOS ELECTRICOS, ELECTRONICOS Y DE SONIDO DEL AUDITORIO PARA GARANTIZAR EL ACCESO A SERVICIOS TECNOLOGICOS DE ESTUDIANTES Y DOCENTES DE LA FACULTAD DE INFORMATICA Y ELECTRONICA;EQUIPOS QUE SE HAN DADO MANTENIMIENTO CORRECTIVO;3;;;;;;;;;;;;;;;;;;;;;;;;
FACULTAD DE MECÁNICA;OFRECER LABORATORIOS,TALLERES Y ESPACIOS FISICOS ADECUADOS QUE CONTRIBUYAN EN EL DESARROLLO DE LAS ACTIVIDADES ACADEMICAS EN BENEFICIO DE LOS ESTUDIANTES Y PLANTA DOCENTE;EQUIPAMIENTO Y MANTENIMIENTO DE LABORATORIOS, TALLERES Y ESPACIOS FISICOS;100%;;;;;;;;;;;;;;;;;;;;;;;;
FACULTAD DE RECURSOS NATURALES;BRINDAR LAS CONDICIONES ADECUADAS PARA PROVEER SERVICIOS DE CALIDAD A LOS ESTUDIANTES Y DOCENTES DE LA FACULTAD DE RECURSOS NATURALES;LABORATORIO EN FUNCIONAMIENTO;100%;;;;;;;;;;;;;;;;;;;;;;;;
FACULTAD DE SALUD PÚBLICA;FORTALECER LOS LABORATORIOS DE LA CARRERA DE MEDICINA MEDIANTE DOTACION DE REACTIVOS, INSUMOS, MATERIALES Y EQUIPOS QUE GARANTIZARA EL APRENDIZAJE TEORICO Y PRACTICO EN LA ACADEMIA;PARTICIPACION FORTALECIDA EN EVENTOS AFEME;1;;;;;;;;;;;;;;;;;;;;;;;;
DECANATO DE POSGRADO;CONSOLIDAR LOS PROCESOS ADMINISTRATIVOS Y ACADEMICOS PARA LOS PROGRAMAS DEL DECANATO DE POSGRADO;LIQUIDACION DE PAGOS DE CONTRATOS LABORALES DE 3 DOCENTES ANIOS ANTERIORES;100%;;;;;;;;;;;;;;;;;;;;;;;;
;;LIQUIDACION DE PAGOS DE CONTRATOS LABORALES DE 50 MIEMBROS DE TRIBUNALES DE TITULACION ANIOS ANTERIORES;100%;;;;;;;;;;;;;;;;;;;;;;;;
;;ELEVAR LA TASA DE TITULACION DE AL MENOS 50 ESTUDIANTES MEDIANTE EL PROCESO DE ACTUALIZACION DE CONOCIMIENTOS VERSION 5;100%;;;;;;;;;;;;;;;;;;;;;;;;
VICERRECTORADO ACADÉMICO;FORTALECER LA GESTION DE FORMACION ACADEMICA DE GRADO Y POSGRADO DE LA ESCUELA SUPERIOR POLITECNICA DE CHIMBORAZO.;PLANIFICACION DE LA GESTION ACADEMICA INSTITUCIONAL;1;;;;;;;;;;;;;;;;;;;;;;;;
DECANATO DE DESARROLLO ACADÉMICO;FORTALECER LA GESTIÓN ADMINISTRATIVA INSTITUCIONAL DE LA ESPOCH.;CAPACITACION INTERNA CON PRESUPUESTO;0,7;;;;;;;;;;;;;;;;;;;;;;;;
;;CAPACITACION INTERNA SIN PRESUPUESTO;70;;;;;;;;;;;;;;;;;;;;;;;;
;;CAPACITACION EXTERNA CON PRESUPUESTO;0,7;;;;;;;;;;;;;;;;;;;;;;;;
DECANATO ACADÉMICO;FORTALECER LA GESTION ADMINISTRATIVA DEL DECANATO ACADEMICO.;CALENDARIO ACADEMICO INSTITUCIONAL;100%;;;;;;;;;;;;;;;;;;;;;;;;
;;REPORTE DE MOVILIDAD INTERNA Y EXTERNA;100%;;;;;;;;;;;;;;;;;;;;;;;;
;;REPORTES DEL SISTEMA ACADEMICO INSTITUCIONAL YANKAY;100%;;;;;;;;;;;;;;;;;;;;;;;;
;;REPORTES ACADEMICOS;100%;;;;;;;;;;;;;;;;;;;;;;;;
DECANATO DE TELEEDUCACIÓN;GENERAR COMPETENCIAS DIGITALES PARA LA DOCENCIA, FOMENTANDO LA COLABORACION Y LA INNOVACION EN PROGRAMAS Y/O PROYECTOS ACADEMICOS Y DE INVESTIGACION EN MODALIDADES NO PRESENCIALES;CURSOS DE CAPACITACION Y EVENTOS;2;;;;;;;;;;;;;;;;;;;;;;;;
;;REGLAMENTO DE LAS MODALIDADES DE ESTUDIO NO PRESENCIALES;100%;;;;;;;;;;;;;;;;;;;;;;;;
DIRECCIÓN DE ADMISIÓN Y NIVELACIÓN;FORTALECER LA GESTION ACADEMICA Y ADMINISTRATIVA INSTITUCIONAL DE LA ESPOCH;CUPOS OFERTADOS;100%;;;;;;;;;;;;;;;;;;;;;;;;
;;CUPOS ASIGNADOS;100%;;;;;;;;;;;;;;;;;;;;;;;;
;;CUPOS ACEPTADOS;100%;;;;;;;;;;;;;;;;;;;;;;;;
;;MATRICULADOS;100%;;;;;;;;;;;;;;;;;;;;;;;;
COORDINACIÓN DE IDIOMAS;FORTALECER LA GESTIÓN ADMINISTRATIVA INSTITUCIONAL DE LA ESPOCH.;ESTUDIANTES CON CERTIFICACION INTERNACIONAL;70;;;;;;;;;;;;;;;;;;;;;;;;
;;CARGAS HORARIAS ORGANIZADAS;7;;;;;;;;;;;;;;;;;;;;;;;;
;;BIENES Y SERVICIOS OPERATIVOS ADQUIRIDOS;70;;;;;;;;;;;;;;;;;;;;;;;;
