Institución;Nombre de la Entidad
Descripción;Información relevante  para el ejercicio del derecho de acceso a la información pública
Nombre del campo;Descripción del campo
Información relevante;Tipo de información que la entidad considere relevante
Enlace para descargar;Enlace para descargar documento sobre los detalles de la información relevante
