FECHA DE PUBLICACIÓN;CÓDIGO DEL PROCESO;TIPO DE PROCESO;OBJETO DEL PROCESO;PRESUPUESTO REFERENCIAL - USD;PARTIDA PRESUPUESTARIA;MONTO DE LA ADJUDICACIÓN - USD;ETAPA DE LA CONTRATACIÓN;IDENTIFICACIÓN DEL CONTRATISTA;LINK PARA DESCARGAR EL PROCESO DE CONTRATACIÓN DESDE EL PORTAL DE COMPRAS PÚBLICAS
No se publicaron procedimientos de contratación durante el mes de enero 2026;No se publicaron procedimientos de contratación durante el mes de enero 2026;No se publicaron procedimientos de contratación durante el mes de enero 2026;No se publicaron procedimientos de contratación durante el mes de enero 2026;No se publicaron procedimientos de contratación durante el mes de enero 2026;No se publicaron procedimientos de contratación durante el mes de enero 2026;No se publicaron procedimientos de contratación durante el mes de enero 2026;No se publicaron procedimientos de contratación durante el mes de enero 2026;No se publicaron procedimientos de contratación durante el mes de enero 2026;No se publicaron procedimientos de contratación durante el mes de enero 2026
