Institución;Nombre de la Entidad
Descripción;Procesos de Contratación Pública
Nombre del campo;Nombre del campo
Fecha de publicación;Fecha de publicación
Código del proceso;Código del proceso
Tipo de proceso;Tipo de proceso
Objeto del proceso;Objeto del proceso
Presupuesto referencial - USD;Presupuesto referencial - USD
Partida presupuestaria;Partida presupuestaria
Monto de la adjudicación - USD;Monto de la adjudicación - USD
Etapa de la contratación;Etapa de la contratación
Identificación del contratista;Identificación del contratista
Link para descargar el proceso de contratación desde el portal de comprass públicas;Link para descargar el proceso de contratación desde el portal de comprass públicas
