No.;Número del informe;Tipo de examen;Nombre del examen;Período analizado;Area o proceso auditado;Enlace para descargar el informe específico;Enlace para descargar el reporte de seguimiento al cumplimiento de recomendaciones del informe de auditoría
;;;;;;www.contraloria.gob.ec/consultas informes aprobados;www.contraloria.gob.ec/seguimiento de recomendaciones
