No. ;RUC / Número Identificación de la empresa o persona contratista;Número de contrato / código del proceso de contratación fallido o incumplido;Monto del contrato incumplido;Fecha desde;Fecha hasta
no aplica;no aplica;no aplica;no aplica;no aplica;no aplica
