Numeracion;Puesto Institucional;Regimen laboral al que pertenece;Numero de partida presupuestaria;Grado jerarquico o escala al que pertenece el puesto;Remuneracin mensual unificada;Remuneracion unificada (anual);Decimo Tercera Remuneracion;Decima Cuarta Remuneracion;Horas suplementarias y extraordinarias;Encargos y subrogaciones;Total ingresos adicionales
1;ESPECIALISTA DE SEGURIDAD DE LA INFORMACION;1.SERVICIO CIVIL PUBLICO (LOSEP);2026.189.9999.0000.01.00.000.001.510105.1700.003.0000.0000;14;1.760,00;21.120,00;1.760,00;482;0;0;2.242,00
2;PROFESOR AUXILIAR 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;2.000,00;24.000,00;2.000,00;482;0;0;2.482,00
3;PROFESOR PRINCIPAL 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;4.078,86;48.946,32;4.078,86;482;0;0;4.560,86
4;AUXILIAR DE SERVICIOS;2.CODIGO DEL TRABAJO;2026.189.9999.0000.01.00.000.001.510105.1700.003.0000.0000;1;871,74;10.460,88;871,74;482;0;0;1.353,74
5;AUXILIAR DE SERVICIOS;2.CODIGO DEL TRABAJO;2026.189.9999.0000.01.00.000.001.510105.1700.003.0000.0000;1;871,74;10.460,88;871,74;482;0;0;1.353,74
6;ANALISTA DE INFRAESTRUCTURA FISICA 2;1.SERVICIO CIVIL PUBLICO (LOSEP);2026.189.9999.0000.01.00.000.001.510105.1700.003.0000.0000;12;1.412,00;16.944,00;1.412,00;482;0;0;1.894,00
7;PSICOLOGO EDUCATIVO;1.SERVICIO CIVIL PUBLICO (LOSEP);2026.189.9999.0000.01.00.000.001.510105.1700.003.0000.0000;12;1.412,00;16.944,00;1.412,00;482;0;0;1.894,00
8;PROFESOR AUXILIAR 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;2.464,00;29.568,00;2.464,00;482;0;0;2.946,00
9;DISEÑADOR GRAFICO;1.SERVICIO CIVIL PUBLICO (LOSEP);2026.189.9999.0000.01.00.000.001.510105.1700.003.0000.0000;10;1.086,00;13.032,00;1.086,00;482;0;0;1.568,00
10;ANALISTA DE SOPORTE TECNICO 2;1.SERVICIO CIVIL PUBLICO (LOSEP);2026.189.9999.0000.01.00.000.001.510105.1700.003.0000.0000;0;1.521,74;18.260,88;1.521,74;482;0;0;2.003,74
11;PROFESOR PRINCIPAL 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;4.078,86;48.946,32;4.078,86;482;0;0;4.560,86
12;PROFESOR TITULAR PRINCIPAL DE ESCALAFON PREVIO TIEMPO MEDIO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;1.400,00;16.800,00;1.400,00;482;0;0;1.882,00
13;PROFESOR TITULAR PRINCIPAL DE ESCALAFON PREVIO TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;3.496,25;41.955,00;3.496,25;482;0;0;3.978,25
14;PROFESOR PRINCIPAL 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;4.078,86;48.946,32;4.078,86;482;0;0;4.560,86
15;TECNICO DE ARCHIVO;1.SERVICIO CIVIL PUBLICO (LOSEP);2026.189.9999.0000.01.00.000.001.510105.1700.003.0000.0000;7;817;9.804,00;817;482;0;0;1.299,00
16;PROFESOR TITULAR PRINCIPAL DE ESCALAFON PREVIO TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;3.432,00;41.184,00;3.432,00;482;0;0;3.914,00
17;PROFESOR TITULAR PRINCIPAL DE ESCALAFON PREVIO TIEMPO PARCIAL;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;1.154,54;13.854,48;1.154,54;482;0;0;1.636,54
18;TRABAJADOR SOCIAL;1.SERVICIO CIVIL PUBLICO (LOSEP);2026.189.9999.0000.01.00.000.001.510105.1700.003.0000.0000;0;1.521,74;18.260,88;1.521,74;482;0;0;2.003,74
19;PROFESOR AGREGADO 2 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;3.128,82;37.545,84;3.128,82;482;0;0;3.610,82
20;PROFESOR AUXILIAR 2 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;2.714,42;32.573,04;2.714,42;482;0;0;3.196,42
21;PROFESOR AGREGADO 1 MEDIO TIEMPO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;1.400,00;16.800,00;1.400,00;482;0;0;1.882,00
22;PROFESOR TITULAR PRINCIPAL DE ESCALAFON PREVIO TIEMPO PARCIAL;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;1.209,98;14.519,76;1.209,98;482;0;0;1.691,98
23;ASISTENTE EJECUTIVA 1;1.SERVICIO CIVIL PUBLICO (LOSEP);2026.189.9999.0000.01.00.000.001.510105.1700.003.0000.0000;6;733;8.796,00;733;482;0;0;1.215,00
24;PROFESOR TITULAR PRINCIPAL DE ESCALAFON PREVIO TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;3.496,25;41.955,00;3.496,25;482;0;0;3.978,25
25;TRABAJADOR AGRICOLA;2.CODIGO DEL TRABAJO;2026.189.9999.0000.01.00.000.001.510105.1700.003.0000.0000;1;561;6.732,00;561;482;0;0;1.043,00
26;PROFESOR AUXILIAR 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;2.464,00;29.568,00;2.464,00;482;0;0;2.946,00
27;PROFESOR PRINCIPAL 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;4.078,86;48.946,32;4.078,86;482;0;0;4.560,86
28;ANALISTA DE PRESUPUESTO;1.SERVICIO CIVIL PUBLICO (LOSEP);2026.189.9999.0000.01.00.000.001.510105.1700.003.0000.0000;11;1.212,00;14.544,00;1.212,00;482;202;0;1.896,00
29;PROFESOR TITULAR PRINCIPAL DE ESCALAFON PREVIO TIEMPO PARCIAL;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;837,14;10.045,68;837,14;482;0;0;1.319,14
30;PROFESOR TITULAR PRINCIPAL DE ESCALAFON PREVIO TIEMPO PARCIAL;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;941,09;11.293,08;941,09;482;0;0;1.423,09
31;PROFESOR TITULAR PRINCIPAL DE ESCALAFON PREVIO TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;2.800,00;33.600,00;2.800,00;482;0;0;3.282,00
32;SECRETARIO ACADEMICO;1.SERVICIO CIVIL PUBLICO (LOSEP);2026.189.9999.0000.01.00.000.001.510105.1700.003.0000.0000;12;1.412,00;16.944,00;1.412,00;482;0;0;1.894,00
33;ASISTENTE EJECUTIVA 2;1.SERVICIO CIVIL PUBLICO (LOSEP);2026.189.9999.0000.01.00.000.001.510105.1700.003.0000.0000;0;817;9.804,00;817;482;0;0;1.299,00
34;PROFESOR AUXILIAR 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;2.000,00;24.000,00;2.000,00;482;0;0;2.482,00
35;PROFESOR AGREGADO 1 TIEMPO PARCIAL;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;420;5.040,00;420;482;0;0;902
36;PROFESOR AUXILIAR TIEMPO PARCIAL;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;517,44;6.209,28;517,44;482;0;0;999,44
37;AUDITOR INTERNO 2;1.SERVICIO CIVIL PUBLICO (LOSEP);2026.189.9999.0000.01.00.000.001.510105.1700.003.0000.0000;13;1.676,00;20.112,00;1.676,00;482;0;0;2.158,00
38;OPERADOR DE MAQUINARIA O EQUIPO PESADO;2.CODIGO DEL TRABAJO;2026.189.9999.0000.01.00.000.001.510105.1700.003.0000.0000;2;738;8.856,00;738;482;167,33;0;1.387,33
39;ESPECIALISTA DE SIMULACION;1.SERVICIO CIVIL PUBLICO (LOSEP);2026.189.9999.0000.01.00.000.001.510105.1700.003.0000.0000;3;1.760,00;21.120,00;1.760,00;482;0;0;2.242,00
40;PROFESOR AGREGADO 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;3.044,80;36.537,60;3.044,80;482;0;0;3.526,80
41;MEDICO;1.SERVICIO CIVIL PUBLICO (LOSEP);2026.189.9999.0000.01.00.000.001.510105.1700.003.0000.0000;0;1.521,74;18.260,88;1.521,74;482;0;0;2.003,74
42;AUXILIAR DE SERVICIOS;2.CODIGO DEL TRABAJO;2026.189.9999.0000.01.00.000.001.510105.1700.003.0000.0000;1;621,74;7.460,88;621,74;482;0;0;1.103,74
43;PROFESOR AGREGADO 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;2.800,00;33.600,00;2.800,00;482;0;0;3.282,00
44;ANALISTA DE GESTION DE LA CALIDAD;1.SERVICIO CIVIL PUBLICO (LOSEP);2026.189.9999.0000.01.00.000.001.510105.1700.003.0000.0000;11;1.212,00;14.544,00;1.212,00;482;0;0;1.694,00
45;PROFESOR TITULAR PRINCIPAL DE ESCALAFON PREVIO TIEMPO PARCIAL;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;748,44;8.981,28;748,44;482;0;0;1.230,44
46;PROFESOR TITULAR PRINCIPAL DE ESCALAFON PREVIO TIEMPO PARCIAL;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;840;10.080,00;840;482;0;0;1.322,00
47;PROFESOR TITULAR PRINCIPAL DE ESCALAFON PREVIO TIEMPO PARCIAL;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;598,75;7.185,00;598,75;482;0;0;1.080,75
48;PROFESOR AGREGADO 1 MEDIO TIEMPO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;1.400,00;16.800,00;1.400,00;482;0;0;1.882,00
49;AUXILIAR DE SERVICIOS;2.CODIGO DEL TRABAJO;2026.189.9999.0000.01.00.000.001.510105.1700.003.0000.0000;1;621,74;7.460,88;621,74;482;284,9;0;1.388,64
50;MECANICO INDUSTRIAL;2.CODIGO DEL TRABAJO;2026.189.9999.0000.01.00.000.001.510105.1700.003.0000.0000;2;871,74;10.460,88;871,74;482;0;0;1.353,74
51;PROFESOR AUXILIAR MEDIO TIEMPO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;1.034,88;12.418,56;1.034,88;482;0;0;1.516,88
52;PROFESOR AUXILIAR 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;2.657,60;31.891,20;2.657,60;482;0;0;3.139,60
53;PROFESOR PRINCIPAL 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;4.078,86;48.946,32;4.078,86;482;0;0;4.560,86
54;PROFESOR AGREGADO 3 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;3.496,25;41.955,00;3.496,25;482;0;0;3.978,25
55;GUARDALMACEN;1.SERVICIO CIVIL PUBLICO (LOSEP);2026.189.9999.0000.01.00.000.001.510105.1700.003.0000.0000;0;986;11.832,00;986;482;0;0;1.468,00
56;ASISTENTE EJECUTIVA 1;1.SERVICIO CIVIL PUBLICO (LOSEP);2026.189.9999.0000.01.00.000.001.510105.1700.003.0000.0000;7;817;9.804,00;817;482;0;0;1.299,00
57;PROFESOR AGREGADO 1 TIEMPO PARCIAL;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;1.330,00;15.960,00;1.330,00;482;0;0;1.812,00
58;PROFESOR TITULAR PRINCIPAL DE ESCALAFON PREVIO TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;3.819,20;45.830,40;3.819,20;482;0;0;4.301,20
59;TECNICO DE LABORATORIO;1.SERVICIO CIVIL PUBLICO (LOSEP);2026.189.9999.0000.01.00.000.001.510105.1700.003.0000.0000;0;1.121,74;13.460,88;1.121,74;482;0;0;1.603,74
60;PROFESOR TITULAR PRINCIPAL DE ESCALAFON PREVIO TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;3.128,82;37.545,84;3.128,82;482;0;0;3.610,82
61;PROFESOR AGREGADO 1 TIEMPO PARCIAL;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;1.260,00;15.120,00;1.260,00;482;0;0;1.742,00
62;MEDICO;1.SERVICIO CIVIL PUBLICO (LOSEP);2026.189.9999.0000.01.00.000.001.510105.1700.003.0000.0000;0;1.521,74;18.260,88;1.521,74;482;0;0;2.003,74
63;PROFESOR AGREGADO 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;2.800,00;33.600,00;2.800,00;482;0;0;3.282,00
64;PROFESOR AUXILIAR 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;2.000,00;24.000,00;2.000,00;482;0;0;2.482,00
65;ASISTENTE EJECUTIVA 1;1.SERVICIO CIVIL PUBLICO (LOSEP);2026.189.9999.0000.01.00.000.001.510105.1700.003.0000.0000;6;733;8.796,00;733;482;0;0;1.215,00
66;PROFESOR AUXILIAR 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;2.000,00;24.000,00;2.000,00;482;0;0;2.482,00
67;ANALISTA DE ENTORNOS VIRTUALES Y PRESENCIALES DE APRENDIZAJE;1.SERVICIO CIVIL PUBLICO (LOSEP);2026.189.9999.0000.01.00.000.001.510105.1700.003.0000.0000;0;1.321,74;15.860,88;1.321,74;482;0;0;1.803,74
68;TECNICO DE ARCHIVO;1.SERVICIO CIVIL PUBLICO (LOSEP);2026.189.9999.0000.01.00.000.001.510105.1700.003.0000.0000;0;871,74;10.460,88;871,74;482;0;0;1.353,74
69;TECNICO DE MANTENIMIENTO;2.CODIGO DEL TRABAJO;2026.189.9999.0000.01.00.000.001.510105.1700.003.0000.0000;5;773;9.276,00;773;482;0;0;1.255,00
70;AUXILIAR DE SERVICIOS;2.CODIGO DEL TRABAJO;2026.189.9999.0000.01.00.000.001.510105.1700.003.0000.0000;1;871,74;10.460,88;871,74;482;0;0;1.353,74
71;AUXILIAR DE SERVICIOS;2.CODIGO DEL TRABAJO;2026.189.9999.0000.01.00.000.001.510105.1700.003.0000.0000;1;561;6.732,00;561;482;0;0;1.043,00
72;PROFESOR PRINCIPAL 2 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;4.516,00;54.192,00;4.516,00;482;0;0;4.998,00
73;ABOGADO;1.SERVICIO CIVIL PUBLICO (LOSEP);2026.189.9999.0000.01.00.000.001.510105.1700.003.0000.0000;0;1.212,00;14.544,00;1.212,00;482;0;0;1.694,00
74;TECNICO DE ARCHIVO;1.SERVICIO CIVIL PUBLICO (LOSEP);2026.189.9999.0000.01.00.000.001.510105.1700.003.0000.0000;7;817;9.804,00;817;482;0;0;1.299,00
75;ANALISTA DE PROGRAMACION,SEGUIMIENTO Y CONTROL ACADEMICO;1.SERVICIO CIVIL PUBLICO (LOSEP);2026.189.9999.0000.01.00.000.001.510105.1700.003.0000.0000;11;1.212,00;14.544,00;1.212,00;482;0;0;1.694,00
76;ANALISTA DE COOPERACION INTERINSTITUCIONAL;1.SERVICIO CIVIL PUBLICO (LOSEP);2026.189.9999.0000.01.00.000.001.510105.1700.003.0000.0000;11;1.212,00;14.544,00;1.212,00;482;0;0;1.694,00
77;PROFESOR TITULAR PRINCIPAL DE ESCALAFON PREVIO TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;3.044,80;36.537,60;3.044,80;482;0;0;3.526,80
78;PROFESOR PRINCIPAL 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;4.078,86;48.946,32;4.078,86;482;0;0;4.560,86
79;PROFESOR TITULAR PRINCIPAL DE ESCALAFON PREVIO TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;3.044,80;36.537,60;3.044,80;482;0;0;3.526,80
80;PROFESOR PRINCIPAL 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;4.078,86;48.946,32;4.078,86;482;0;0;4.560,86
81;PROFESOR AUXILIAR 1 TIEMPO PARCIAL;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;1.228,92;14.747,04;1.228,92;482;0;0;1.710,92
82;TECNICO GRAFICO;2.CODIGO DEL TRABAJO;2026.189.9999.0000.01.00.000.001.510105.1700.003.0000.0000;3;773;9.276,00;773;482;0;0;1.255,00
83;ANALISTA DE CONTROL DE BIENES;1.SERVICIO CIVIL PUBLICO (LOSEP);2026.189.9999.0000.01.00.000.001.510105.1700.003.0000.0000;0;1.212,00;14.544,00;1.212,00;482;0;0;1.694,00
84;PROFESOR TITULAR PRINCIPAL DE ESCALAFON PREVIO TIEMPO PARCIAL;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;1.116,19;13.394,28;1.116,19;482;0;0;1.598,19
85;PROFESOR AGREGADO 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;2.948,00;35.376,00;2.948,00;482;0;0;3.430,00
86;PROFESOR TITULAR PRINCIPAL DE ESCALAFON PREVIO TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;2.948,00;35.376,00;2.948,00;482;0;0;3.430,00
87;PROFESOR AGREGADO 3 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;3.684,03;44.208,36;3.684,03;482;0;0;4.166,03
88;PROFESOR PRINCIPAL 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;4.078,86;48.946,32;4.078,86;482;0;0;4.560,86
89;ANALISTA DE PRESUPUESTO;1.SERVICIO CIVIL PUBLICO (LOSEP);2026.189.9999.0000.01.00.000.001.510105.1700.003.0000.0000;11;1.212,00;14.544,00;1.212,00;482;183,92;0;1.877,92
90;PROFESOR AUXILIAR TIEMPO PARCIAL;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;776,16;9.313,92;776,16;482;0;0;1.258,16
91;ANALISTA DE PRESUPUESTO;1.SERVICIO CIVIL PUBLICO (LOSEP);2026.189.9999.0000.01.00.000.001.510105.1700.003.0000.0000;11;1.212,00;14.544,00;1.212,00;482;126,42;0;1.820,42
92;PROFESOR TITULAR PRINCIPAL DE ESCALAFON PREVIO TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;2.754,40;33.052,80;2.754,40;482;0;0;3.236,40
93;ANALISTA DE CONTROL DE BIENES;1.SERVICIO CIVIL PUBLICO (LOSEP);2026.189.9999.0000.01.00.000.001.510105.1700.003.0000.0000;11;1.212,00;14.544,00;1.212,00;482;0;0;1.694,00
94;PROFESOR AUXILIAR 1 TIEMPO PARCIAL;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;1.164,24;13.970,88;1.164,24;482;0;0;1.646,24
95;PROFESOR AUXILIAR 1 TIEMPO PARCIAL;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;1.116,19;13.394,28;1.116,19;482;0;0;1.598,19
96;PROFESOR AUXILIAR 1 TIEMPO PARCIAL;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;806,65;9.679,80;806,65;482;0;0;1.288,65
97;JARDINERO;2.CODIGO DEL TRABAJO;2026.189.9999.0000.01.00.000.001.510105.1700.003.0000.0000;1;561;6.732,00;561;482;5,76;0;1.048,76
98;ASISTENTE DE COMPRAS PUBLICAS;1.SERVICIO CIVIL PUBLICO (LOSEP);2026.189.9999.0000.01.00.000.001.510105.1700.003.0000.0000;0;901;10.812,00;901;482;74,75;0;1.457,75
99;PROFESOR AGREGADO 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;2.948,00;35.376,00;2.948,00;482;0;0;3.430,00
100;PROFESOR AGREGADO 2 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;3.128,82;37.545,84;3.128,82;482;0;0;3.610,82
101;ESPECIALISTA DE PLANIFICACION;1.SERVICIO CIVIL PUBLICO (LOSEP);2026.189.9999.0000.01.00.000.001.510105.1700.003.0000.0000;14;1.760,00;21.120,00;1.760,00;482;0;0;2.242,00
102;PROFESOR AUXILIAR 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;2.000,00;24.000,00;2.000,00;482;0;0;2.482,00
103;ANALISTA DE SOPORTE TECNICO 1;1.SERVICIO CIVIL PUBLICO (LOSEP);2026.189.9999.0000.01.00.000.001.510105.1700.003.0000.0000;11;1.212,00;14.544,00;1.212,00;482;0;0;1.694,00
104;AUXILIAR DE ODONTOLOGIA;2.CODIGO DEL TRABAJO;2026.189.9999.0000.01.00.000.001.510105.1700.003.0000.0000;4;805;9.660,00;805;482;0;0;1.287,00
105;PROFESOR PRINCIPAL 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;4.078,86;48.946,32;4.078,86;482;0;0;4.560,86
106;PROFESOR AUXILIAR 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;2.000,00;24.000,00;2.000,00;482;0;0;2.482,00
107;PROFESOR AGREGADO 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;2.851,20;34.214,40;2.851,20;482;0;0;3.333,20
108;ANALISTA DE CONTROL DE BIENES;1.SERVICIO CIVIL PUBLICO (LOSEP);2026.189.9999.0000.01.00.000.001.510105.1700.003.0000.0000;11;1.212,00;14.544,00;1.212,00;482;0;0;1.694,00
109;PROFESOR AGREGADO 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;3.128,82;37.545,84;3.128,82;482;0;0;3.610,82
110;TRABAJADOR AGRICOLA;2.CODIGO DEL TRABAJO;2026.189.9999.0000.01.00.000.001.510105.1700.003.0000.0000;1;561;6.732,00;561;482;74,79;0;1.117,79
111;AUXILIAR DE SERVICIOS;2.CODIGO DEL TRABAJO;2026.189.9999.0000.01.00.000.001.510105.1700.003.0000.0000;1;561;6.732,00;561;482;53,82;0;1.096,82
112;PROFESOR TITULAR PRINCIPAL DE ESCALAFON PREVIO TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;3.128,82;37.545,84;3.128,82;482;0;0;3.610,82
113;PROFESOR AUXILIAR 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;2.000,00;24.000,00;2.000,00;482;0;0;2.482,00
114;PROFESOR TITULAR PRINCIPAL DE ESCALAFON PREVIO TIEMPO PARCIAL;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;1.075,54;12.906,48;1.075,54;482;0;0;1.557,54
115;ANALISTA DE ASESORIA JURIDICA;1.SERVICIO CIVIL PUBLICO (LOSEP);2026.189.9999.0000.01.00.000.001.510105.1700.003.0000.0000;0;1.212,00;14.544,00;1.212,00;482;0;0;1.694,00
116;ASISTENTE EJECUTIVA 2;1.SERVICIO CIVIL PUBLICO (LOSEP);2026.189.9999.0000.01.00.000.001.510105.1700.003.0000.0000;0;871,74;10.460,88;871,74;482;0;0;1.353,74
117;PROFESOR PRINCIPAL 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;4.078,86;48.946,32;4.078,86;482;0;0;4.560,86
118;ANALISTA DE SOPORTE TECNICO 1;1.SERVICIO CIVIL PUBLICO (LOSEP);2026.189.9999.0000.01.00.000.001.510105.1700.003.0000.0000;0;1.321,74;15.860,88;1.321,74;482;0;0;1.803,74
119;PROFESOR AUXILIAR TIEMPO PARCIAL;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;1.164,24;13.970,88;1.164,24;482;0;0;1.646,24
120;PROFESOR AGREGADO 3 TIEMPO PARCIAL;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;1.398,50;16.782,00;1.398,50;482;0;0;1.880,50
121;DIRECTOR DE LA UNIDAD DE ESTUDIOS ESTRATEGICOS;1.SERVICIO CIVIL PUBLICO (LOSEP);2026.189.9999.0000.01.00.000.001.510105.1700.003.0000.0000;2;2.368,00;28.416,00;2.368,00;482;0;0;2.850,00
