Institución;Nombre de la Entidad
Descripción;Datos de las personas servidoras públicas incorporadas en cumplimiento de las acciones afirmativas de cuotas laborales en la legislación nacional
Nombre del campo;Descripción del campo
Accion afirmativa;Cantidad de las personas servidoras públicas
No. de personas con acciones afirmativas;Tipo de acción afirmativa
