Accion afirmativa;No. de personas con acciones afirmativas
Pueblos y nacionalidades ind?genas y afrodescendientes;8
Persona con discapacidad;28
"Norma para Calificaci?n de Sustitutos de Personas con Discapacidad (PCD)
Acuerdo Ministerial 180
Registro Oficial 336 del 27 de septiembre de 2018";9
