Institución;Nombre de la Entidad
Descripción;Directorio y Distributivo
Nombre del campo;Descripción del campo
Numeración;Número secuencial que identifica cada línea de los datos.
Apellidos y Nombres de los servidores y servidoras;Apellidos y nombres de la persona servidora pública de la entidad.
regimen laboral;
Numeración de partida;
Grado jerárquico o escala al que pertenece el puesto;
Remuneración mensual unificada;
Remuneración unificada (anual);
Décimo Tercera Remuneración;
Décima Cuarta Remuneración;
Horas suplementarias y extraordinarias;Puesto ocupado por la persona servidora pública correspondiente.
Encargos y subrogaciones;
Total ingresos adicionales;
