Numeración;Puesto Institucional;Regimen laboral al que pertenece;Número de partida presupuestaria;Grado jerárquico o escala al que pertenece el puesto;Remuneración mensual unificada;Remuneración unificada (anual);Décimo Tercera Remuneración;Décima Cuarta Remuneración;Horas suplementarias y extraordinarias;Encargos y subrogaciones;Total ingresos adicionales
1024;ANALISTA DE EVALUACION Y SEGUIMIENTO 3;1.SERVICIO CIVIL PUBLICO (LOSEP);2739;UEP NIVEL PROFESIONAL A3;1760;7.040,00;1.320,03;344,97;0;0;1.665,00
1025;CONSERJE;2.CODIGO DEL TRABAJO;304;NIVEL 1;557;2.228,00;417,78;344,97;0;0;762,75
1026;ASISTENTE ADMINISTRATIVO;1.SERVICIO CIVIL PUBLICO (LOSEP);2846;UEP NIVEL ADMINISTRATIVO A5;622;2.488,00;466,47;344,97;0;0;811,44
1027;PROFESOR/A OCASIONAL MEDIO TIEMPO;3.OTROS REGIMENES ESPECIALES;23319;PROFESOR UNIVERSITARIO;1057,5;4.230,00;793,17;344,97;0;0;1.138,14
1028;ABOGADO 1;1.SERVICIO CIVIL PUBLICO (LOSEP);2905;UEP NIVEL PROFESIONAL A3;1300;5.200,00;974,97;344,97;0;0;1.319,94
1029;ASISTENTE ADMINISTRATIVO;1.SERVICIO CIVIL PUBLICO (LOSEP);2903;UEP NIVEL ADMINISTRATIVO A5;622;2.488,00;466,47;344,97;0;0;811,44
1030;ABOGADO 1;1.SERVICIO CIVIL PUBLICO (LOSEP);2944;UEP NIVEL PROFESIONAL A3;1300;5.200,00;974,97;344,97;0;0;1.319,94
1031;TECNICO DOCENTE 1;3.OTROS REGIMENES ESPECIALES;23762;PERSONAL DE APOYO (UNIVERSIDADES);1212;4.848,00;909;344,97;0;0;1.253,97
1032;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23903;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
1033;ANALISTA ADMINISTRATIVO/A DE COMPRAS PUBLICAS 1;1.SERVICIO CIVIL PUBLICO (LOSEP);2483;UEP NIVEL PROFESIONAL A3;1760;7.040,00;1.320,03;344,97;0;0;1.665,00
1034;MEDICO OCUPACIONAL;1.SERVICIO CIVIL PUBLICO (LOSEP);2929;UEP NIVEL PROFESIONAL A3;1760;7.040,00;1.320,03;344,97;0;0;1.665,00
1035;ASISTENTE ADMINISTRATIVO;1.SERVICIO CIVIL PUBLICO (LOSEP);2841;UEP NIVEL ADMINISTRATIVO A5;622;2.488,00;466,47;344,97;0;0;811,44
1036;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23510;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
1037;ELECTRICISTA;2.CODIGO DEL TRABAJO;533;NIVEL 2;578;2.312,00;433,53;344,97;0;0;778,5
1038;TRABAJADOR AGRICOLA;2.CODIGO DEL TRABAJO;200;NIVEL 1;822,28;3.289,12;616,68;344,97;0;0;961,65
1039;ANALISTA DE DESARROLLO DE SISTEMAS INFORMATICOS 1;1.SERVICIO CIVIL PUBLICO (LOSEP);2721;UEP NIVEL PROFESIONAL A3;1300;5.200,00;974,97;344,97;0;0;1.319,94
