Numeración;Puesto Institucional;Regimen laboral al que pertenece;Número de partida presupuestaria;Grado jerárquico o escala al que pertenece el puesto;Remuneración mensual unificada;Remuneración unificada (anual);Décimo Tercera Remuneración;Décima Cuarta Remuneración;Horas suplementarias y extraordinarias;Encargos y subrogaciones;Total ingresos adicionales
1;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23952;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
2;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23879;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
3;PROFESOR TITULAR PRINCIPAL DE ESCALAFON PREVIO;3.OTROS REGIMENES ESPECIALES;5;PERSONAL ACADEMICO PRINCIPAL;3531,54;14.126,16;2.648,70;344,97;0;0;2.993,67
4;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23476;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
5;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23540;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
6;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;2121;AUTORIDADES ACADEMICAS NIVEL 1;2882,6;11.530,40;2.161,98;344,97;0;0;2.506,95
7;ANALISTA DE BIENES Y BODEGA 1;1.SERVICIO CIVIL PUBLICO (LOSEP);2973;UEP NIVEL PROFESIONAL A3;1300;5.200,00;974,97;344,97;0;0;1.319,94
8;ANALISTA DE EVALUACION Y SEGUIMIENTO 1;1.SERVICIO CIVIL PUBLICO (LOSEP);2888;UEP NIVEL PROFESIONAL A3;1300;5.200,00;974,97;344,97;0;0;1.319,94
9;CONSERJE;2.CODIGO DEL TRABAJO;282;NIVEL 1;557;2.228,00;417,78;344,97;0;0;762,75
10;CONSERJE;2.CODIGO DEL TRABAJO;515;NIVEL 1;561;2.244,00;420,75;344,97;0;0;765,72
11;AYUDANTE DE MANTENIMIENTO;2.CODIGO DEL TRABAJO;242;NIVEL 1;557;2.228,00;417,78;344,97;0;0;762,75
12;TRABAJADOR AGRICOLA;2.CODIGO DEL TRABAJO;310;NIVEL 1;557;2.228,00;417,78;344,97;0;0;762,75
13;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23808;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
14;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23669;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
15;DECANO/A DE VINCULACION;3.OTROS REGIMENES ESPECIALES;2462;AUTORIDADES ACADEMICAS NIVEL 2;4306,13;17.224,52;3.229,56;344,97;0;0;3.574,53
16;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23953;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
17;PROFESOR AGREGADO 3 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;20;PERSONAL ACADEMICO AGREGADO;4300;17.200,00;3.224,97;344,97;0;0;3.569,94
18;PROFESOR TITULAR PRINCIPAL DE ESCALAFON PREVIO;3.OTROS REGIMENES ESPECIALES;25;PERSONAL ACADEMICO PRINCIPAL;4025,42;16.101,68;3.019,05;344,97;0;0;3.364,02
19;TRABAJADOR AGRICOLA;2.CODIGO DEL TRABAJO;235;NIVEL 1;557;2.228,00;417,78;344,97;0;0;762,75
20;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23670;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
21;ANALISTA DE EVALUACION DEL PERSONAL ACADEMICO 3;1.SERVICIO CIVIL PUBLICO (LOSEP);2935;UEP NIVEL PROFESIONAL A3;1760;7.040,00;1.320,03;344,97;0;0;1.665,00
22;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23834;PROFESOR UNIVERSITARIO;2882,6;11.530,40;2.161,98;344,97;0;0;2.506,95
23;TECNICO DOCENTE 1;3.OTROS REGIMENES ESPECIALES;23741;PERSONAL DE APOYO (UNIVERSIDADES);1212;4.848,00;909;344,97;0;0;1.253,97
24;CONTADOR /A GENERAL;1.SERVICIO CIVIL PUBLICO (LOSEP);17;UEP NIVEL DIRECTIVO A2;2000;8.000,00;1.500,03;344,97;0;0;1.845,00
25;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23835;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
26;PROFESOR AGREGADO 2 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;1940;PERSONAL ACADEMICO AGREGADO;3400;13.600,00;2.549,97;344,97;0;0;2.894,94
27;PROFESOR AGREGADO 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;1660;PERSONAL ACADEMICO AGREGADO;3744,7;14.978,80;2.808,54;344,97;0;0;3.153,51
28;FISIOTERAPEUTA;1.SERVICIO CIVIL PUBLICO (LOSEP);2938;UEP NIVEL PROFESIONAL A3;1086;4.344,00;814,5;344,97;0;0;1.159,47
29;PROFESOR TITULAR PRINCIPAL DE ESCALAFON PREVIO;3.OTROS REGIMENES ESPECIALES;30;PERSONAL ACADEMICO PRINCIPAL;3531,54;14.126,16;2.648,70;344,97;0;0;2.993,67
30;PROFESOR AUXILIAR 2 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2120;PERSONAL ACADEMICO AUXILIAR;2344,96;9.379,84;1.758,69;344,97;0;0;2.103,66
31;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23880;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
32;TECNICO DOCENTE 1;3.OTROS REGIMENES ESPECIALES;23760;PERSONAL DE APOYO (UNIVERSIDADES);1212;4.848,00;909;344,97;0;0;1.253,97
33;TRABAJADOR AGRICOLA;2.CODIGO DEL TRABAJO;265;NIVEL 1;557;2.228,00;417,78;344,97;0;0;762,75
34;TECNICO DE INVESTIGACION 1;3.OTROS REGIMENES ESPECIALES;23326;PERSONAL DE APOYO (UNIVERSIDADES);1086;4.344,00;814,5;344,97;0;0;1.159,47
35;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23616;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
36;TECNICO DOCENTE 5;3.OTROS REGIMENES ESPECIALES;2652;PERSONAL DE APOYO (UNIVERSIDADES);1908;7.632,00;1.431,00;344,97;0;0;1.775,97
37;TECNICO DOCENTE 1;3.OTROS REGIMENES ESPECIALES;23752;PERSONAL DE APOYO (UNIVERSIDADES);1212;4.848,00;909;344,97;0;0;1.253,97
38;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23541;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
39;PROFESOR TITULAR PRINCIPAL DE ESCALAFON PREVIO;3.OTROS REGIMENES ESPECIALES;35;PERSONAL ACADEMICO PRINCIPAL;3531,54;14.126,16;2.648,70;344,97;0;0;2.993,67
40;PROFESOR AUXILIAR 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;1380;PERSONAL ACADEMICO AUXILIAR;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
41;PROFESOR TITULAR PRINCIPAL DE ESCALAFON PREVIO;3.OTROS REGIMENES ESPECIALES;45;PERSONAL ACADEMICO PRINCIPAL;4661,12;18.644,48;3.495,87;344,97;0;0;3.840,84
42;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;2125;AUTORIDADES ACADEMICAS NIVEL 1;3800;15.200,00;2.850,03;344,97;0;0;3.195,00
43;PROFESOR TITULAR PRINCIPAL DE ESCALAFON PREVIO;3.OTROS REGIMENES ESPECIALES;55;PERSONAL ACADEMICO PRINCIPAL;4300;17.200,00;3.224,97;344,97;0;0;3.569,94
44;PROFESOR/A OCASIONAL MEDIO TIEMPO;3.OTROS REGIMENES ESPECIALES;22556;PROFESOR UNIVERSITARIO;1057,5;4.230,00;793,17;344,97;0;0;1.138,14
45;TECNICO DE INVESTIGACION 1;3.OTROS REGIMENES ESPECIALES;22761;PERSONAL DE APOYO (UNIVERSIDADES);1086;4.344,00;814,5;344,97;0;0;1.159,47
46;PROFESOR PRINCIPAL 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;70;PERSONAL ACADEMICO PRINCIPAL;4306,13;17.224,52;3.229,56;344,97;0;0;3.574,53
47;CHOFER;2.CODIGO DEL TRABAJO;537;NIVEL 3;596;2.384,00;447,03;344,97;0;0;792
48;PROFESOR TITULAR PRINCIPAL DE ESCALAFON PREVIO;3.OTROS REGIMENES ESPECIALES;80;PERSONAL ACADEMICO PRINCIPAL;3908,07;15.632,28;2.931,03;344,97;0;0;3.276,00
49;GASFITERO;2.CODIGO DEL TRABAJO;198;NIVEL 2;783,71;3.134,84;587,79;344,97;0;0;932,76
50;TECNICO DOCENTE 5;3.OTROS REGIMENES ESPECIALES;2580;PERSONAL DE APOYO (UNIVERSIDADES);1908;7.632,00;1.431,00;344,97;0;0;1.775,97
51;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23477;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
52;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23617;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
53;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23836;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
54;ASISTENTE ADMINISTRATIVO;1.SERVICIO CIVIL PUBLICO (LOSEP);2860;UEP NIVEL ADMINISTRATIVO A5;622;2.488,00;466,47;344,97;0;0;811,44
55;SUBDECANO/A DE FACULTAD;3.OTROS REGIMENES ESPECIALES;2120;AUTORIDADES ACADEMICAS NIVEL 1;2882,6;11.530,40;2.161,98;344,97;0;0;2.506,95
56;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;2165;AUTORIDADES ACADEMICAS NIVEL 1;2882,6;11.530,40;2.161,98;344,97;0;0;2.506,95
57;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23567;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
58;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23837;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
59;ANALISTA DE BIENESTAR ESTUDIANTIL Y POLITECNICO 1;1.SERVICIO CIVIL PUBLICO (LOSEP);2834;UEP NIVEL PROFESIONAL A3;1300;5.200,00;974,97;344,97;0;0;1.319,94
60;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23954;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
61;SUBDECANO/A DE FACULTAD;3.OTROS REGIMENES ESPECIALES;2143;AUTORIDADES ACADEMICAS NIVEL 1;3883,85;15.535,40;2.912,85;344,97;0;0;3.257,82
62;CHOFER;2.CODIGO DEL TRABAJO;539;NIVEL 3;596;2.384,00;447,03;344,97;110,36;0;902,36
63;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23955;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
64;PROFESOR PRINCIPAL 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;110;PERSONAL ACADEMICO PRINCIPAL;4700;18.800,00;3.525,03;344,97;0;0;3.870,00
65;AUXILIAR DE BODEGA;2.CODIGO DEL TRABAJO;327;NIVEL 1;561;2.244,00;420,75;344,97;0;0;765,72
66;TECNICO DOCENTE 1;3.OTROS REGIMENES ESPECIALES;23735;PERSONAL DE APOYO (UNIVERSIDADES);1212;4.848,00;909;344,97;0;0;1.253,97
67;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23568;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
68;ANALISTA DE PRESUPUESTO 1;1.SERVICIO CIVIL PUBLICO (LOSEP);2965;UEP NIVEL PROFESIONAL A3;1300;5.200,00;974,97;344,97;0;0;1.319,94
69;ASISTENTE DE OPERADOR DE EQUIPOS Y/O MAQUINARIA;2.CODIGO DEL TRABAJO;424;NIVEL 1;724,64;2.898,56;543,51;344,97;16,72;0;905,2
70;TECNICO DE INVESTIGACION 1;3.OTROS REGIMENES ESPECIALES;23111;PERSONAL DE APOYO (UNIVERSIDADES);1086;4.344,00;814,5;344,97;0;0;1.159,47
71;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;2138;AUTORIDADES ACADEMICAS NIVEL 1;2882,6;11.530,40;2.161,98;344,97;0;0;2.506,95
72;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;2128;AUTORIDADES ACADEMICAS NIVEL 1;2882,6;11.530,40;2.161,98;344,97;0;0;2.506,95
73;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23618;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
74;SUBDECANO/A DE FACULTAD;3.OTROS REGIMENES ESPECIALES;2145;AUTORIDADES ACADEMICAS NIVEL 1;4818,96;19.275,84;3.614,22;344,97;0;0;3.959,19
75;AUXILIAR DE LABORATORIO;2.CODIGO DEL TRABAJO;205;NIVEL 7;1004,77;4.019,08;753,57;344,97;0;0;1.098,54
76;PROFESOR AGREGADO 2 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;140;PERSONAL ACADEMICO PRINCIPAL;3800;15.200,00;2.850,03;344,97;0;0;3.195,00
77;PROFESOR TITULAR PRINCIPAL DE ESCALAFON PREVIO;3.OTROS REGIMENES ESPECIALES;145;PERSONAL ACADEMICO PRINCIPAL;4472,85;17.891,40;3.354,66;344,97;0;0;3.699,63
78;ANALISTA DE DESARROLLO DE SISTEMAS INFORMATICOS 1;1.SERVICIO CIVIL PUBLICO (LOSEP);2857;UEP NIVEL PROFESIONAL A3;1300;5.200,00;974,97;344,97;0;0;1.319,94
79;ANALISTA DE BIBLIOTECAS Y RECURSOS DEL APRENDIZAJE Y LA INVESTIGACION 1;1.SERVICIO CIVIL PUBLICO (LOSEP);2537;UEP NIVEL PROFESIONAL A3;1300;5.200,00;974,97;344,97;0;0;1.319,94
80;PROFESOR/A OCASIONAL MEDIO TIEMPO;3.OTROS REGIMENES ESPECIALES;23080;PROFESOR UNIVERSITARIO;1057,5;4.230,00;793,17;344,97;0;0;1.138,14
81;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23881;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
82;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;2131;AUTORIDADES ACADEMICAS NIVEL 1;2882,6;11.530,40;2.161,98;344,97;0;0;2.506,95
83;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23478;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
84;PROFESOR AUXILIAR 2 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2085;PERSONAL ACADEMICO AUXILIAR;2344,96;9.379,84;1.758,69;344,97;0;0;2.103,66
85;PROFESOR PRINCIPAL 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;160;PERSONAL ACADEMICO PRINCIPAL;4700;18.800,00;3.525,03;344,97;0;0;3.870,00
86;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23619;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
87;PROFESOR AUXILIAR 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;1025;PERSONAL ACADEMICO AUXILIAR;2344,96;9.379,84;1.758,69;344,97;0;0;2.103,66
88;AUXILIAR DE LABORATORIO;2.CODIGO DEL TRABAJO;209;NIVEL 7;763;3.052,00;572,22;344,97;0;0;917,19
89;PROFESOR AGREGADO 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;1665;PERSONAL ACADEMICO AGREGADO;3400;13.600,00;2.549,97;344,97;0;0;2.894,94
90;TECNICO DOCENTE 1;3.OTROS REGIMENES ESPECIALES;23728;PERSONAL DE APOYO (UNIVERSIDADES);1212;4.848,00;909;344,97;0;0;1.253,97
91;ASISTENTE FINANCIERO;1.SERVICIO CIVIL PUBLICO (LOSEP);2948;UEP NIVEL PROFESIONAL A3;1086;4.344,00;814,5;344,97;0;0;1.159,47
92;CONSERJE;2.CODIGO DEL TRABAJO;433;NIVEL 1;574;2.296,00;430,47;344,97;0;0;775,44
93;ANALISTA GENERAL DE DESPACHO;1.SERVICIO CIVIL PUBLICO (LOSEP);2685;UEP NIVEL PROFESIONAL A3;1086;4.344,00;814,5;344,97;0;0;1.159,47
94;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23671;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
95;CHOFER;2.CODIGO DEL TRABAJO;453;NIVEL 3;1079,51;4.318,04;809,64;344,97;0;0;1.154,61
96;CHOFER;2.CODIGO DEL TRABAJO;314;NIVEL 3;596;2.384,00;447,03;344,97;32,24;0;824,24
97;PROFESOR AUXILIAR 2 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2070;PERSONAL ACADEMICO AUXILIAR;2344,96;9.379,84;1.758,69;344,97;0;0;2.103,66
98;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23838;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
99;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23569;PROFESOR UNIVERSITARIO;1676;6.704,00;1.257,03;344,97;0;0;1.602,00
100;ELECTRICISTA;2.CODIGO DEL TRABAJO;496;NIVEL 2;758,15;3.032,60;568,62;344,97;0;0;913,59
101;PROFESOR TITULAR PRINCIPAL DE ESCALAFON PREVIO;3.OTROS REGIMENES ESPECIALES;170;PERSONAL ACADEMICO PRINCIPAL;4700;18.800,00;3.525,03;344,97;0;0;3.870,00
102;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23570;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
103;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23479;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
104;PROFESOR AUXILIAR 2 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2121;PERSONAL ACADEMICO AUXILIAR;2344,96;9.379,84;1.758,69;344,97;0;0;2.103,66
105;SUBDECANO/A DE FACULTAD;3.OTROS REGIMENES ESPECIALES;2146;AUTORIDADES ACADEMICAS NIVEL 1;3883,85;15.535,40;2.912,85;344,97;0;0;3.257,82
106;ANALISTA DE CONTABILIDAD 1;1.SERVICIO CIVIL PUBLICO (LOSEP);2909;UEP NIVEL PROFESIONAL A3;1300;5.200,00;974,97;344,97;0;0;1.319,94
107;CHOFER;2.CODIGO DEL TRABAJO;478;NIVEL 3;1001,81;4.007,24;751,32;344,97;132,43;0;1.228,72
108;ANALISTA GENERAL DE DESPACHO;1.SERVICIO CIVIL PUBLICO (LOSEP);2693;UEP NIVEL PROFESIONAL A3;1086;4.344,00;814,5;344,97;0;0;1.159,47
109;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23839;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
110;PROFESOR AGREGADO 2 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;1910;PERSONAL ACADEMICO AGREGADO;3744,7;14.978,80;2.808,54;344,97;0;0;3.153,51
111;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23571;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
112;PROFESOR TITULAR PRINCIPAL DE ESCALAFON PREVIO;3.OTROS REGIMENES ESPECIALES;180;PERSONAL ACADEMICO PRINCIPAL;3800;15.200,00;2.850,03;344,97;0;0;3.195,00
113;ANALISTA GENERAL DE DESPACHO;1.SERVICIO CIVIL PUBLICO (LOSEP);2606;UEP NIVEL PROFESIONAL A3;1086;4.344,00;814,5;344,97;0;0;1.159,47
114;PROFESOR PRINCIPAL 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;185;PERSONAL ACADEMICO PRINCIPAL;4661,12;18.644,48;3.495,87;344,97;0;0;3.840,84
115;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23840;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
116;TECNICO DE INVESTIGACION 1;3.OTROS REGIMENES ESPECIALES;23113;PERSONAL DE APOYO (UNIVERSIDADES);1086;4.344,00;814,5;344,97;0;0;1.159,47
117;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23956;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
118;CONSERJE;2.CODIGO DEL TRABAJO;273;NIVEL 1;557;2.228,00;417,78;344,97;12,76;0;775,51
119;PROFESOR/A OCASIONAL MEDIO TIEMPO;3.OTROS REGIMENES ESPECIALES;23081;PROFESOR UNIVERSITARIO;1057,5;4.230,00;793,17;344,97;0;0;1.138,14
120;ODONTOLOGO/A;1.SERVICIO CIVIL PUBLICO (LOSEP);2825;UEP NIVEL PROFESIONAL A3;1500;6.000,00;1.125,00;344,97;0;0;1.469,97
121;ANALISTA DE DESARROLLO DE SISTEMAS INFORMATICOS 1;1.SERVICIO CIVIL PUBLICO (LOSEP);2910;UEP NIVEL PROFESIONAL A3;1300;5.200,00;974,97;344,97;0;0;1.319,94
122;PROFESOR TITULAR PRINCIPAL DE ESCALAFON PREVIO;3.OTROS REGIMENES ESPECIALES;195;PERSONAL ACADEMICO PRINCIPAL;4284,59;17.138,36;3.213,45;344,97;0;0;3.558,42
123;TRABAJADOR AGRICOLA;2.CODIGO DEL TRABAJO;323;NIVEL 1;527;2.108,00;395,28;344,97;0;0;740,25
124;AUXILIAR DE LABORATORIO;2.CODIGO DEL TRABAJO;331;NIVEL 7;763;3.052,00;572,22;344,97;0;0;917,19
125;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23957;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
126;ANALISTA DE PLANIFICACION ESTRATEGICA 3;1.SERVICIO CIVIL PUBLICO (LOSEP);2673;UEP NIVEL PROFESIONAL A3;1820,71;7.282,84;1.365,57;344,97;0;0;1.710,54
127;PSICOLOGO/A CLINICO/A;1.SERVICIO CIVIL PUBLICO (LOSEP);2771;UEP NIVEL PROFESIONAL A3;1300;5.200,00;974,97;344,97;0;0;1.319,94
128;TECNICO DE INVESTIGACION 1;3.OTROS REGIMENES ESPECIALES;23304;PERSONAL DE APOYO (UNIVERSIDADES);1086;4.344,00;814,5;344,97;0;0;1.159,47
129;TECNICO DOCENTE 1;3.OTROS REGIMENES ESPECIALES;23786;PERSONAL DE APOYO (UNIVERSIDADES);1212;4.848,00;909;344,97;0;0;1.253,97
130;PROFESOR PRINCIPAL 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;200;PERSONAL ACADEMICO PRINCIPAL;4700;18.800,00;3.525,03;344,97;0;0;3.870,00
131;PROFESOR/A OCASIONAL MEDIO TIEMPO;3.OTROS REGIMENES ESPECIALES;23128;PROFESOR UNIVERSITARIO;1057,5;4.230,00;793,17;344,97;0;0;1.138,14
132;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23620;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
133;ANALISTA DE VINCULACION 1;1.SERVICIO CIVIL PUBLICO (LOSEP);2962;UEP NIVEL PROFESIONAL A3;1300;5.200,00;974,97;344,97;0;0;1.319,94
134;TRABAJADOR AGRICOLA;2.CODIGO DEL TRABAJO;509;NIVEL 1;561;2.244,00;420,75;344,97;0;0;765,72
135;PROFESOR AGREGADO 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;210;PERSONAL ACADEMICO AGREGADO;3400;13.600,00;2.549,97;344,97;0;0;2.894,94
136;PROFESOR AGREGADO 3 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;1670;PERSONAL ACADEMICO AGREGADO;3800;15.200,00;2.850,03;344,97;0;0;3.195,00
137;ANALISTA DE GESTION TECNICA DE PROYECTOS 1;1.SERVICIO CIVIL PUBLICO (LOSEP);2900;UEP NIVEL PROFESIONAL A3;1300;5.200,00;974,97;344,97;0;0;1.319,94
138;ASISTENTE ADMINISTRATIVO;1.SERVICIO CIVIL PUBLICO (LOSEP);2899;UEP NIVEL ADMINISTRATIVO A5;622;2.488,00;466,47;344,97;0;0;811,44
139;TECNICO DOCENTE 5;3.OTROS REGIMENES ESPECIALES;2647;PERSONAL DE APOYO (UNIVERSIDADES);1908;7.632,00;1.431,00;344,97;0;0;1.775,97
140;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23672;PROFESOR UNIVERSITARIO;2882,6;11.530,40;2.161,98;344,97;0;0;2.506,95
141;ANALISTA DE TALENTO HUMANO 2;1.SERVICIO CIVIL PUBLICO (LOSEP);2722;UEP NIVEL PROFESIONAL A3;1500;6.000,00;1.125,00;344,97;0;0;1.469,97
142;MEDICO OCUPACIONAL;1.SERVICIO CIVIL PUBLICO (LOSEP);2928;UEP NIVEL PROFESIONAL A3;1760;7.040,00;1.320,03;344,97;0;0;1.665,00
143;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23553;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
144;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23673;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
145;PROFESOR AUXILIAR 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;715;PERSONAL ACADEMICO AUXILIAR;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
