Institucion;Escuela Politecnica Nacional
Descripcion;Mecanismos de rendicion de cuentas
Nombre del campo;Descripcion del campo
Nombre del mecanismo;Nombre o identificador del mecanismo de rendicion de cuentas
Numero de certificado;Numero de certificado asociado al mecanismo de rendicion de cuentas. No aplica debido a que la Defensoria del Pueblo de Ecuador no expediò un certificado luego del registro del informe anual 2025
Periodo;Periodo de presentacion del mecanismo de rendicion de cuentas
Enlace;Enlace para acceder a informacion detallada sobre el mecanismo de rendicion de cuentas. No aplica, no se tiene ninguna clase de contratos con medios de comunicaciòn
