Denominaci¢n de la organizaci¢n sindical;Fecha de suscripci¢n del contrato;Enlace para descargar el contrato colectivo original;Fecha de la £ltima reforma o revisi¢n;Enlace para descargar todas las reformas completas del contrato colectivo
Comit‚ Central Unico de Trabajadores;7 de julio de 2022;CONTRATO COLECTIVO.pdf;7 de julio de 2022;CONTRATO COLECTIVO.pdf
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
