Institución;Escuela Superior Politécnica de Chimborazo
Descripción;Procesos de Contratación Pública
Nombre del campo;Descripción del campo
Fecha de publicación;Fecha en la que se publicó el proceso de contratación
Código del proceso;Código de identificación asignado al proceso de contratación
Tipo de proceso;Tipo de proceso de contratación, como licitación, concurso, subasta, entre otros
Objeto del proceso;Descripción del objeto o bien que se está buscando contratar
Presupuesto referencial - USD;
Partida presupuestaria;
Monto de la adjudicación (USD);Monto total adjudicado para el proceso de contratación en dólares estadounidenses
Etapa de la contratación;Etapa actual en la que se encuentra el proceso de contratación
Identificación del contratista;
Link para descargar el proceso de contratación desde el portal de comprass públicas;Enlace que permite descargar los detalles completos del proceso de contratación desde el portal de compras pública
