FECHA DE PUBLICACIÓN;CÓDIGO DEL PROCESO;TIPO DE PROCESO;OBJETO DEL PROCESO;PRESUPUESTO REFERENCIAL - USD;PARTIDA PRESUPUESTARIA;MONTO DE LA ADJUDICACIÓN (USD);ETAPA DE LA CONTRATACIÓN;IDENTIFICACIÓN DEL CONTRATISTA;LINK PARA DESCARGAR EL PROCESO DE CONTRATACIÓN DESDE EL PORTAL DE COMPRAS PÚBLICAS
30/4/2024;SIE-ESPOCH-2024-18;Subasta Inversa Electrónica;ADQUISICIÓN DE MEDICAMENTOS PARA EL CENTRO DE ATENCIÓN EN SALUD INTEGRAL – CASI;;;16.600,87;Finalizada;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=UOdQtuMxmTacQJfZpRpHyc_7mBvE5Tr3XHJfp8IciC4,
6/5/2024;SIE-ESPOCH-2024-11;Subasta Inversa Electrónica;ADQUISICIÓN DE MEDICINAS, INSUMOS, MATERIALES Y EQUIPOS VETERINARIOS Y AGRICOLAS, PARA LA MATRIZ Y SEDES DE LA ESPOCH;;;38.231,24;Desierta;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=isMO0LwhL75LxTiUgyOF9uhFfOA1e5L2yqixnZ0DSNk,
6/5/2024;SIE-ESPOCH-2024-20;Subasta Inversa Electrónica;ADQUISICIÓN DE EQUIPOS Y HERRAMIENTAS DE USO MEDICO PARA VARIOS PROYECTOS DE VINCULACION Y DEPENDENCIAS DE LA ESCUELA SUPERIOR POLITECNICA DE CHIMBORAZO;;;34.329,20;Ejecución de Contrato;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=5T867O5Smzduap03zFyf8c4oZbU0xoormNoGOokU9wg,
7/5/2024;SIE-ESPOCH-2024-19;Subasta Inversa Electrónica;ADQUISICIÓN DE EQUIPOS DE LABORATORIO PARA VARIOS PROYECTOS DE VINCULACIÓN Y DEPENDENCIAS DE LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO;;;60.720,53;Desierta;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=tYSp65otxUz4IBYVHucX-C46aoVTGN8glVx0PzDZxyU,
8/5/2024;SIE-ESPOCH-2024-17;Subasta Inversa Electrónica;ADQUISICIÓN DE EQUIPOS DE AUDIO, VIDEO E IMAGEN PARA VARIAS DEPENDENCIAS DE LA MATRIZ Y SEDES DE LA ESPOCH.;;;59.974,33;Ejecución de Contrato;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=IdeHoKN7TgrP86jd7xPhgXUxa7yAVTX2RmKFx9kgmvE,
16/5/2024;SIE-ESPOCH-2024-07;Subasta Inversa Electrónica;ADQUISICIÓN DE EQUIPOS PARA EL FORTALECIMIENTO DEL LABORATORIO DE PROCESAMIENTO DE ALIMENTOS Y PROYECTO DE VINCULACIÓN DE LA FACULTAD DE CIENCIAS PECUARIAS ESPOCH;;;16.183,00;Ejecución de Contrato;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=DcPFiUZSVfm9JmlR-Mk8gIhIOeE8VyJVxjF0aQpb6vE,
16/5/2024;SIE-ESPOCH-2024-21;Subasta Inversa Electrónica;CONTRATACIÓN DEL SERVICIO DE ACTUALIZACIÓN DE SOFTWARE Y MANTENIMIENTO CORRECTIVO DEL SISTEMA DE ACCESOS BIOMÉTRICOS;;;15.090,49;Ejecución de Contrato;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=by4R7SFNJ5cG1EEMFhuhxH5EUtVAJxUbjno7HLA45t0,
20/5/2024;SIE-ESPOCH-2024-23;Subasta Inversa Electrónica;CONTRATACIÓN DEL SERVICIO DE LICENCIAMIENTO DE VIRTUALIZACIÓN Y ADQUISICIÓN DE EQUIPOS PARA EL CENTRO DE DATOS DE LA INSTITUCIÓN;;;202.562,74;Ejecución de Contrato;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=ed2shW19dH5bJlfDIIKBFD0r6KsXy9DvMwPPh7fnff8,
27/5/2024;SIE-ESPOCH-2024-22;Subasta Inversa Electrónica;ADQUISICIÓN DE EQUIPOS CONSOLIDADOS PARA FACULTADES Y SEDES DE LA ESCUELA SUPERIOR POLITECNICA DE CHIMBORAZO.;;;12.377.,83;Desierta;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=a2ZxpkSZH6P1olTq0V9B8p9OvV96d0eaG79WQSqU_x8,
27/5/2024;SIE-ESPOCH-2024-24;Subasta Inversa Electrónica;CONTRATACIÓN DEL SERVICIO DE TALA Y PROCESAMIENTO DE LOS ÁRBOLES DE EUCALIPTO Y PINO CON RIESGO MUY ALTO DE CAÍDA EN LA ESTACIÓN EXPERIMENTAL TUNSHI, PARA EL APROVECHAMIENTO FORESTAL DE LOS BIENES BIOLÓGICOS INSTITUCIONALES;;;9.998,22;Ejecución de Contrato;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=8SLi3LV7ag420O6S2Uw97h0brTHroIBzcY-eX42u6FI,
3/6/2024;SIE-ESPOCH-2024-25;Subasta Inversa Electrónica;ADQUISICIÓN DE ANALIZADOR XRF PARA MINERIA PARA EL PROYECTO DE INVESTIGACIÓN: “EVALUACIÓN DE PROCESOS DE BENEFICIO MINERAL PARA LA APLICACIÓN DE MÉTODOS ALTERNATIVOS EN LA RECUPERACIÓN DE ORO EN LA PEQUEÑA MINERÍA EN EL ECUADOR (PBMINE)” DDI- ESPOCH;;;77.990,00;Ejecución de Contrato;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=nq3HrzTpA658hDr8KBOkZNItB2Xbj7QGfduw2rLATQU,
3/6/2024;SIE-ESPOCH-2024-27;Subasta Inversa Electrónica;ADQUISICIÓN DE EQUIPO MEDIDOR DE CAUDAL PARA EL PROYECTO DE INVESTIGACIÓN: “ESTUDIO DE LOS PROCESOS ECOHIDROLÓGICOS EN UN ECOSISTEMA DE PÁRAMO ALTOANDINO, DECLARADO ZONA DE PROTECCIÓN HÍDRICA. CASO DE ESTUDIO: QUINLLUNGA, SAN SIMÓN, PROVINCIA DE BOLÍVAR” DDI - ESPOCH;;;11.715,00;Ejecución de Contrato;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=q5ZlpPa220aC8EPTdL2ZdihDZ8gCMNdo51KdrVEk9U8,
3/6/2024;SIE-ESPOCH-2024-28;Subasta Inversa Electrónica;ADQUISICIÓN DE MOTORES PARA CONSTRUCCIÓN DE PRÓTESIS PARA EL PROYECTO DE INVESTIGACIÓN: “DESARROLLO PRODUCTIVO DE PRÓTESIS HÍBRIDAS PARA EXTREMIDADES INFERIORES Y SUPERIORES “ DDI – ESPOCH;;;8.671,11;Ejecución de Contrato;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=Oyguw5On8WMTQxdcSkURX9kD-B8T9TVvQTKKAGZbB_M,
3/6/2024;SIE-ESPOCH-2024-29;Subasta Inversa Electrónica;ADQUISICIÓN DE INSUMOS PARA ANÁLISIS ESPECIALIZADOS DE MACRO Y MICROELEMENTOS PARA EL PROYECTO DE INVESTIGACIÓN: “ESTABILIDAD DEL CARBONO ORGÁNICO FRENTE AL CAMBIO CLIMÁTICO PARA LA GESTIÓN DE LOS RECURSOS CON ENFOQUE DE GÉNERO EN LA ZONA ALTOANDINA DE LA SIERRA CENTRO DEL ECUADOR” DDI – ESPOCH;;;16.537,00;Ejecución de Contrato;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=nM4APCNp1X5xH6Eqm6_mx7ZJIxify0fojdtbZ-a_pfA,
4/6/2024;SIE-ESPOCH-2024-26;Subasta Inversa Electrónica;Adquisición de equipos e insumos para la obtención de papel kraft para el Proyecto de Investigación: “Revalorización de la cascarilla de cacao amazónico mediante la tecnificación de procesos de obtención de papel Kraft para una producción limpia de economía circular sistematizada” DDI – ESPOCH;;;21.109,60;Desierta;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=lIbQL5OuTLX40EvpmXn5BnuYdRBOiLdcWwPW-QZuLjA,
4/6/2024;SIE-ESPOCH-2024-30;Subasta Inversa Electrónica;Adquisición de equipos de tecnología para uso forestal para el Proyecto de Investigación “Estimación de las variables dasométricas mediante tecnología lídar aéreo y escáner láser terrestre en plantaciones forestales pertenecientes a las parroquias San Juan, Palmira y Sicalpa, provincia de Chimborazo” DDI – ESPOCH.;;;32.221,00;Adjudicado - Registro de Contratos;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=IB5NWOElKh2QgSssbuYVEtsckXqePPgq1TkhqrlyjpY,
4/6/2024;SIE-ESPOCH-2024-33;Subasta Inversa Electrónica;ADQUISICIÓN DE EQUIPO DE MEDICIÓN DE ENERGÍA PARA VEHÍCULO ELÉCTRICO PARA EL PROYECTO DE INVESTIGACIÓN: “DISEÑO DE UNA INFRAESTRUCTURA DE CARGA PARA VEHÍCULOS ELÉCTRICOS MEDIANTE MODELACIÓN Y EQUIPAMIENTO A BORDO EN CICLOS DE CONDUCCIÓN URBANAS E INTERURBANAS CARACTERÍSTICOS EN CIUDADES DEL ECUADOR” DDI - ESPOCH;;;60.000,00;Ejecución de Contrato;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=21ep4wkdAcwu7JF7_b6fjDPoVgvpPw2TWsO0iAIIuWc,
4/6/2024;SIE-ESPOCH-2024-35;Subasta Inversa Electrónica;ADQUISICIÓN DE EQUIPOS DE LABORATORIO PARA ECOFISIOLOGÍA VEGETAL PARA EL PROYECTO DE INVESTIGACIÓN: “CARACTERIZACIÓN Y DIVERSIDAD GENÉTICA DE LA GRANADILLA (PASSIFLORA LIGULARIS) PARA EL FORTALECIMIENTO DE LA PRODUCCIÓN Y COMERCIALIZACIÓN, EN PRODUCTORES CAMPESINOS DIVERSAS LOCALIDADES ANDINAS DEL ECUADOR” DDI – ESPOCH;;;14.270,00;Ejecución de Contrato;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=lROddzZFzFI8rlBugGLcBK-vwB4jy5fLnooM_tGUAVU,
5/6/2024;SIE-ESPOCH-2024-34;Subasta Inversa Electrónica;ADQUISICIÓN DE COMPONENTES PARA CONSTRUCCIÓN DEL TREN DE POTENCIA Y ANÁLISIS DEL DESEMPEÑO PARA EL PROYECTO DE INVESTIGACIÓN: “DESARROLLO ESTRUCTURAL Y DEL TREN DE POTENCIA DE UN PROTOTIPO DE UN VEHÍCULO ELÉCTRICO BAJO LA NORMATIVA INTERNACIONAL MOTO STUDENT Y CREACIÓN DEL MODELO DE NEGOCIO Y CONSTRUCCIÓN EN SERIE, QUE LOGRE DIVERSIFICAR EL MANEJO ENERGÉTICO DANDO ALTERNATIVAS DE MOVILIDAD INTELIG;;;69.400,00;Ejecución de Contrato;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=ZB1k172BGZO-ebdUvAIVHgHwh11pfT0xHXGI4A-_lGo,
6/6/2024;SIE-ESPOCH-2024-32;Subasta Inversa Electrónica;Adquisición de equipos para análisis físico de la fibra y pigmentos naturales para el proyecto “Evaluación productiva y ambiental para la cadena de valor de la fibra de la alpaca en la provincia de Chimborazo, Ecuador y el departamento de Cusco, Perú” DDI – ESPOCH;;;14.500,00;Adjudicado - Registro de Contratos;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=X-K9KcGf2mm8tT-eJbxz95iGEAIADG4W4nHwVebgY9s,
6/6/2024;SIE-ESPOCH-2024-36;Subasta Inversa Electrónica;Contratación de Servicios Especializados en Caracterización Molecular para el Proyecto de Investigación: “Caracterización molecular de microorganismos asociados a la rizosfera de cultivos de importancia económica, como indicadores de la salud del suelo y productividad” DDI – ESPOCH.;;;12.700,54;Ejecución de Contrato;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=syM8rr4fSuZhx8zMCVIVs3UZHEYy6TxjSHWc1QReoWU,
10/6/2024;SIE-ESPOCH-2024-31;Subasta Inversa Electrónica;Adquisición de equipos de laboratorio para el proyecto de Investigación: “Descontaminación del río Pachanlica de la Provincia de Tungurahua mediante técnicas integrales de restauración desde la planificación, al seguimiento y control” DDI – ESPOCH;;;22.748,00;Ejecución de Contrato;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=ToviPO4TO7Lu0dtwX7zONWp0zvVWQIRJPXIrCwWaV3w,
17/6/2024;SIE-ESPOCH-2024-37;Subasta Inversa Electrónica;Contratación del servicio para calibración de sensores para el Proyecto de Investigación: “Caracterización de las condiciones físicas y meteorológicas para la implementación de dispositivos de generación de energías eólicas y solar en la Provincia de Chimborazo” DDI - ESPOCH;;;10.237,15;Ejecución de Contrato;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=2sHIJh_VL7snUCjW5W6HK9lJQU7OWJWez52exu-sJZ0,
17/6/2024;SIE-ESPOCH-2024-38;Subasta Inversa Electrónica;Adquisición de Túnel de viento para el Proyecto de Investigación: “Caracterización de las Condiciones Físicas y Meteorológicas para la Implementación de dispositivos de Generación de Energías Eólicas y Solar en la Provincia de Chimborazo” DDI – ESPOCH.;;;12.112,17;Adjudicado - Registro de Contratos;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=Xb50qSlhC7AqxOPXiDSGGRQouf4PZERtxtXffRyOT3M,
17/6/2024;SIE-ESPOCH-2024-39;Subasta Inversa Electrónica;Adquisición de equipos meteorológicos para el Proyecto de Investigación: “Caracterización de las Condiciones Físicas y Meteorológicas para la Implementación de dispositivos de Generación de Energías Eólicas y Solar en la Provincia de Chimborazo” DDI - ESPOCH;;;14.224,25;Ejecución de Contrato;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=L9uoFiiE2HnFuC_eV2YSiYrFmgUc1gnq3jB1zLY2u2g,
18/6/2024;SIE-ESPOCH-2024-40;Subasta Inversa Electrónica;Adquisición de Sistema de Procesamiento de Datos y Sensores para el Proyecto de Investigación: “Proponer una estrategia integral para implementar un centro de procesamiento de oro para el distrito minero de Zaruma -Portovelo, con visión extractiva, productiva y amigable con el medio” DDI – ESPOCH.;;;9.475,56;Ejecución de Contrato;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=clI6RtbQL-Bkylxa2-7BVpeGOYy2QftX804vt0MDCCg,
18/6/2024;SIE-ESPOCH-2024-42;Subasta Inversa Electrónica;CONTRATACIÓN DE SERVICIO DE LABORATORIO PARA ANÁLISIS DE FLORA PARA EL PROYECTO DE INVESTIGACIÓN: “DETERMINAR EL USO EFICIENTE DE ESPECIES VEGETALES ALTOANDINAS BIOPURIFICADORAS PARA LA CONSERVACIÓN DEL RECURSO HÍDRICO EN LA MICROCUENCA DEL RÍO CEBADAS, PROVINCIA DE CHIMBORAZO” DDI - ESPOCH;;;9.715,92;Ejecución de Contrato;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=t9qIYADFl9mmwanpmVjBwssJ0kuACKSNzA5lHSIpJTM,
18/6/2024;SIE-ESPOCH-2024-44;Subasta Inversa Electrónica;ADQUISICIÓN DE MATERIALES Y EQUIPOS DE LABORATORIO PARA AISLAMIENTO DE HONGOS COMESTIBLES PARA EL PROYECTO DE INVESTIGACIÓN: “UN MODELO DE ECOLOGÍA INDUSTRIAL EN LA ESTACIÓN EXPERIMENTAL TUNSHI PARA LA VALORIZACIÓN DE RESIDUOS AGRÍCOLAS EN LA PRODUCCIÓN DE HONGOS COMESTIBLES” DDI - ESPOCH;;;9.510,00;Ejecución de Contrato;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=H-YB1C8mS80mhTZM3XOh8j-lYVv9-96v9JWbgFZzm2o,
19/6/2024;SIE-ESPOCH-2024-43;Subasta Inversa Electrónica;ADQUISICIÓN DE EQUIPO PARA ANÁLISIS DE SUSTANCIAS, ESTUDIOS CINÉTICOS DE ENZIMAS Y CONCENTRACIÓN DE ADN PARA EL PROYECTO DE INVESTIGACIÓN: “EVALUACIÓN DE LA ACTIVIDAD ANTIINFLAMATORIA DE LAS HOJAS Y EL FRUTO DEL MORTIÑO (VACCINIUM FLORIBUNDUM KUNTH) IN VITRO EN CÉLULAS ENDOTELIALES PRIMARIAS DE AORTA PORCINA (PAECS) E IN VIVO EN RATONES (MUS MUSCULUS) CEPA BALB/C” DDI - ESPOCH” DDI - ESPOCH;;;10.802,46;Ejecución de Contrato;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=2UgxFtXe244ICl8mpJTJSqp_TLIjyx8SXQ-KobZC8zQ,
20/6/2024;LICSG-ESPOCH-2024-1;Licitación de Seguros;Contratación del Seguro de Vida y Accidentes Personales de la ESPOCH: Contratación de Póliza de Seguros de Vida y Accidentes Personales para los estudiantes de la Escuela Superior Politécnica de Chimborazo;;;194.489,00;Desierta;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=ovL1Yq3dklBquU658x4VhX_omMpNBnzRkQH5KEOW8Zc,
