FECHA DE PUBLICACIÓN;CÓDIGO DEL PROCESO;TIPO DE PROCESO;OBJETO DEL PROCESO;PRESUPUESTO REFERENCIAL - USD;PARTIDA PRESUPUESTARIA;MONTO DE LA ADJUDICACIÓN (USD);ETAPA DE LA CONTRATACIÓN;IDENTIFICACIÓN DEL CONTRATISTA;LINK PARA DESCARGAR EL PROCESO DE CONTRATACIÓN DESDE EL PORTAL DE COMPRAS PÚBLICAS
21/6/2024;SIE-ESPOCH-2024-45;Subasta Inversa Electrónica;CONTRATACIÓN DE SERVICIO DE ANÁLISIS DE FECHADOS RADIOCARBÓNICOS DE MICRORRESTOS VEGETALES PARA EL PROYECTO DE INVESTIGACIÓN: “ORIGEN DE LA AGRICULTURA PREHISPÁNICA DEL MAÍZ (ZEA MAYS) Y SU IMPACTO PALEOECOLÓGICO EN LA MICROCUENCA DEL CHANCHÁN, ESTRIBACIONES OCCIDENTALES DE LOS ANDES ECUATORIANOS” DDI - ESPOCH;;;1.000.000,00;Ejecución de Contrato;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=AJuJDMFA2apq-s7a8cN7ysih6BYGpRhd3m8alar6x2o,
24/6/2024;SIE-ESPOCH-2024-46;Subasta Inversa Electrónica;CONTRATACIÓN DE SERVICIO DE ANÁLISIS DE FECHADOS RADIOCARBÓNICOS DE MACRORRESTOS VEGETALES PARA EL PROYECTO DE INVESTIGACIÓN: “ORIGEN DE LA AGRICULTURA PREHISPÁNICA DEL MAÍZ (ZEA MAYS) Y SU IMPACTO PALEOECOLÓGICO EN LA MICROCUENCA DEL CHANCHÁN, ESTRIBACIONES OCCIDENTALES DE LOS ANDES ECUATORIANOS” DDI - ESPOCH;;;10.385,10;Ejecución de Contrato;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=kKUrxIVEw7AUnWVGd94QK6Mp_EdYKMoKlUtSnrju9T4,
24/6/2024;SIE-ESPOCH-2024-48;Subasta Inversa Electrónica;Contratación del servicio de análisis de laboratorio de pesticidas para el Proyecto de Investigación: “Descontaminación del río Pachanlica de la Provincia de Tungurahua mediante técnicas integrales de restauración desde la planificación, al seguimiento y control” DDI – ESPOCH.;;;6.912,00;Ejecución de Contrato;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=xRWJHoTj8b5drfmrmFxGUl2O8wNYG16PwS_Yc-UY-zU,
24/6/2024;SIE-ESPOCH-2024-51;Subasta Inversa Electrónica;Adquisición de equipos y reactivos para análisis de bioactivos en frutas amazónicas para el proyecto de Investigación: “Valoración de frutales amazónicos ecuatorianos infrautilizados a través de la caracterización de uso y componentes bioactivos” DDI – ESPOCH;;;14.204,00;Adjudicado - Registro de Contratos;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=8my3_qWhdIcdj5RdMuZjhfzElqdLeH0s6vJMn3iHzAY,
24/6/2024;SIE-ESPOCH-2024-57;Subasta Inversa Electrónica;Adquisición de equipos, partes y piezas electrónicas para la construcción de prototipos Robóticos para el Proyecto de Investigación: “Robots Subacuáticos” DDI - ESPOCH.;;;47.975,12;Ejecución de Contrato;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=D8vc6Zxn4lJsEYlkKDwSLWmX58sdaTRFleK0ALBh8kk,
25/6/2024;SIE-ESPOCH-2024-47;Subasta Inversa Electrónica;ADQUISICIÓN DE BALANCEADOS PECUARIOS PARA EL PROYECTO: “DESARROLLO DE PROGRAMAS DE CONSERVACIÓN “IN SITU“ DE BIOTIPOS DE GALLINAS Y CERDOS CRIOLLOS DE LA PROVINCIA DE CHIMBORAZO BASADOS EN EL ESTABLECIMIENTO DE NÚCLEOS GENÉTICOS” DDI – ESPOCH;;;7.671,25;Desierta;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=42ZBuGWlL1nj7X45g4Nqp5Hh2OIftuaU4VArotg1GvM,
25/6/2024;SIE-ESPOCH-2024-52;Subasta Inversa Electrónica;Adquisición de equipos especializados en detección, medida, limpieza, e inspección de la corrosión para el proyecto de investigación: “Tratamiento integral de la corrosión para disminuir la velocidad de degradación de componentes metálicos bajo condiciones forzadas y monitoreo inteligente” DDI- ESPOCH;;;13.682,27;Adjudicado - Registro de Contratos;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=eTWB8ud6s-xY2zTuaSG2USL5JLtAbd5xG0H33TRnAfc,
25/6/2024;SIE-ESPOCH-2024-55;Subasta Inversa Electrónica;ADQUISICIÓN DE EQUIPO PORTÁTIL INTEGRADO DE MEDICIÓN DE EMISIONES PARA EL PROYECTO DE INVESTIGACIÓN: “CONTRIBUCIÓN A LA INVESTIGACIÓN DE LOS FACTORES DE EMISIONES CONTAMINANTES EN CIUDADES DE GRAN ALTITUD MEDIANTE PRUEBAS DE EMISIONES EN CONDUCCIÓN REAL EN VEHÍCULOS LIVIANOS” DDI - ESPOCH;;;240.000,00;Ejecución de Contrato;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=LnUHSfrQxwfnTVL69HbGBdcIbly0mw0zYTieGn8Kv9k,
25/6/2024;SIE-ESPOCH-2024-56;Subasta Inversa Electrónica;ADQUISICIÓN DE EQUIPO ANALIZADOR DE ESPECTRO PORTÁTIL PARA EL PROYECTO DE INVESTIGACIÓN: “ESTUDIO DE BANDAS DE FRECUENCIA ADECUADAS PARA EL DESPLIEGUE DE REDES 5G EN ECUADOR EN FR1 (5GFR1EC)” DDI - ESPOCH;;;113.000,00;Ejecución de Contrato;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=R5tmQY7B8tQREtFe1nEiJKdUnBdB9RFY8zCO_WzLRSU,
25/6/2024;SIE-ESPOCH-2024-58;Subasta Inversa Electrónica;Adquisición del sistema automatizado de control de acceso vehicular que incluye instalación, configuración y puesta en marcha para la Escuela Superior Politécnica de Chimborazo;;;149.641,60;Ejecución de Contrato;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=xnURmC50Muvkb_cQXuU9_iHjv3Jerh6NObFMZA8HxnE,
26/6/2024;COTO-ESPOCH-2024-01;Cotización;Construcción de aulas y residencia de la Facultad de Ciencias Pecuarias en la Estación Experimental Tunshi;;;470.000,00;Adjudicado - Registro de Contratos;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=-7FvYXYXcWdYmPdfW5m9P2A8z27bDsXw-2XI_C4Hi_w,
26/6/2024;SIE-ESPOCH-2024-50;Subasta Inversa Electrónica;Adquisición de equipos, materiales e insumos para el análisis clínico de laboratorio de enfermedades de alpacas para el proyecto de investigación “Evaluación productiva y ambiental para la cadena de valor de la fibra de la alpaca en la provincia de Chimborazo, Ecuador y el departamento de Cusco, Perú” DDI – ESPOCH.;;;14.080,00;Adjudicado - Registro de Contratos;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=TQY_-iHXuGhxEjgYLUmZ85cnTNQjII2GOUCuAYT3Dj8,
27/6/2024;MCO-ESPOCH-2024-01;Menor Cuantía;ADECUACION EN EL EDIFICIO DE LA CARRERA DE DISEÑO GRAFICO DE LA FACULTAD DE INFORMATICA Y ELECTRONICA.;;;48.000,00;Adjudicado - Registro de Contratos;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=emgW9GtkhArtbJiFFP6NszyjoC1wJ-3XUc7Yg_MARJA,
27/6/2024;SIE-ESPOCH-2024-53;Subasta Inversa Electrónica;Adquisición de equipo de investigación para el proyecto de Investigación: “Descontaminación del río Pachanlica de la Provincia de Tungurahua mediante técnicas integrales de restauración desde la planificación, al seguimiento y control” DDI – ESPOCH.;;;12.000,00;Ejecución de Contrato;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=DKROubDgArE6YDyxQqsd5Ba2t0T4Z9QirsYBzq4R6fM,
1/7/2024;MCO-ESPOCH-2024-02;Menor Cuantía;VARIOS TRABAJOS EN LA SECRETARIA ACADÉMICA DE GRADO, IDI, DIRECCIÓN DE PUBLICACIONES, ESPOCH, CAMPUS RIOBAMBA;;;29.400.,00;Adjudicado - Registro de Contratos;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=pTYH83W7ttriweG2RP4VDwIzdNmAp64hQ9qWBesKUQc,
1/7/2024;SIE-ESPOCH-2024-60;Subasta Inversa Electrónica;Adquisición de suministros y materiales de oficina para mantener el stock de la bodega central y para los diferentes proyectos de vinculación;;;9.750,50;Ejecución de Contrato;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=LZixhfJ6fv0FwUcp3oVHKFCi69uZysaGsBWU32MmW7Y,
2/7/2024;MCO-ESPOCH-2024-03;Menor Cuantía;MANTENIMIENTO DEL POZO NO. 2.;;;46.000,00;Desierta;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=UGawYEMp_p4c8ZYdxshxeX-9-tl4FDCYIziQahx623s,
2/7/2024;SIE-ESPOCH-2024-61;Subasta Inversa Electrónica;ADQUISICIÓN DE EQUIPO ESPECIALIZADO PARA MEDICIÓN DE CAMPOS ELECTROMAGNÉTICOS PARA EL PROYECTO DE INVESTIGACIÓN: “EVALUACIÓN DE LA EXPOSICIÓN POBLACIONAL DE LOS CAMPOS ELECTROMAGNÉTICOS DE RADIO, TELEVISIÓN Y CELULARES, PARA DESARROLLAR UNA HERRAMIENTA COMPUTACIONAL DE MAPEO ELECTROMAGNÉTICO EN LA ESPOCH” DDI – ESPOCH;;;48.500,00;Ejecución de Contrato;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=eIUDqmpdcnlpBkCtcGym9fXMvO03aNsvpdPblNvuj90,
2/7/2024;SIE-ESPOCH-2024-59;Subasta Inversa Electrónica;Contratación de Servicios Especializados en Análisis Moleculares para el Proyecto de Investigación: “Microbiomas asociados a las principales formaciones vegetales interandinas de los Andes Ecuatorianos en respuesta al cambio climático” DDI – ESPOCH.;;;13.048,50;Ejecución de Contrato;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=QUcSMggFlG43Wf5THHUSpoS2QlZiNYiQzGx3v3n9p5M,
2/7/2024;SIE-ESPOCH-2024-62;Subasta Inversa Electrónica;Adquisición de pantallas digitales interactivas para varias unidades académicas y administrativas de la ESPOCH.;;;283.400,00;Ejecución de Contrato;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=j6zMZ2uFVTh9UKMOGEoOxPC4eQG7jElcBUYwHwGhuhA,
3/7/2024;SIE-ESPOCH-2024-41;Subasta Inversa Electrónica;CONTRATACIÓN DE SERVICIOS EDITORIALES PARA LA ELABORACIÓN Y PUBLICACIÓN DE LIBROS CIENTÍFICOS DIGITALES DE LA ESPOCH;;;40.000,00;Adjudicado - Registro de Contratos;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=lhx1P8sOjWvKZGssR3iUKnZCNiwLw_aes12sNa-hALo,
3/7/2024;SIE-ESPOCH-2024-54;Subasta Inversa Electrónica;Adquisición de materiales y equipos de laboratorio para el proyecto de investigación: “Proponer una estrategia integral para implementar un centro de procesamiento de oro para el distrito minero de Zaruma –Portovelo, con visión extractiva, productiva y amigable con el medio” DDI - ESPOCH;;;7.387,25;Ejecución de Contrato;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=RSzcSpXA1FX0xcaJ-WIezKbYoJESxDm2cVJKdFnNMWI,
3/7/2024;SIE-ESPOCH-2024-63;Subasta Inversa Electrónica;ADQUISICIÓN DE MATERIALES PARA LA ADECUACIÓN DE INVERNADEROS PARA EL PROYECTO DE INVESTIGACIÓN: “UN MODELO DE ECOLOGÍA INDUSTRIAL EN LA ESTACIÓN EXPERIMENTAL TUNSHI PARA LA VALORIZACIÓN DE RESIDUOS AGRÍCOLAS EN LA PRODUCCIÓN DE HONGOS COMESTIBLES” DDI - ESPOCH;;;21.244,04;Ejecución de Contrato;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=N57IQFicYw4HoTmwq3LoIVlrXhErazFoq8GH_voDWiE,
4/7/2024;SIE-ESPOCH-2024-64;Subasta Inversa Electrónica;Adquisición de accesorios, partes y repuestos informáticos y electrónicos para varias unidades académicas y administrativas de la ESPOCH;;;21.323,50;Desierta;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=DEe26c0x5SLFiK9MHqgLcPnsz5CWHVDTmieDPcdwFG4,
11/7/2024;SIE-ESPOCH-2024-66;Subasta Inversa Electrónica;Adquisición de materiales impresos para la difusión de actividades académicas, vinculación y gestión de la ESPOCH;;;17.702,78;Ejecución de Contrato;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=orTHAqiASr6xGdeOUk_eBgkvMGNEjYDnDLAETLq1Xeg,
15/7/2024;VPN-ESPOCH-2024-1;Producción Nacional;ADQUISICIÓN DE VEHÍCULOS PARA EL TRANSPORTE COLECTIVO DE PASAJEROS 11 PASAJEROS PARA LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO;;;0;Finalizada;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=aoi9bCphqUsZ-mVKiEE5hSSxTKM4aq32b87DEyqQq8E,
16/7/2024;SIE-ESPOCH-2024-49;Subasta Inversa Electrónica;ADQUISICIÓN DE EQUIPOS DE AMPLIFICACIÓN PARA EL CENTRO DE ARTE, CULTURA E INTERCULTURALIDAD DE LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO;;;18.182,54;Ejecución de Contrato;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=G6Q38PNrOLuV0wZ6JnkY-rwr6bXbFyUoTs-FFzZdIUg,
26/7/2024;SIE-ESPOCH-2024-68;Subasta Inversa Electrónica;ADQUISICIÓN DE MEDICINAS, INSUMOS, MATERIALES Y EQUIPOS VETERINARIOS Y AGRICOLAS, PARA LA MATRIZ Y SEDES DE LA ESPOCH.;;;38.231,24;Ejecución de Contrato;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=qDF7JY7FXYwd3EFeKiiFmpBRZXVxREe1--HCU8Pg7o4,
26/7/2024;SIE-ESPOCH-2024-69;Subasta Inversa Electrónica;CONTRATACIÓN DEL SERVICIO DE ALMACENAMIENTO EN LA NUBE;;;95.789,00;Adjudicado - Registro de Contratos;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=FBL3eD3BvG67N5l1sSAn6Az1cXHOV25g0B4lC23wm18,
29/7/2024;MCO-ESPOCH-2024-04;Menor Cuantía;MANTENIMIENTO DEL POZO NO. 2.;;;46.000,00;Adjudicado - Registro de Contratos;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=sMu3N9VjtBqsi2Er4vuEVoXXI8WjzwhrBfnXOWauzcE,
2/8/2024;LICSG-ESPOCH-2024-02;Lcitación de Seguros;CONTRATACIÓN DE POLIZAS DE SEGUROS DE VIDA Y ACCIDENTES PERSONALES PARA LOS TRABAJADORES Y DE FIDELIDAD PARA LOS FUNCIONARIOS DE LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO;;;17.673,01;Adjudicado - Registro de Contratos;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=I4dgpA0NB_4qzatN0x32OXTDIjWoRAp1MjQV0eZVIPo,
5/8/2024;LICSG-ESPOCH-2024-03;Lcitación de Seguros;CONTRATACIÓN DE LAS POLIZAS DE SEGUROS PARA EDIFICIOS, MUEBLES Y ENSERES, HERRAMIENTAS, PARTES Y REPUESTOS, EQUIPO ELECTRONICO, EQUIPO Y MAQUINARIA, Y VEHICULOS DE LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO;;;253.618,66;Adjudicado - Registro de Contratos;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=9FSBurYouIGoZKaMqx2k7tzSi3hU9NuknGpNdAJD4hA,
8/8/2024;SIE-ESPOCH-2024-65;Subasta Inversa Electrónica;ADQUISICIÓN DE VEHÍCULOS PARA EL TRANSPORTE COLECTIVO DE PASAJEROS (11 PASAJEROS) PARA LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO.;;;84.770,84;Adjudicado - Registro de Contratos;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=MDb5v_5a9b0CWVrzUbe6oODfyrO6NO55KwESeCHc-1s,
12/8/2024;SIE-ESPOCH-2024-70;Subasta Inversa Electrónica;ADQUISICIÓN DE EQUIPOS TECNOLÓGICOS PARA EL EQUIPAMIENTO DE AULAS EN LA FACULTAD DE INFORMÁTICA Y ELECTRÓNICA DESTINADOS PARA EL PROYECTO EENTITLE;;;29.339,14;Desierta;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=J0nJPZ-XwXkJ-hx83T86fmUuURuPYkZnIywslw4ktfM,
13/8/2024;SIE-ESPOCH-2024-71;Subasta Inversa Electrónica;Adquisición de accesorios, partes y repuestos informáticos y electrónicos para varias unidades académicas y administrativas de la ESPOCH;;;21.323,50;Ejecución de Contrato;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=XVzB3keu5c5xJBEDZ9hp8MduUrOIzI57fDEGjOevhPM,
13/8/2024;VPN-ESPOCH-2024-2;Producción Nacional;Adquisición de un vehículo eléctrico para el programa de Maestría en Ingeniería Automotriz del DECANATO DE POSGRADO – ESPOCH;;;0;Finalizada;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=tkaMMW0tFoX1Q2n7EeTEWejBKMiLi9u3E0PjcwV5pI0,
21/8/2024;SIE-ESPOCH-2024-67;Subasta Inversa Electrónica;ADQUISICION DE REACTIVOS Y MATERIALES DE LABORATORIO PARA VARIAS DEPENDENCIAS Y SEDES DE LA ESCUELA SUPERIOR POLITECNICA DE CHIMBORAZO;;;45.303,23;Adjudicado - Registro de Contratos;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=1Da7zgWE00WFeE7HdvRtgpzIsMTO6DktL1SQN8UZ6mM,
23/8/2024;SIE-ESPOCH-2024-72;Subasta Inversa Electrónica;CONTRATACIÓN DE SERVICIOS MÉDICOS PARA LA REALIZACIÓN DE EXÁMENES OCUPACIONALES A LOS SERVIDORES DE LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO 2024;;;31.198,60;Desierta;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=2F8b5jfRHPgxgze3ejub_DQyKiOmcxSZhIdb0EZ_y2M,
16/9/2024;LICSG-ESPOCH-2024-04;Licitación de Seguros;CONTRATACIÓN DE LA POLIZA DE SEGURO DE VIDA Y ACCIDENTES PERSONALES PARA LOS ESTUDIANTES DE LA ESCUELA SUPERIOR POLITECNICA DE CHIMBORAZO.;;;194.489,00;Calificación de Participantes;;compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=LlGG93dvGXeL_vwGJW1lkwRhgBYJVzFpWxcfO1LFtEo,
23/9/2024;SIE-ESPOCH-2024-75;Subasta Inversa Electrónica;CONTRATACIÓN DE SERVICIOS MÉDICOS PARA LA REALIZACIÓN DE EXÁMENES OCUPACIONALES A LOS SERVIDORES DE LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO 2024;;;31.198,60;Convalidacion de Errores;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=qVTJFg-1onpdkwSjwhl7gHykmqFIVJ5PUBnZSsDoGhY,
6/3/2024;RE-PU-ESPOCH-2024-01;Régimen Especial;"CONTRATACIÓN DEL SERVICIO DE: ""ACCESO A LA RED AVANZADA DE INVESTIGACION YACADEMIA QUE INCLUYE INTERNET COMERCIAL, CONEXIÓN CLARA INTERNACIONAL YCONEXION CLARA NACIONAL PARA LA ESPOCH?";;;1.297.436,04;Ejecución de Contrato;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=VAn3eZCI3ays1Z1WUmS6CqVUhcOgIN14vy7ImCBamBs,
28/3/2024;RE-PU-ESPOCH-2024-03;Régimen Especial;CONTRATACIÓN DEL SERVICIO:?MANTENIMIENTO DE COMPUTADORAS DE ESCRITORIO Y PORTÁTILES CORRESPONDIENTE AL CONTRATO DE ADQUISICIÓN DE BIENES N. 101-DJ-ESPOCH-21 DEL PROCEDIMIENTO DE SUBASTA INVERSA ELECTRÓNICA N. SIE-ESPOCH-CP-123-21, EN CUMPLIMIENTO;;;1.820,00;Desierta;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=3jBolntFY3n6H2aY7sVn2r983nRUEK2nuYOtjP54Elc,
11/4/2024;RE-PU-ESPOCH-2024-04;Régimen Especial;ADQUISICIÓN DE EQUIPO DE ACCIONAMIENTO PARA ENSAYOS TRIBOLÓGICOS PARA ELPROYECTO DE VINCULACIÓN: FORTALECIMIENTO DE LAS CAPACIDADES TÉCNICAS, AMBIENTALES, DE LA SALUD, CONTABILIDAD Y SEGURIDAD DEL GREMIO DE MAESTROS MECÁNICOS Y A FINES DE CHIMBORAZO;;;8.952,00;Ejecución de Contrato;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=eG6a4toHD1aDOJtIhYmgR1Z0yn-TwjmYGXNksbEA_qM,
6/5/2024;RE-PU-ESPOCH-2024-05;Régimen Especial;"CONTRATACIÓN DEL SERVICIO ""MANTENIMIENTO DE COMPUTADORAS DE ESCRITORIO Y PORTÁTILES CORRESPONDIENTE AL CONTRATO DE ADQUISICIÓN DE BIENES N. 101-DJ-ESPOCH-21 DEL PROCEDIMIENTO DE SUBASTA INVERSA ELECTRÓNICA N. SIE-ESPOCH-CP-123-21, EN CUMPLIMIENTO";;;1.820,00;Desierta;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=kpPThIPVuTuyEaY91H0UsYxsuhbRL1jT-U3yVqZ6jwo,
6/5/2024;RE-PU-ESPOCH-2024-06;Régimen Especial;CONTRATAR EL SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE EQUIPOS ELECTRICOS Y ELECTRONICOS DE LA FACULTAD DE INFORMATICA Y ELECTRONICA DE LA ESPOCH;;;6.950,00;Ejecución de Contrato;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=tCMyAklDE2IwnzATTfhAlKkjWEOn_OZwGzK9-r_eW9k,
3/7/2024;RE-PU-ESPOCH-2024-07;Régimen Especial;CONTRATACIÓN DEL SERVICIO DE MANTENIMIENTOS PARA EL CUMPLIMIENTO DE VIGENCIA TECNOLÓGICA PARA LAS CAMIONETAS INSTITUCIONALES DE LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO;;;8.267,88;Ejecución de Contrato;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=p5hNV5r5l57lMPaZS2WL2SbJICY4pQCXXoFGVH1Mnnk,
4/7/2024;RE-PU-ESPOCH-2024-08;Régimen Especial;CONTRATACIÓN DE LA RENOVACION A LA SUSCRIPCION DE LA BASE DE DATOS OVID SALUD;;;38.297,38;Ejecución de Contrato;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=8wkAa0-52RXKFee0XtUFTydOC2L-JXThyI7fJF4O4_8,
16/7/2024;RE-PU-ESPOCH-2024-09;Régimen Especial;CONTRATACION DE LA RENOVACION A LA SUSCRIPCION DE LA BASE DE DATOS DYNAMED;;;13.860,00;Ejecución de Contrato;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=_VO_-xNmpkvjkQ5xcYHZiG5xNiGe725Ah5gW1gb0nug,
17/7/2024;RE-PU-ESPOCH-2024-10;Régimen Especial;CONTRATACION DEL SERVICIO PARA LA RENOVACIÓN A LA SUSCRIPCIÓN DE LA BASE DE DATOS ELIBRO;;;16.892,10;Ejecución de Contrato;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=uEWQOu7ELRW1Ea8O17GPAgqfEB-HuzfzcSRIpNhImdA,
2/8/2024;RE-PU-ESPOCH-2024-14;Régimen Especial;ADQUISICIÓN DE ACCESORIOS Y REPUESTOS PARA LA IMPRESORA DE ALTA PRODUCCIÓN RICOH DEL DECANATO DE PUBLICACIONES ESPOCH;;;13.144,50;Ejecución de Contrato;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=P1hUx4EVPHIgjJbnx5T2fh-pUe6jVvV7aasafgHV8I4,
5/8/2024;RE-PU-ESPOCH-2024-13;Régimen Especial;CONTRATACION DE LA RENOVACION A LA SUSCRIPCION DE LA BASE DE DATOS SCOPUS;;;20.965,00;Ejecución de Contrato;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=VcsN2A4bZaY5_X7VcTasd4-ZpW8javg80TrBeT1Bf3A,
6/8/2024;RE-PU-ESPOCH-2024-11;Régimen Especial;CONTRATACION DEL SERVICIO PARA LA RENOVACION A LA SUSCRIPCION DE LA BASE DE DATOS MATHSCINET;;;16.275,00;Ejecución de Contrato;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=1T-KD_Ov2jfDAvBJPipwezGSToYM9_6WzuIU9d5ueNw,
