Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11
Apellidos y Nombres;Puesto institucional;Asunto;Fecha de la audiencia o reunión;Modalidad;Lugar;Descripción de la audiencia o reunión;Duración;Nombre de personas externas;Institución externa;Enlace para descargar el registro de asistencia de las personas que participaron en la reunión o audiencia
NO SE REALIZARON REUNIONES;NO SE REALIZARON REUNIONES;NO SE REALIZARON REUNIONES;NO SE REALIZARON REUNIONES;NO SE REALIZARON REUNIONES;NO SE REALIZARON REUNIONES;NO SE REALIZARON REUNIONES;NO SE REALIZARON REUNIONES;NO SE REALIZARON REUNIONES;NO SE REALIZARON REUNIONES;NO SE REALIZARON REUNIONES
