Unidad;Objetivos;Indicador;Meta cuantificable;Enlace al sistema de gestión de planificación para verificación de los indicadores y metas cuantificables por procesos o niveles
FACULTAD DE SALUD PÚBLICA;MEJORAR LA CALIDAD ACADÉMICA DE LA FACULTAD DE SALUD PÚBLICA MEDIANTE LA OPTIMIZACIÓN DE SUS ESPACIOS FÍSICOS Y EL FOMENTO DE LA PARTICIPACIÓN ACTIVA DE DOCENTES Y ESTUDIANTES EN EVENTOS ACADÉMICOS;PORCENTAJE DE CUMPLIMIENTO DE LOS PROCESOS;100%;https://liveespochedu-my.sharepoint.com/:b:/g/personal/planificacion_espoch_edu_ec/IQDwqLIryH88SqEfYWkx0I8aAXyl1r26lQezRboo82LmA4Q?e=4xtbqK
DECANATO DE POSGRADO;CONSOLIDAR LOS PROCESOS ADMINISTRATIVOS, ECONOMICOS Y ACADEMICOS PARA LOS PROGRAMAS DEL DECANATO DE POSGRADO;NUMERO DE ESTUDIANTES GRADUADOS DE LOS DIFERENTES PROGRAMAS DE POSGRADOEN EL 2026;100%;https://liveespochedu-my.sharepoint.com/:b:/g/personal/planificacion_espoch_edu_ec/IQDwqLIryH88SqEfYWkx0I8aAXyl1r26lQezRboo82LmA4Q?e=4xtbqK
;;NUMERO DE ADMINISTRATIVOS BENEFICIADOS MEDIANTE EL USO DEL MOBILIARIO ADQUIRIDO;100%;
VICERRECTORADO ACADÉMICO;FORTALECER LA GESTION ACADEMICA DE GRADO Y POSGRADO DE LA ESCUELA SUPERIOR POLITECNICA DE CHIMBORAZO;NORMAS, POLÍTICAS Y LINEAMIENTOS ELABORADOS;100%;https://liveespochedu-my.sharepoint.com/:b:/g/personal/planificacion_espoch_edu_ec/IQDwqLIryH88SqEfYWkx0I8aAXyl1r26lQezRboo82LmA4Q?e=4xtbqK
DECANATO DE DESARROLLO ACADÉMICO;FORTALECER LOS CONOCIMIENTOS DEL PERSONAL ACADEMICO EN AREAS COMO LA PEDAGOGIA, DIDACTICA, TICS Y CURSOS ESPECIFICOS;CAPACITACION INTERNA CON PRESUPUESTO;100%;https://liveespochedu-my.sharepoint.com/:b:/g/personal/planificacion_espoch_edu_ec/IQDwqLIryH88SqEfYWkx0I8aAXyl1r26lQezRboo82LmA4Q?e=4xtbqK
DECANATO ACADÉMICO;FORTALECER LA GESTION ADMINISTRATIVA Y ACADEMICA DEL DECANATO ACADEMICO;INFORME CONSOLIDADO DE AUDITORIAS ACADEMICAS ESPECIALES DE PROGRAMAS DE POSGRADO;3;https://liveespochedu-my.sharepoint.com/:b:/g/personal/planificacion_espoch_edu_ec/IQDwqLIryH88SqEfYWkx0I8aAXyl1r26lQezRboo82LmA4Q?e=4xtbqK
;;INFORME CONSOLIDADO DE AUDITORIAS ACADEMICAS DE TITULACION DE GRADO;3;
;;CALENDARIO ACADEMICO INSTITUCIONAL;2;
;;INFORMES DE SEGUIMIENTO AL PROCESO DE TITULACION DE GRADO Y POSGRADO;3;
DECANATO DE TELEEDUCACIÓN;IMPLEMENTAR EL USO TECNOPEDAGÓGICO DE HERRAMIENTAS DE INTELIGENCIA ARTIFICIAL Y TAC EN LA ESPOCH, MEDIANTE LINEAMIENTOS INSTITUCIONALES, MECANISMOS DE EVALUACIÓN, PRODUCCIÓN DE RECURSOS DEMOSTRATIVOS Y CAPACITACIÓN DOCENTE ORIENTADA A TODAS LAS MODALIDADES DE ESTUDIO OFERTADA POR LA ESPOCH;NUMEROS DE CURSOS / TALLER EJECUTADOS;2;https://liveespochedu-my.sharepoint.com/:b:/g/personal/planificacion_espoch_edu_ec/IQDwqLIryH88SqEfYWkx0I8aAXyl1r26lQezRboo82LmA4Q?e=4xtbqK
;;ELABORACIÓN REGLAMENTO DE TAC;1;
