TIPO;RESOLUCIÓN ;CONVENIO ;FECHA DE SUSCRIPCIÓN ;DURACIÓN;Enlace para descargar el convenio 
NACIONAL;159.CP.2024;CONVENIO ESPECÍFICO DE COOPERACIÓN INTERINSTITUCIONAL ENTRE LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO Y LA UNIVERSIDAD DE VALENCIA para la ejecución del proyecto de investigación “APPLYING NEW METHODOLOGIES BASED ON REMOTE SENSING AND ENVIRONMENTAL MODELING TO ASSESSMENT THE EUTROPHICATION STATE OF LAKES AND LAGOONS IN THE INTER-ANDEAN REGION OF ECUADOR;"08-05-2024









";3 AÑOS;https://liveespochedu-my.sharepoint.com/:f:/g/personal/vinculacion_convenios_espoch_edu_ec/EtCQybPKj3RFovTOJYoz0IIB3EgeigSsAcJmCyomK6-EqA?e=9hYYFr
NACIONAL;166.CP.2024;CONVENIO DE COOPERACIÓN ACADÉMICA Y CULTURAL ENTRE LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO (ESPOCH) Y LA SOCIETÁ DANTE ALIGHIERI – COMITATO DE QUITO;"13-03-2024









";3 AÑOS;https://liveespochedu-my.sharepoint.com/:f:/g/personal/vinculacion_convenios_espoch_edu_ec/EtCQybPKj3RFovTOJYoz0IIB3EgeigSsAcJmCyomK6-EqA?e=9hYYFr
NACIONAL;180.CP.2024;CONVENIO ESPECÍFICO DE COOPERACIÓN INTERINSTITUCIONAL ENTRE LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO Y LAKEHEAD UNIVERSITY PARA LA EJECUCIÓN DEL PROYECTO DE INVESTIGACIÓN “CARACTERIZACIÓN MOLECULAR DE MICROORGANISMOS ASOCIADOS A LA RIZOSFERA DE CULTIVOS DE IMPORTANCIA ECONÓMICA, COMO INDICADORES DE LA SALUD DEL SUELO Y PRODUCTIVIDAD;"02-05-2024








";3 AÑOS;https://liveespochedu-my.sharepoint.com/:f:/g/personal/vinculacion_convenios_espoch_edu_ec/EtCQybPKj3RFovTOJYoz0IIB3EgeigSsAcJmCyomK6-EqA?e=9hYYFr
NACIONAL;182.CP.2024;CONVENIO DE COOPERACIÓN INTERINSTITUCIONAL ENTRE LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO Y EL CONSORCIO CAMAREN-FORO NACIONAL DE RECURSOS HÍDRICOS;"08-05-2024








";2 AÑOS;https://liveespochedu-my.sharepoint.com/:f:/g/personal/vinculacion_convenios_espoch_edu_ec/EtCQybPKj3RFovTOJYoz0IIB3EgeigSsAcJmCyomK6-EqA?e=9hYYFr
INTERNACIONAL;183.CP.2024;CONVENIO ESPECÍFICO DE COOPERACIÓN INTERNACIONAL E INTERINSTITUCIONAL ENTRE LA RED ESPAÑOLA DE UNIVERSIDADES PROMOTORAS DE LA SALUD (REUPS), LA RED IBEROAMERICANA DE UNIVERSIDADES PROMOTORAS DE LA SALUD (RIUPS) Y LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO (ESPOCH), PARA LA EJECUCIÓN DEL PROYECTO DE INVESTIGACIÓN “VALIDACIÓN DE UN CUESTIONARIO GLOBAL SOBRE SALUD Y EJECUCIÓN DE UN ESTUDIO EPIDEMIOLÓGICO EN ESTUDIANTES UNIVERSITARIOS;"27-03-2024







";3 AÑOS;https://liveespochedu-my.sharepoint.com/:f:/g/personal/vinculacion_convenios_espoch_edu_ec/EtCQybPKj3RFovTOJYoz0IIB3EgeigSsAcJmCyomK6-EqA?e=9hYYFr
NACIONAL;184.CP.2024;CONVENIO ESPECÍFICO DE COOPERACIÓN INTERINSTITUCIONAL ENTRE LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO Y GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE LORETO;"15-05-2024







";3 AÑOS;https://liveespochedu-my.sharepoint.com/:f:/g/personal/vinculacion_convenios_espoch_edu_ec/EtCQybPKj3RFovTOJYoz0IIB3EgeigSsAcJmCyomK6-EqA?e=9hYYFr
NACIONAL;185.CP.2024;CONVENIO ESPECÍFICO DE COOPERACIÓN INTERINSTITUCIONAL ENTRE LA ASOCIACIÓN DE FÚTBOL NO AFICIONADO DE CHIMBORAZO Y LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO, PARA FORTALECER LA FORMACIÓN ACADÉMICA DE LOS ESTUDIANTES DE GRADO Y POSGRADO MEDIANTE LA REALIZACIÓN DE PRÁCTICAS PRE PROFESIONALES Y PROFESIONALES;"08-05-2024









";3 AÑOS;https://liveespochedu-my.sharepoint.com/:f:/g/personal/vinculacion_convenios_espoch_edu_ec/EtCQybPKj3RFovTOJYoz0IIB3EgeigSsAcJmCyomK6-EqA?e=9hYYFr
NACIONAL;187.CP.2024;CONVENIO MARCO DE COOPERACIÓN INTERINSTITUCIONAL ENTRE EL INSTITUTO SUPERIOR TECNOLÓGICO TUNGURAHUA Y LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO PARA ESTABLECER MECANISMOS DE COORDINACIÓN, INTERACCIÓN, COOPERACIÓN Y RECIPROCIDAD ENTRE LAS DOS INSTITUCIONES, PROMOVIENDO LA REALIZACIÓN DE ACTIVIDADES DE INTERÉS Y BENEFICIO MUTUO A TRAVÉS DE OBLIGACIONES CONJUNTAS, CON EL PROPÓSITO DE DESARROLLAR ACTIVIDADES QUE PERMITAN AMPLIAR CONOCIMIENTOS E IMPULSAR LA FORMACIÓN DE ESTUDIANTES DE LOS INSTITUTOS TÉCNICOS Y TECNOLÓGICOS DENTRO DEL ÁMBITO DE COMPETENCIA TANTO DEL INSTITUTO COMO DE LA COOPERANTE;"13/05/2024

";5 AÑOS;https://liveespochedu-my.sharepoint.com/:f:/g/personal/vinculacion_convenios_espoch_edu_ec/EtCQybPKj3RFovTOJYoz0IIB3EgeigSsAcJmCyomK6-EqA?e=9hYYFr
NACIONAL;188.CP.2024;CONVENIO ESPECÍFICO DE COOPERACIÓN INTERINSTITUCIONAL ENTRE LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO Y LA EMPRESA EXIBAL CÍA. LTDA. PARA LA EJECUCIÓN DEL PROYECTO DE INVESTIGACIÓN “DETERMINACIÓN DE LA EFICIENCIA ALIMENTARIA EN BASE AL CONSUMO RESIDUAL DE ALIMENTO (RFI) EN GANADO LECHERO;"13/04/2024




";3 AÑOS;https://liveespochedu-my.sharepoint.com/:f:/g/personal/vinculacion_convenios_espoch_edu_ec/EtCQybPKj3RFovTOJYoz0IIB3EgeigSsAcJmCyomK6-EqA?e=9hYYFr
NACIONAL;189.CP.2024;CONVENIO ESPECÍFICO DE COOPERACIÓN INTERINSTITUCIONAL PARA LAS PRÁCTICAS DE FORMACIÓN ACADÉMICA ENTRE LA COORDINACIÓN ZONAL 3 DE SALUD Y LA ESCUELA SUPERIOR POLITÉCNICA DEL CHIMBORAZO DE LA CARRERA DE MEDICINA;"30/04/2024




";3 AÑOS;https://liveespochedu-my.sharepoint.com/:f:/g/personal/vinculacion_convenios_espoch_edu_ec/EtCQybPKj3RFovTOJYoz0IIB3EgeigSsAcJmCyomK6-EqA?e=9hYYFr
